code1,code1_1,method1,seats103,admissionspriority21,attendance_rate,total_specialized_applications_per_seat
M42J,M42J,Audition,Yes-3,,0.93,
NO CODE,NO CODE,Test,,,0.93,95.0
K69B,K69B,Ed. Opt.,Yes-5,,0.84,
K80X,K80X,Ed. Opt.,,Then to New York City residents,0.82,
K70C,K70C,Screened,Yes-15,,0.88,
NO CODE,NO CODE,Test,,,0.97,80.0
M79A,M79A,Ed. Opt.,,,0.88,
Q61A,Q61A,Ed. Opt.,,Then to New York City residents,0.94,
Y55A,Y55A,Ed. Opt.,,Then to New York City residents,0.79,
NO CODE,NO CODE,Test,,,0.96,199.0
NO CODE,NO CODE,Test,,,0.95,33.0
Q39Z,Q39Z,Zoned Priority,,Then to Queens students or residents,0.92,
K07X,K07X,Ed. Opt.,,Then to New York City residents,0.86,
Q21A,Q21A,Screened,,Then to New York City residents,0.89,
A18A,A18A,Open,,Then to New York City residents,0.79,
Q44A,Q44A,Ed. Opt.,,Then to New York City residents,0.86,
Q46A,Q46A,Ed. Opt.,,Then to New York City residents,0.85,
A24A,A24A,Transfer,,,0.68,
K90H,K90H,Ed. Opt.,No,Then to Brooklyn students or residents,0.87,
X94A,X94A,Ed. Opt.,,Then to New York City residents,0.8,
K62X,K62X,Ed. Opt.,,Then to Brooklyn students or residents,0.8,
A13A,A13A,Open,,Then to New York City residents,0.84,
L35A,L35A,Ed. Opt.,,,0.78,
Q70A,Q70A,Ed. Opt.,,,0.9,
