fullapplicationno,permit_count,permitapplication,make,industrytypename
K &-2014117-1191,1,Overweight,MACK,Construction
con-2015212-163,1,Overweight,Freightliner,Other
ISL-201472-737,1,Overweight,FREIGHTLINER,Other
con-2014919-981,1,Overweight,FREIGHTLINER,Other
COR-201585-808,1,Overweight,gmc,Construction
La-2015630-711,1,Overweight,Mack,Construction
NEW3-2014814-831,1,Overweight,MACK,Construction
SJ-2014915-904,1,Overweight,AUTOCAR,Other
Sal-201599-915,1,Overweight,Mack,Construction
con-2015821-872,1,Overweight,Freightliner,Other
con-2014922-1006,1,Overweight,freig,Other
con-2014919-986,1,Overweight,FREIGHTLINER,Other
Val-201546-397,1,Overweight,MACK,Other
con-2015112-1200,1,Overweight,freig,Other
con-2015113-1221,1,Overweight,freightliner,Other
con-2014924-1028,1,Overweight,freig,Other
Alm-201587-824,1,Overweight,PETERBUILT,Construction
con-20141020-1125,1,Overweight,FREIGHTLINER,Other
St-20141212-1361,1,Overweight,Freightliner,Other
con-2015112-1175,1,Overweight,FREIGHTLINER,Other
G.A-201547-400,1,Overweight,MACK,Construction
Yon-2015529-589,2,Overweight,Mack,Construction
Val-2014811-816,1,Overweight,MACK,Other
Bov-2014814-830,1,Overweight,Peterbuilt,Construction
The1-201478-759,1,Overweight,Volvo White,Other
con-2014917-918,1,Overweight,freightliner,Other
Ecc1-2014722-781,1,Overweight,MACK,Construction
Cor1-201588-831,1,Overweight,MACK,Cement
con-2014917-910,1,Overweight,volvo,Other
con-2015113-1217,1,Overweight,Freightliner,Other
RAN-20141126-1243,1,Overweight,PETERBILT,Construction
