bis_nyc_device_id,device_count,physical_address,physical_address_1,elevator_type,elevator_operation
1P37080,1,686 BROADWAY,686 BROADWAY,Passenger,Power
1P35609,1,268 CANAL STREET,268 CANAL STREET,Passenger,Power
1P20419,1,104 POST AVENUE,104 POST AVENUE,Passenger,Power
3P0995329,1,88 LINDEN BOULEVARD,88 LINDEN BOULEVARD,Passenger,Power
4E6067,1,257-01 UNION TURNPIKE,257-01 UNION TURNPIKE,Escalator,
4P5917,1,108-15 48 AVENUE,108-15 48 AVENUE,Passenger,Power
1P11985,1,268 PARK AVENUE SOUTH,268 PARK AVENUE SOUTH,Passenger,Power
1P47065,1,444 WEST 36 STREET,444 WEST 36 STREET,Passenger,
1P28681,1,41 EAST 89 STREET,41 EAST 89 STREET,Passenger,Power
1P1000467,1,219 CANAL STREET,219 CANAL STREET,Passenger,Power
1P371,1,303 WEST 86 STREET,303 WEST 86 STREET,Passenger,Power
1P40720,1,34 RIVER TERRACE,34 RIVER TERRACE,Passenger,Power
1P15372,1,80 JOHN STREET,80 JOHN STREET,Passenger,
2P10367,1,4132 PARK AVENUE,4132 PARK AVENUE,Passenger,
1P25582,1,280 PARK AVENUE,280 PARK AVENUE,Passenger,Power
1P21006,1,1 EAST 75 STREET,1 EAST 75 STREET,Passenger,Manual
1P28868,1,77 WATER STREET,77 WATER STREET,Passenger,Power
1P718,1,115 BROADWAY,115 BROADWAY,Passenger,Power
2P4966,1,1010 EAST  163 STREET,1010 EAST  163 STREET,Passenger,Power
1P3256,1,53 5 AVENUE,53 5 AVENUE,Passenger,Power
4P3077,1,167-15 12 AVENUE,167-15 12 AVENUE,Passenger,Power
3P12156,1,47 NORTH 8 STREET,47 NORTH 8 STREET,Passenger,Manual
4P10596,1,118-02 111 AVENUE,118-02 111 AVENUE,Passenger,
1P45731,1,540 WEST  120 STREET,540 WEST  120 STREET,Passenger,Power
5P0997182,1,75 BENNETT STREET,75 BENNETT STREET,Passenger,Power
1P19799,1,30 MONROE STREET,30 MONROE STREET,Passenger,Power
1P47939,1,112 EAST 73 STREET,112 EAST 73 STREET,Passenger,Power
3P7312,1,2316 SURF AVENUE,2316 SURF AVENUE,Passenger,Power
1P24315,1,66 OVERLOOK TERRACE,66 OVERLOOK TERRACE,Passenger,Power
1P19021,1,338 5 AVENUE,338 5 AVENUE,Passenger,Power
3P11459,1,104 LUQUER STREET,104 LUQUER STREET,Passenger,Power
1P26912,1,777 3 AVENUE,777 3 AVENUE,Passenger,Power
1P26568,1,1206 6 AVENUE,1206 6 AVENUE,Passenger,Power
3P12779,1,128 BRIGHTON BEACH AVENUE,128 BRIGHTON BEACH AVENUE,Passenger,Power
3P13822,1,874 JEFFERSON AVENUE,874 JEFFERSON AVENUE,Passenger,Power
4P15525,1,121-22 ROOSEVELT AVENUE,121-22 ROOSEVELT AVENUE,Passenger,Power
3W0997347,1,55 WATER STREET,55 WATER STREET,,Power
4P1877,1,40-50 DENMAN STREET,40-50 DENMAN STREET,Passenger,Manual
4P11428,1,83-30 KEW GARDENS ROAD,83-30 KEW GARDENS ROAD,Passenger,Power
1P46370,1,50 DOWNING STREET,50 DOWNING STREET,Passenger,Power
1P1809,1,600 WEST 165 STREET,600 WEST 165 STREET,Passenger,Manual
1P43008,1,112 BENNETT AVENUE,112 BENNETT AVENUE,Passenger,Power
1P27261,1,321 EAST 16 STREET,321 EAST 16 STREET,Passenger,Power
3P13796,1,236 ATLANTIC AVENUE,236 ATLANTIC AVENUE,Passenger,Power
2P1813,1,114 WEST 183 STREET,114 WEST 183 STREET,Passenger,Power
