bble,lot,bble_1,lot_1,curavl_a,cur_fv_t,total_land_assessed_value
1000090001,1,1000090001,1,23895000,50040000,23895000.0
1000151250,1250,1000151250,1250,17021,283033,17021.0
1000041016,1016,1000041016,1016,1197240,7424741,1197240.0
1000161119,1119,1000161119,1119,22476,192552,22476.0
1000161224,1224,1000161224,1224,20078,172006,20078.0
1000071001,1001,1000071001,1001,851400,82700000,851400.0
1000161034,1034,1000161034,1034,19276,4894918,19276.0
1000151196,1196,1000151196,1196,24237,403047,24237.0
1000161034,1034,1000161034,1034,19276,165146,19276.0
1000041025,1025,1000041025,1025,798318,4950811,798318.0
1000161438,1438,1000161438,1438,10613,216404,10613.0
1000161022,1022,1000161022,1022,22320,191216,22320.0
1000161153,1153,1000161153,1153,13517,115802,13517.0
1000151256,1256,1000151256,1256,11515,191469,11515.0
1000151380,1380,1000151380,1380,11612,193096,11612.0
1000151133,1133,1000151133,1133,6823,141169,6823.0
1000151217,1217,1000151217,1217,7891,167884,7891.0
1000161092,1092,1000161092,1092,18155,155541,18155.0
1000090001,1,1000090001,1,23895000,0,23895000.0
1000090001,1,1000090001,1,23895000,192000000,23895000.0
1000161540,1540,1000161540,1540,22635,461537,22635.0
1000160015,15,1000160015,15,5580000,3800000,5580000.0
1000161239,1239,1000161239,1239,109985,942247,109985.0
1000161080,1080,1000161080,1080,12558,107590,12558.0
1000041049,1049,1000041049,1049,847649,5256740,847649.0
1000160015,15,1000160015,15,5580000,27900000,5580000.0
1000161211,1211,1000161211,1211,21038,180222,21038.0
1000151217,1217,1000151217,1217,7891,131230,7891.0
1000151372,1372,1000151372,1372,6989,116242,6989.0
1000151125,1125,1000151125,1125,18942,314994,18942.0
1000161105,1105,1000161105,1105,13436,115110,13436.0
1000162761,2761,1000162761,2761,16217,134204,16217.0
1000161063,1063,1000161063,1063,20717,177482,20717.0
1000151242,1242,1000151242,1242,14583,242494,14583.0
1000161009,1009,1000161009,1009,21755,186384,21755.0
1000151196,1196,1000151196,1196,24237,156239,24237.0
1000151184,1184,1000151184,1184,7667,127507,7667.0
1000151118,1118,1000151118,1118,10905,181348,10905.0
1000151141,1141,1000151141,1141,12757,212110,12757.0
1000161041,1041,1000161041,1041,22238,190513,22238.0
1000151133,1133,1000151133,1133,6823,113464,6823.0
1000151242,1242,1000151242,1242,14583,0,14583.0
1000161716,1716,1000161716,1716,18900,408737,18900.0
1000161731,1731,1000161731,1731,21600,467128,21600.0
1000090001,1,1000090001,1,23895000,155000000,23895000.0
1000161047,1047,1000161047,1047,24316,208324,24316.0
1000151257,1257,1000151257,1257,9469,157467,9469.0
1000161430,1430,1000161430,1430,13874,282897,13874.0
1000161191,1191,1000161191,1191,20160,172702,20160.0
1000161449,1449,1000161449,1449,20892,425998,20892.0
1000071001,1001,1000071001,1001,851400,10600000,851400.0
1000090001,1,1000090001,1,23895000,4010000,23895000.0
1000151227,1227,1000151227,1227,6949,115562,6949.0
1000160200,200,1000160200,200,6075000,78000000,6075000.0
1000151307,1307,1000151307,1307,10874,180835,10874.0
1000161124,1124,1000161124,1124,22958,196681,22958.0
1000161119,1119,1000161119,1119,22476,343381,22476.0
1000151267,1267,1000151267,1267,8297,137984,8297.0
1000161417,1417,1000161417,1417,10406,212182,10406.0
1000151132,1132,1000151132,1132,6418,106710,6418.0
1000161588,1588,1000161588,1588,23574,480685,23574.0
1000151351,1351,1000151351,1351,8578,142649,8578.0
