school_name,phone_number,phone_number_1,website,website_1,total_enrollment
Pelham Lab High School,718-904-5090,718-904-5090,http://schools.nyc.gov/schoolportals/08/X320,http://schools.nyc.gov/schoolportals/08/X320,95.0
Martin Van Buren High School,718-776-4728,718-776-4728,www.mvbhigh.com,www.mvbhigh.com,2096.0
Frederick Douglass Academy VII High School,718-485-3789,718-485-3789,http://schools.nyc.gov/schoolportals/23/K514,http://schools.nyc.gov/schoolportals/23/K514,328.0
Thurgood Marshall Academy for Learning and Social Change,212-283-8055,212-283-8055,http://schools.nyc.gov/schoolportals/05/M670,http://schools.nyc.gov/schoolportals/05/M670,572.0
Brooklyn Preparatory High School,718-486-2550,718-486-2550,www.brooklynprephs.org,www.brooklynprephs.org,489.0
Beacon High School,212-245-2807,212-245-2807,www.beaconschool.org,www.beaconschool.org,1276.0
PROGRESS High School for Professional Careers,718-387-0228,718-387-0228,www.progresshighschool.org,www.progresshighschool.org,1083.0
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,212-496-0700,212-496-0700,www.laguardiahs.org,www.laguardiahs.org,2730.0
High School for Violin and Dance,718-842-0687,718-842-0687,www.hsvd.org,www.hsvd.org,378.0
Brooklyn Lab School,718-235-3592,718-235-3592,www.brooklynlabschool.org,www.brooklynlabschool.org,364.0
"Science, Technology and Research Early College High School at Erasmus",718-564-2540,718-564-2540,www.starec.org,www.starec.org,532.0
Institute for Health Professions at Cambria Heights,718-723-7301,718-723-7301,www.ihpch.org,www.ihpch.org,82.0
Mott Haven Village Preparatory High School,718-402-0571,718-402-0571,http://schools.nyc.gov/schoolportals/07/X473,http://schools.nyc.gov/schoolportals/07/X473,344.0
Herbert H. Lehman High School.,718-904-4200,718-904-4200,www.LehmanHS.com,www.LehmanHS.com,2059.0
Bronx Envision Academy,718-589-1590,718-589-1590,www.BronxEnvision.org,www.BronxEnvision.org,239.0
Bronx Leadership Academy II High School,718-292-7171,718-292-7171,www.BronxleadershipAcademy2.org,www.BronxleadershipAcademy2.org,515.0
Richard R. Green High School of Teaching,646-826-8174,646-826-8174,http://schools.nyc.gov/schoolportals/02/M580,http://schools.nyc.gov/schoolportals/02/M580,593.0
Validus Preparatory Academy: An Expeditionary Learning School,718-466-4000,718-466-4000,www.validusprep.org,www.validusprep.org,374.0
Francis Lewis High School,718-281-8200,718-281-8200,www.francislewishs.org,www.francislewishs.org,4058.0
