program_name,total_instructional_support
P.S. 174 William Sidney Mount,3.8
P.S. 234,3.1
Yeshiva Jesode Hatorah,2.3
P.S. 102 Bayview,3.4
P.S. 130 Hernando De Soto,6.2
P.S. 193 Gil Hodges,3.2
"Al Madinah School, Inc.",15.399999999999999
P.S. 126 Jacob August Riis,2.1
P.S. 129 Patricia Larkin,3.9
Kathy's Day Care,3.0
P.S. 192 - The Magnet School for Math and Science Inquiry,
P.S. 169 Bay Terrace,
P.S. 42 Eltingville,10.6
P.S. 34 Oliver H. Perry,
P.S. 115 Daniel Mucatel School,9.3
Urban Scholars Community School,11.100000000000001
P.S. 23 The New Children's School,17.2
P.S. 153 Maspeth Elem,3.0
"PHEBEANA PRESCHOOL, INC.",12.600000000000001
P.S. 101 School in the Gardens,5.0
Tiferes Bnos,7.6
P.S. 155 William Paca,4.5
The STAR Academy - P.S. 63,
P.S. 73 Bronx,2.3
P.S. 111 Adolph S. Ochs,3.2
P.S. 31 Samuel F. Dupont,
P.S. 6 Corporal Allan F. Kivlehan School,6.2
P.S. 175 Henry H Garnet,2.7
P.S. 230 Doris L. Cohen,8.4
KESHET LEARNING CENTER,5.4
ACE Early Childhood Center,14.7
Riverdale Avenue Community School,8.4
P.S. 136 Roy Wilkins,2.9
Bushwick United HDFC 2,11.6
P.S. 244 Richard R. Green,17.2
Wave Preparatory Elementary School,
Brite Adventure Center (30th Avenue),2.1
P.S. 221 The North Hills School,
P.S. 178 Saint Clair Mckelway,
Smart Start Early Childhood Center,11.2
P.S. 146 Ann M. Short,4.2
All My Children Day Care 10,7.5
Boulevard Nursery School,12.0
Stuyvesant Heights Day Care/New Vision One,6.2
P.S. 75 Mayda Cortiella,13.2
Saint Marks,8.7
The Maurice Sendak Community School,23.799999999999997
Barkai Yeshivah,9.0
Small World Preschool,2.9
P.S. 36 J. C. Drumgoole,7.4
