permitid,total_overalllength,permitteecompany,applicationdate
587475,65.07,BAY CRANE SERVICE INC.,2022-09-28 23:45:33+08:00
567289,79.0,Harris Camden Terminal Equipment Co,2022-05-10 16:06:33+08:00
540053,79.11,R HULETT TRUCKING LLC,2021-10-06 21:40:25+08:00
631370,79.0,Harris Camden Terminal Equipment Co,2023-09-12 21:52:51+08:00
598978,78.0,Harris Camden Terminal Equipment Co,2022-12-13 23:00:51+08:00
633024,113.03,BAY CRANE SERVICE INC.,2023-09-29 19:26:09+08:00
621448,57.09,TKO CRANES LLC,2023-05-18 00:35:24+08:00
591179,64.0,Consolidated Edison Overhead Bronx Co.,2022-10-20 22:16:08+08:00
619273,75.0,Bennett Motor Express Inc.,2023-04-28 23:01:31+08:00
538674,63.09,Blue Bloods,2021-09-27 18:53:18+08:00
619282,70.0,TREVCON CONSTRUCTION CO INC,2023-04-29 01:35:32+08:00
546958,73.0,UDS PRODUCTIONS LLC,2021-12-02 16:46:23+08:00
532832,75.0,MERGER TOWING,2021-08-12 22:30:26+08:00
593541,40.0,Planned Parenthood,2022-11-05 07:01:51+08:00
536660,70.0,Woodridge Productions - Blacklist S9,2021-09-13 19:32:07+08:00
536390,68.09,NYC Department of Sanitation,2021-09-10 17:25:25+08:00
637519,79.0,Harris Camden Terminal Equipment Co,2023-11-16 22:35:49+08:00
632339,78.0,Harris Camden Terminal Equipment Co,2023-09-22 00:35:15+08:00
612607,78.0,Harris Camden Terminal Equipment Co,2023-03-15 22:33:39+08:00
550268,67.09,EndGame S1 NBC,2022-01-10 21:05:05+08:00
598111,72.04,"HYMAN LOGISTICS, INC.",2022-12-08 02:55:03+08:00
545211,79.0,Trans American Trucking Service,2021-11-15 21:23:03+08:00
610170,77.0,"Smokey Point Distributing, INC.",2023-03-01 02:03:23+08:00
561838,73.0,Harris Camden Terminal Equipment Co,2022-04-05 18:40:17+08:00
613175,63.09,Blue Bloods,2023-03-20 20:14:36+08:00
559742,73.0,BRASS TACTICS (APPLE STUDIOS LLC,2022-03-22 20:44:26+08:00
564117,70.0,Whens Lunch LLC,2022-04-19 21:06:12+08:00
603997,72.0,"NORTH CENTER PRODUCTIONS, INC.",2023-01-24 21:23:31+08:00
559257,65.0,"SUPOR TRUCKING, LLC",2022-03-19 00:19:24+08:00
615990,78.0,Harris Camden Terminal Equipment Co,2023-04-06 23:21:32+08:00
589525,92.06,ICON LEGACY TRANSPORT LLC,2022-10-11 23:59:11+08:00
605995,73.1,HEM,2023-02-03 03:26:53+08:00
575778,62.0,Manifest Season 4 Jay Squared Prod,2022-07-09 00:16:54+08:00
618459,73.0,All Mobile Video,2023-04-25 00:48:25+08:00
566672,72.06,PALMER AUDIO LLC,2022-05-05 03:52:55+08:00
587563,78.0,Harris Camden Terminal Equipment Co,2022-09-29 16:38:26+08:00
558993,65.03,WORLD PRODUCTION INC. - RTW2,2022-03-17 20:12:58+08:00
619099,79.11,R HULETT TRUCKING LLC,2023-04-28 00:13:58+08:00
569954,58.0,Atlantic Crane LLC,2022-05-31 17:40:08+08:00
616040,64.11,Glamour Transportation Corp,2023-04-07 01:11:02+08:00
602827,78.0,"Augur's Specialized Transport, Llc",2023-01-17 23:59:04+08:00
588261,68.0,WILLIAMS SCOTSMAN,2022-10-04 01:37:40+08:00
559593,59.0,HCM MARINE TRANSPORT INC,2022-03-22 02:27:03+08:00
531347,70.0,Players In NYC inc,2021-08-02 15:40:54+08:00
639110,79.0,Harris Camden Terminal Equipment Co,2023-12-05 23:25:51+08:00
596349,77.0,RUAN TRANSPORT CORPORATION,2022-11-29 18:50:30+08:00
574150,74.04,LESTER R SUMMERS INC,2022-06-24 23:21:46+08:00
529812,76.0,HICKS TRUCKING COMPANY,2021-07-20 06:33:24+08:00
549707,57.04,Law & Order S21 - NBC Universal,2022-01-04 19:11:37+08:00
612487,82.0,Harris Camden Terminal Equipment Co,2023-03-15 02:26:02+08:00
