vehicle_year,vehicle_color,violation_precinct,days_parking_in_effect,issuing_agency,plate_type,issue_date,violation_description
1999,GR,94,Y,T,PAS,2017-01-13,37-Expired Muni Meter
2015,WHITE,13,Y,T,COM,2017-03-16,69-Failure to Disp Muni Recpt
2015,WHITE,13,Y,T,IRP,2017-03-16,69-Failure to Disp Muni Recpt
2015,WHITE,13,Y,T,COM,2017-03-16,69-Failure to Disp Muni Recpt
2016,RD,19,YYYYYYY,T,COM,2017-06-26,51-Sidewalk
2016,RD,19,YYYYYYY,T,PAS,2017-06-26,51-Sidewalk
2014,WH,19,YYYYYYY,T,PAS,2017-01-16,20A-No Parking (Non-COM)
2006,WH,14,YYYYYYY,T,PAS,2017-02-16,45-Traffic Lane
2006,WH,14,YYYYYYY,T,COM,2017-02-16,45-Traffic Lane
0,WHITE,14,YYYYY,T,PAS,2017-06-15,31-No Stand (Com. Mtr. Zone)
2005,GY,68,Y,T,COM,2017-03-07,37-Expired Muni Meter
2005,GY,68,Y,T,PAS,2017-03-07,37-Expired Muni Meter
2005,GY,68,Y,T,COM,2017-03-07,37-Expired Muni Meter
0,WHITE,43,,T,PAS,2017-01-10,46A-Double Parking (Non-COM)
0,WHITE,43,,T,PAS,2017-01-10,46A-Double Parking (Non-COM)
2003,GY,52,Y  Y,T,PAS,2017-05-30,21-No Parking (street clean)
2003,GY,52,Y  Y,T,OMT,2017-05-30,21-No Parking (street clean)
2003,GY,52,Y  Y,T,PAS,2017-05-30,21-No Parking (street clean)
0,BLACK,1,YYYYY,T,PAS,2017-05-04,17-No Stand (exc auth veh)
2016,WHITE,10,YYYYY,T,COM,2017-06-15,20-No Parking (Com Plate)
2016,WH,112,Y,T,PAS,2017-06-17,37-Expired Muni Meter
2012,WH,71,Y  Y,T,PAS,2017-05-15,21-No Parking (street clean)
2016,GY,0,,V,OMS,2017-04-21,PHTO SCHOOL ZN SPEED VIOLATION
2016,GY,0,,V,OMS,2017-03-13,PHTO SCHOOL ZN SPEED VIOLATION
2016,GY,0,,V,OMS,2017-01-31,PHTO SCHOOL ZN SPEED VIOLATION
