sitename,latitude,longitude,building,l1,total,count,average
EDENWALD,40.88617438601892,-73.84510662944348,1150,"""English, Spanish""",1027079.0,1,1027079.0
Tremont Library,40.84622696084992,-73.8984901214957,1866,English,1012335.0,1,1012335.0
Sunnyside,40.745189638042966,-73.92590931000171,43-31,"""English, Spanish""",1004780.0,1,1004780.0
Northern Manhattan Improvement Corporation,40.846186142125525,-73.93762306696817,45,"""English, Spanish""",1001508.0,1,1001508.0
East Flatbush Kings County Hospital NYC Health+Hospitals,40.65576192134303,-73.94458035788318,451,English,999627.0,1,999627.0
Office of Council Member Deutsch,40.59982719350412,-73.94745000210673,2401,"""English, Spanish, Russian""",998843.0,1,998843.0
"""NYCHA Armstrong I & II, Marcy & Lafayette Houses - Bedford Stuyvesant Restoration Corporation- Flushing """,40.699962821425096,-73.94844940068975,630,English,998544.0,1,998544.0
NYCHA Brooklyn Community Service Farragut Cornerstone,40.70130413244252,-73.98176181526577,228,English,989307.0,1,989307.0
Our Lady of Pompeii Sr. Center,40.73054548227934,-74.00261226813663,238,"""English, Spanish""",983526.0,1,983526.0
