grades_final_text,managed_by_name,school_support_team_name,grades_text,highschool_network_superintendent,location_category_description,status_descriptions,school_support_team_leader_name
"PK,0K,01,02,03,04,05,06",DOE,School Support Team 3- Bronx,"PK,0K,01,02,03,04,05,06,SE",,Elementary,Open,
"09,10,11,12",DOE,School Support Team 2- Affinity Group,9,"MENDEZ, JUAN",High school,Open,
"0K,01,02,03,04,05,06,07,08",Charter,,"PK,0K,01,02,03,04,05,06",,Elementary,Open,
"09,10,11,12",DOE,School Support Team 1- Manhattan,"09,10,11,12","ROSALES, MARISOL",High school,Open,
"09,10,11,12",DOE,School Support Team 2- Manhattan,"09,10,11,12","ROTONDO, PAUL",High school,Open,
"09,10,11,12",DOE,School Support Team 2- Affinity Group,"09,10,11,12,SE","MENDEZ, JUAN",High school,Open,
"09,10,11,12",DOE,School Support Team 5- Affinity Group,"09,10,11,12,SE","PELLES, KATHY",High school,Open,
"09,10,11,12",DOE,School Support Team 1- Affinity Group,"09,10,11,12,SE","WALSH, FRED",High school,Open,
"09,10,11,12",DOE,School Support Team 2- Bronx,"09,10,11,12,SE","STAPLE, CARRON",High school,Open,
"09,10,11,12",DOE,School Support Team 2- Manhattan,"09,10,11,12,SE",,High school,Open,
"PK,0K,01,02,03,04,05",DOE,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05,SE",,Elementary,Open,
"0K,01,02,03,04,05",DOE,School Support Team 2- Brooklyn South,"PK,0K,01,02,03,04,05,SE",,Elementary,Open,
"0K,01,02,03,04,05",DOE,School Support Team 4- Manhattan,"PK,0K,01,02,03,04,05,SE",,Elementary,Open,
"0K,01,02,03,04,05",DOE,School Support Team 4- Bronx,"PK,0K,01,02,03,04,05,SE",,Elementary,Open,
"0K,01,02,03,04,05",DOE,School Support Team 2- Queens South,"PK,0K,01,02,03,04,05,SE",,Elementary,Open,
"06,07,08,09,10,11,12",DOE,School Support Team 10- Bronx,"06,07,08,09,10,11,12,SE",,Secondary School,Open,
"06,07,08,09,10,11,12",DOE,School Support Team 7- Bronx,"06,07,08,09,10,11,12,SE",,Secondary School,Open,
"06,07,08,09,10,11,12",DOE,School Support Team 4- Bronx,"06,07,08,09,10,11,12,SE",,Secondary School,Open,
"PK,0K,01,02,03,04,05,06,07,08",DOE,School Support Team 7- Bronx,"0K,01,02,03,04,05,06,07,08,SE",,K-8,Open,
"0K,01,02,03,04,05,06,07,08",DOE,School Support Team 3- Bronx,"0K,01,02,03,04,05,06,07,08,SE",,K-8,Open,
"0K,01,02,03,04,05,06,07,08",DOE,School Support Team 10- Bronx,"0K,01,02,03,04,05,06,07,08,SE",,K-8,Open,
"PK,0K,01,02,03,04,05,06,07,08",DOE,School Support Team 5- Brooklyn North,"PK,0K,01,02,03,04,05,06,07,08,SE",,K-8,Open,
"PK,0K,01,02,03,04,05,06,07,08",DOE,School Support Team 5- Manhattan,"PK,0K,01,02,03,04,05,06,07,08,SE",,K-8,Open,
"PK,0K,01,02,03,04,05,06,07,08",DOE,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05,06,07,08,SE",,K-8,Open,
"0K,01,02,03,04,05,06,07,08,SE",DOE,School Support Team 6- Manhattan,"PK,0K,01,02,03,04,05,06,07,08,SE",,K-8,Open,
"0K,01,02,03,04,05",DOE,School Support Team 7- Bronx,"PK,0K,01,02,03,SE",,Elementary,Open,
"06,07,08,SE",DOE,School Support Team 7- Manhattan,"06,07,08,SE",,Junior High-Intermediate-Middle,Open,
"06,07,08",DOE,School Support Team 4- Brooklyn North,"06,07,08,SE",,Junior High-Intermediate-Middle,Open,
"06,07,08",DOE,School Support Team 7- Bronx,"06,07,08,SE",,Junior High-Intermediate-Middle,Open,
"06,07,08",DOE,School Support Team 4- Manhattan,"06,07,08,SE",,Junior High-Intermediate-Middle,Open,
