school_name,fax_number,t3_school_name,t4_fax_number,code1,t6_code1,category,count,avg_value,total_value,max_value
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",718-472-9117,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",718-472-9117,Q31J,Q31J,medium,1,0.675999999,0.675999999,0.675999999
"Metropolitan High School, The",718-542-7294,"Metropolitan High School, The",718-542-7294,X77R,X77R,low,1,0.381000012,0.381000012,0.381000012
Benjamin N. Cardozo High School,718-631-7880,Benjamin N. Cardozo High School,718-631-7880,Q16A,Q16A,medium,1,0.768999994,0.768999994,0.768999994
The School for Human Rights,718-771-4815,The School for Human Rights,718-771-4815,K04X,K04X,low,1,0.462000012,0.462000012,0.462000012
South Bronx Preparatory: A College Board School,718-292-2172,South Bronx Preparatory: A College Board School,718-292-2172,X11X,X11X,medium,1,0.647000015,0.647000015,0.647000015
"The School for Classics: An Academy of Thinkers, Writers and Performers",718-277-1873,"The School for Classics: An Academy of Thinkers, Writers and Performers",718-277-1873,L53A,L53A,low,1,0.374000013,0.374000013,0.374000013
Staten Island Technical High School,718-987-5872,Staten Island Technical High School,718-987-5872,NO CODE,NO CODE,high,2,0.910000026,1.820000052,0.910000026
Middle College High School at LaGuardia Community College,718-392-3315,Middle College High School at LaGuardia Community College,718-392-3315,Q30J,Q30J,medium,1,0.69599998,0.69599998,0.69599998
Lower Manhattan Arts Academy,212-674-8021,Lower Manhattan Arts Academy,212-674-8021,M05R,M05R,medium,1,0.646000028,0.646000028,0.646000028
Leadership Institute,718-299-7496,Leadership Institute,718-299-7496,X06R,X06R,low,1,0.256999999,0.256999999,0.256999999
Frank McCourt High School,212-362-5926,Frank McCourt High School,212-362-5926,A21A,A21A,high,1,0.836000025,0.836000025,0.836000025
Pathways College Preparatory School: A College Board School,718-454-4892,Pathways College Preparatory School: A College Board School,718-454-4892,Q09A,Q09A,medium,1,0.63499999,0.63499999,0.63499999
Pan American International High School,718-271-4041,Pan American International High School,718-271-4041,Q03A,Q03A,low,1,0.257999986,0.257999986,0.257999986
Bronx Theatre High School,718-329-0433,Bronx Theatre High School,718-329-0433,X38A,X38A,medium,1,0.515999973,0.515999973,0.515999973
CSI High School for International Studies,718-370-6915,CSI High School for International Studies,718-370-6915,R01R,R01R,high,1,0.910000026,0.910000026,0.910000026
Hillcrest High School,718-739-5137,Hillcrest High School,718-739-5137,Q24A,Q24A,medium,1,0.632000029,0.632000029,0.632000029
Urban Assembly School for the Performing Arts,212-234-4975,Urban Assembly School for the Performing Arts,212-234-4975,M04A,M04A,medium,1,0.614000022,0.614000022,0.614000022
