subcategor,total_acres
Large Park,427.453
Undeveloped,36.691
Neighborhood Park,7.529
To Be Determined,0.494
REDEC,42.583
Flagship Park,94.1
Greenthumb,0.9129999999999999
,0.604
Neighborhood Plgd,14.504999999999999
JOP,5.177
EXWY,202.647
Sitting Area/Triangle/Mall,4.149
