lotid,originaloverride,lotentrydate,inspectionrequestid,detailentrydate,lotstatusid,lotstatusreason
28725,0,,54179,2005-10-07 09:11:03,702,
185409,0,2012-06-27 12:54:48,112082,2012-08-09 10:29:07,702,
207691,0,2015-07-10 09:43:15,130187,2015-07-21 09:07:56,702,
211158,0,2015-12-16 11:13:58,133674,2016-01-19 10:31:12,702,
126197,0,,17476,2000-12-20 14:41:27,702,
66271,0,,76632,2008-04-23 14:29:57,702,
181903,0,2012-02-03 10:22:45,109079,2012-03-27 09:15:08,702,
8132,0,,4332,1998-08-31 09:21:07,702,
56436,0,,309,1998-03-09 15:53:11,702,
106434,0,,3382,1998-05-26 09:34:32,702,
134747,0,,19895,2001-06-12 08:57:44,702,
75266,0,,7804,1999-04-06 10:21:48,702,
161575,0,,27571,2004-02-03 10:28:53,702,
182954,0,2012-03-28 14:49:34,109990,2012-04-16 11:23:02,702,
209541,0,2015-10-05 12:42:29,132645,2015-11-23 12:42:55,702,
131159,0,,8641,2001-07-23 10:15:21,702,
10285,0,,41956,2004-08-31 14:40:50,702,
31105,0,,55547,2005-12-05 11:52:15,702,
40251,0,,60794,2006-08-14 14:17:19,702,
67726,0,,77457,2008-08-19 11:14:49,702,
134136,0,,19547,2001-07-17 08:14:05,702,
147281,0,,24229,2002-06-11 08:22:45,702,
210567,0,2015-11-23 08:46:23,133367,2015-12-11 09:37:38,702,
182361,0,2012-03-02 13:49:10,109510,2012-03-12 10:05:10,702,
36588,0,,58562,2006-05-23 10:02:53,702,
3501,0,,38338,2004-02-17 14:33:10,702,
7338,0,,40125,2004-09-07 08:58:42,702,
32165,0,,1747,1998-04-09 12:45:39,702,
80421,0,,86854,2009-06-09 15:42:22,702,
148982,0,,25125,2002-05-10 10:01:06,702,
45939,0,,64175,2007-01-18 08:48:45,702,
75626,0,,82912,2008-12-26 22:44:46,702,
112453,0,,11783,2000-03-28 10:45:19,702,
13967,0,,44331,2004-10-07 11:24:01,702,
107635,0,,12094,1999-12-27 08:34:33,702,
122541,0,,17037,2000-10-17 14:22:56,702,
163786,0,,30505,2003-08-12 10:22:42,702,
204033,1,2015-01-02 11:14:35,128240,2015-03-16 11:39:00,702,
111750,0,,2990,1998-04-14 11:03:03,702,
152654,0,,26940,2002-10-07 09:52:43,702,
79234,0,,85733,2009-05-07 14:42:54,702,
101001,0,,1870,1998-06-01 11:24:54,702,
177491,0,2011-07-27 11:50:37,105445,2011-08-30 12:48:19,702,
41841,0,,61742,2006-09-19 09:34:40,702,
49531,0,,66183,2007-05-07 09:16:34,702,
51402,0,,67133,2007-06-06 10:57:44,702,
94024,0,,96980,2010-06-30 11:49:57,702,
109674,0,,10050,2000-04-10 10:59:07,702,
130151,0,,18280,2001-05-14 14:56:51,702,
167219,0,,2270,1998-09-08 15:58:38,702,
