senate_district,total_congressional_district,address,phone,bin,hours,categoriesavailable
11.0,42.0,"126-06 15th Avenue, College Point, NY, USA",(718) 353-1549,4437977.0,,
11.0,5.0,"183-14 Hillside Avenue, Jamaica, NY, USA",(718) 297-2613,4212730.0,,
11.0,5.0,"178-36 Wexford Terrace, Jamaica, NY, USA",(917) 288-7600,4534092.0,,"Books/Media, Clothing/Personal Accessories, Food/Beverage, Footwear, Toys/Games"
