t1_license_number,t2_license_number,t1_phone,t3_phone,percent_hybrid_alt_fuel_vehicles,record_count,total_amount,avg_amount,max_amount,min_amount
B02882,B02882,646-665-7473,646-665-7473,27.0,24,648.0,27.0,27.0,27.0
B02429,B02429,718-703-3333,718-703-3333,57.0,8,456.0,57.0,57.0,57.0
B02536,B02536,718-703-3333,718-703-3333,64.0,8,512.0,64.0,64.0,64.0
