dobrundate,zoning_dist1,total,average,count
06/28/2022 00:00:00,C4-3A,0.0,0.0,1
08/24/2021 00:00:00,,0.0,0.0,1
12/16/2022 00:00:00,R5,4930.0,4930.0,1
10/28/2025 00:00:00,C5-2,0.0,0.0,1
11/04/2021 00:00:00,R3-1,0.0,0.0,1
05/04/2021 00:00:00,,0.0,0.0,2
12/16/2022 00:00:00,C1-2,4738.0,4738.0,1
05/03/2022 00:00:00,R6,0.0,0.0,1
01/25/2022 00:00:00,R2,0.0,0.0,1
12/09/2021 00:00:00,R2A,0.0,0.0,1
06/04/2023 00:00:00,R4,2082.0,1041.0,2
11/19/2025 00:00:00,R7-2,0.0,0.0,1
06/29/2021 00:00:00,R5B,0.0,0.0,1
05/04/2021 00:00:00,R2,0.0,0.0,1
09/21/2021 00:00:00,R6,0.0,0.0,1
05/04/2021 00:00:00,R8B,0.0,0.0,1
05/04/2022 00:00:00,R6B,0.0,0.0,1
06/04/2023 00:00:00,R6,10119.0,5059.5,2
11/19/2025 00:00:00,C5-3,0.0,0.0,1
10/28/2025 00:00:00,,0.0,0.0,2
11/19/2025 00:00:00,,0.0,0.0,5
04/28/2021 00:00:00,M1-5A,0.0,0.0,1
06/12/2021 00:00:00,R7-1,0.0,0.0,1
06/04/2023 00:00:00,C8-1,0.0,0.0,2
08/24/2021 00:00:00,R6,0.0,0.0,1
06/04/2023 00:00:00,C6-1,0.0,0.0,2
08/31/2021 00:00:00,R4,0.0,0.0,1
05/26/2021 00:00:00,R6,0.0,0.0,1
06/26/2022 00:00:00,M1-2,0.0,0.0,1
06/04/2023 00:00:00,M2-1,0.0,0.0,1
06/04/2023 00:00:00,C1-3,0.0,0.0,2
01/11/2022 00:00:00,,0.0,0.0,1
11/19/2025 00:00:00,C2-2,0.0,0.0,1
06/04/2023 00:00:00,R2,0.0,0.0,1
05/03/2022 00:00:00,R4,0.0,0.0,1
06/26/2022 00:00:00,R6,0.0,0.0,2
03/09/2022 00:00:00,C5-1,0.0,0.0,1
06/04/2023 00:00:00,,0.0,0.0,1
10/31/2023 00:00:00,R3-2,2230.0,2230.0,1
05/04/2022 00:00:00,C6-2G,0.0,0.0,1
05/03/2022 00:00:00,R7A,0.0,0.0,1
05/04/2021 00:00:00,R6,0.0,0.0,1
