student_safety_and_respect,teacher_horizon_engagement,student_communication_score,school_name,parent_safety_and_respect,teacher_communication_score,principal,school_type
6.1,0.8,5.6,I.S. 072 Rocco Laurie,7.6,7.8,Peter Macellari,Middle School
7.4,0.76,6.6,Brooklyn Democracy Academy,9.3,7.1,Thomas Mckenna,Transfer School
7.8,0.69,6.5,Eleanor Roosevelt High School,8.9,7.5,Dimitri Saliani,High School
6.0,1.0,5.9,High School for Service & Learning at Erasmus,7.7,8.4,Leonard Kassan,High School
6.7,0.45,6.0,J.H.S. M044 William J. O'Shea,8.2,5.2,Liza Ortiz,Middle School
6.4,0.41,5.8,DreamYard Preparatory School,8.1,4.9,Rod Bowen,High School
6.1,0.41,5.7,Pablo Neruda Academy for Architecture and World Studies,7.6,5.1,Ivan Cohen,High School
6.7,0.69,5.2,Franklin Delano Roosevelt High School,7.5,7.0,Geraldine Maione,High School
6.6,0.9,5.3,High School for Contemporary Arts,8.6,7.8,Francisco Sanchez,High School
7.2,0.86,6.7,Isaac Newton Middle School for Math & Science,8.6,8.0,Lisa Nelson,Middle School
7.8,0.64,7.0,P.S. /I.S. 384 Frances E. Carter,8.6,6.4,Brunhilda Perez-Ortiz,Elementary/ Middle School
5.9,0.71,5.0,Port Richmond High School,7.2,7.0,Timothy M. Gannon,High School
6.4,0.63,5.4,Queens Vocational and Technical High School,8.0,6.4,Denise Vittor,High School
6.2,0.76,7.0,Urban Assembly Academy of Civic Engagement,8.5,6.9,Cameron Berube,Middle School
7.5,1.0,6.5,Abraham Lincoln YABC,7.6,8.7,Ari Hoogenboom,YABC
7.5,0.73,6.7,M.S. 223 The Laboratory School of Finance and Technology,8.9,6.9,Ramon Gonzalez,Middle School
6.4,0.79,5.7,Leadership and Public Service High School,7.9,7.2,Lawrence Pendergast,High School
6.4,0.42,5.5,Multicultural High School,8.2,5.5,Altagracia Liciaga,High School
7.2,0.79,7.0,P.S. 046 Arthur Tappan,8.7,7.8,George Young,Elementary School
5.9,0.39,5.5,"Mathematics, Science Research and Technology Magnet High School",7.5,4.7,Andrea G. Holt,High School
7.4,0.69,7.0,P.S. 161 Pedro Albizu Campos,9.1,7.2,Barbara D. Freeman,Elementary School
7.0,0.86,6.2,Fannie Lou Hamer Freedom High School,8.8,8.1,Nancy Mann,High School
8.1,0.76,6.7,John V. Lindsay Wildcat Academy Charter School,9.2,7.6,Ron Tabano & Marc Donald,Transfer School
7.0,0.62,6.4,M.S. 224 Manhattan East School for Arts & Academics,8.2,6.8,Liliana Sarro,Middle School
7.9,0.83,6.7,P.S./I.S. 210 - 21st Century Academy for Community Leadership,9.3,7.0,Evelyn Linares,Elementary/ Middle School
6.3,0.41,5.7,Upper School @ P.S. 25,7.8,5.7,William Cooper,Middle School
7.8,0.9,6.6,High School of American Studies at Lehman College,9.1,7.3,Alessandro Weiss,High School
7.1,0.36,6.9,Jill Chaifetz Transfer High School,8.3,5.5,Anne Fennelly,Transfer School
5.9,0.44,5.3,University Neighborhood High School,7.3,4.5,Robert Miller,High School
5.7,0.73,5.0,Grace Dodge Career and Technical Education High School,7.6,7.2,Roberto Hernandez,High School
5.7,0.73,5.0,Grace Dodge Career and Technical Education High School,7.6,7.2,Roberto Hernandez,YABC
6.0,0.41,5.5,"High School for Arts, Imagination and Inquiry",7.8,4.2,Stephen Noonan,High School
6.0,0.64,6.4,P.S. 101 Andrew Draper,8.2,6.6,Alexander Castillo,Middle School
5.9,0.73,6.1,Bronx Latin,7.6,6.7,Leticia Pineiro,Middle/ High School
8.2,0.81,6.1,George Washington Educational Campus YABC,9.2,8.6,Nicholas Politis,YABC
8.2,0.81,6.1,George Washington Educational Campus YABC,9.2,8.6,Nicholas Politis,High School
8.3,1.0,7.6,M.S. 243 Center School,9.3,8.4,Elaine Schwartz,Middle School
7.0,0.81,6.2,Queens High School for the Sciences at York College,8.6,7.5,Jie Zhang,High School
6.1,0.5,5.6,Frances Perkins Academy,8.0,6.4,Javier Guzman,High School
6.8,0.76,6.0,I.S. 98 Bay Academy,8.6,7.3,Mrs. Marian Nagler,Middle School
6.3,0.58,5.9,P.S. 133 Fred R Moore,8.7,7.4,Pamela Craig,Elementary School
6.9,0.95,6.6,P.S. 207 Elizabeth G. Leary,8.9,8.2,Mary Bosco,Elementary/ Middle School
5.6,0.88,5.5,Boys and Girls High School,7.5,8.1,Spencer Holder,High School
6.9,0.79,5.9,Validus Preparatory Academy: An Expeditionary Learning School,8.6,6.9,Brady Smith,High School
5.4,0.71,5.0,High School for Law Enforcement and Public Safety,7.3,7.0,Diahann E. Malcolm,High School
6.2,0.86,5.6,J.H.S. 014 Shell Bank,8.0,7.7,Anne Tully,Middle School
7.1,0.54,5.6,Richard R. Green High School of Teaching,8.4,6.0,David Raubvogel,High School
