borough,manhattan_condominium_property_address,manhattan_condominium_property_boro_block_lot,manhattan_condominium_property_full_market_value,manhattan_condominium_property_total_units,manhattan_condominium_property_market_value_per_sqft,total,count,average
1,845 UNITED NATIONS PLAZA,1-01340-7501,252999996,370,306.0,51500000.0,1,51500000.0
1,200 RECTOR PLACE,1-00016-7508,114999983,546,196.0,23448960.0,1,23448960.0
1,70 BATTERY PLACE,1-00016-7517,107999966,249,246.0,21908850.0,1,21908850.0
1,30 WEST STREET,1-00016-7514,91199996,234,211.0,18568432.0,1,18568432.0
1,117 EAST 57 STREET,1-01312-7501,78800007,236,216.0,16054368.0,1,16054368.0
1,5 EAST 22 STREET,1-00851-7501,78400071,423,206.0,15978816.0,1,15978816.0
1,1965 BROADWAY,1-01138-7502,69299975,199,216.0,14113000.0,1,14113000.0
1,180 WEST END AVENUE,1-01158-7502,57200000,452,116.0,13811504.0,1,13811504.0
1,80 COLUMBUS CIRCLE,1-01049-7501,65199999,65,299.0,13291717.0,1,13291717.0
1,120 RIVERSIDE BOULEVARD,1-01171-7504,58100023,277,221.0,11835135.0,1,11835135.0
1,381 2 AVENUE,1-00903-7502,52300000,329,163.0,11237765.0,1,11237765.0
1,340 EAST 23 STREET,1-00928-7503,51599981,207,221.0,10518480.0,1,10518480.0
1,225 EAST 57 STREET,1-01331-7502,44000000,260,144.0,9450000.0,1,9450000.0
1,211 EAST 46 STREET,1-01320-7506,41499997,261,200.0,8450000.0,1,8450000.0
1,236 EAST 47 STREET,1-01320-7505,37200007,173,226.0,7580000.0,1,7580000.0
1,100 WEST 89 STREET,1-01219-7501,29900000,108,206.0,6092940.0,1,6092940.0
1,306 WEST 48 STREET,1-01038-7501,26600017,122,211.0,5409959.0,1,5409959.0
1,309 EAST 49 STREET,1-01342-7501,25800003,85,216.0,5260000.0,1,5260000.0
1,1031 6 AVENUE,1-00814-7501,22100002,89,227.0,4500000.0,1,4500000.0
1,201 EAST 36 STREET,1-00917-7501,20099989,118,163.0,4319140.0,1,4319140.0
1,650 6 AVENUE,1-00821-7503,20100007,67,212.0,4085000.0,1,4085000.0
1,315 7 AVENUE,1-00803-7501,19900004,93,210.0,4060000.0,1,4060000.0
1,82 BEAVER STREET,1-00028-7501,19000009,126,196.0,3876080.0,1,3876080.0
1,20 EAST 68 STREET,1-01382-7501,16100000,84,167.0,3450000.0,1,3450000.0
1,145 EAST 76 STREET,1-01411-7501,15699998,20,228.0,3200000.0,1,3200000.0
1,157 CHAMBERS STREET,1-00140-7505,14600007,38,167.0,3144024.0,1,3144024.0
1,330 SPRING STREET,1-00595-7504,14900002,40,216.0,3030060.0,1,3030060.0
1,125 WEST 22 STREET,1-00798-7505,14200000,33,212.0,2900000.0,1,2900000.0
1,311 GREENWICH STREET,1-00140-7502,13100003,80,197.0,2662040.0,1,2662040.0
1,130 WEST 79 STREET,1-01150-7503,12100007,93,177.0,2592550.0,1,2592550.0
1,71 NASSAU STREET,1-00079-7503,11600000,67,174.0,2500000.0,1,2500000.0
1,330 EAST 57 STREET,1-01349-7502,11300002,14,273.0,2300000.0,1,2300000.0
1,148 MADISON STREET,1-00274-7502,9740000,80,222.0,1984212.0,1,1984212.0
1,320 EAST 54 STREET,1-01346-7501,9220004,90,142.0,1980000.0,1,1980000.0
1,203 EAST 16 STREET,1-00897-7501,8570000,32,168.0,1840896.0,1,1840896.0
1,312 EAST 23 STREET,1-00928-7502,11000000,36,168.0,1769652.0,1,1769652.0
1,312 EAST 23 STREET,1-00928-7502,8240000,36,168.0,1769652.0,1,1769652.0
1,2120 BROADWAY,1-01166-7501,8190004,92,149.0,1759200.0,1,1759200.0
1,220 WEST BROADWAY,1-00189-7501,5900000,24,112.0,1423845.0,1,1423845.0
1,420 WEST 23 STREET,1-00720-7501,6629998,39,177.0,1422378.0,1,1422378.0
1,120 WEST 58 STREET,1-01010-7502,4580001,33,140.0,983880.0,1,983880.0
1,31 WEST 11 STREET,1-00575-7502,3529998,17,103.0,852950.0,1,852950.0
1,55 EAST 93 STREET,1-01505-7501,3939996,29,170.0,845000.0,1,845000.0
1,1356 1 AVENUE,1-01467-7501,3260004,28,165.0,700000.0,1,700000.0
1,67 HUDSON STREET,1-00180-7502,2850003,20,137.0,612125.0,1,612125.0
1,142 HENRY STREET,1-00273-7501,2109998,13,108.0,509522.0,1,509522.0
1,205 BLEECKER STREET,1-00542-7501,1980000,24,111.0,477273.0,1,477273.0
1,53 WEST 11 STREET,1-00575-7501,1050000,15,112.0,253260.0,1,253260.0
1,715 9 AVENUE,1-01058-7501,906000,16,116.0,218736.0,1,218736.0
