permitid,fullpermitno,axle3nooftires,leaseexpirationdate,axle4weight,steeringloadrating,permitteecompany,loadoutlength,loadinwidth,cdno,steeringweight,applicationdate
3245,CZ47-2015420-373,,,,,,,,3569.0,33000.0,2015-01-16T16:47:01.000
4123,ZVPY-2015914-788,4.0,,,18000.0,,,,,18000.0,2015-08-21T13:26:25.000
2560,X7BE-2014109-961,,,,,,,,,,2014-08-14T11:23:04.000
2467,GPQZ-201482-841,,,,,,,,,,2014-07-02T11:31:52.000
6621,TOYI-2018117-75,,,,,,,,4379.0,23293.0,2017-11-28T16:14:12.000
2561,X7BE-2014109-955,4.0,,,14800.0,,,,,20000.0,2014-08-14T14:06:21.000
3992,TMFM-2015819-747,4.0,,,9370.0,,,,,18800.0,2015-08-08T13:21:57.000
2736,EVWI-2014111-1081,4.0,,,7300.0,,,,,14600.0,2014-09-22T10:39:20.000
2489,GPQZ-201482-862,4.0,,,9040.0,,,,,20000.0,2014-07-08T15:28:15.000
4269,RLB6-2016114-111,,,,,gerster,60.0,8.0,,,2015-10-19T14:22:00.000
3937,D82K-2015723-677,,,,,Green Trucking Inc.,58.06,8.0,,,2015-07-20T14:41:27.000
2711,EVWI-2014111-1057,4.0,,,7300.0,,,,,14600.0,2014-09-19T10:41:50.000
3052,ZUBW-2015416-357,,,21505.0,,,,,4213.0,17655.0,2014-12-10T15:35:48.000
2921,HMQ7-2014117-1123,4.0,,,18460.0,,,,,18000.0,2014-11-07T11:49:53.000
3736,GMEJ-2015722-655,,,22000.0,,,,,4696.0,20000.0,2015-05-25T18:17:44.000
2634,HMQ7-2014117-1132,4.0,,,8800.0,,,,,21300.0,2014-09-15T09:51:29.000
3274,ANU2-2015324-217,,,,,,,,3857.0,33000.0,2015-01-22T14:28:33.000
3981,C8VW-2015817-710,,,,,Husted Trucking Inc,60.0,8.0,,,2015-08-06T14:48:24.000
4156,FG5G-2015930-850,4.0,,,20000.0,,,,,20000.0,2015-08-31T16:51:51.000
3459,SL64-2015320-156,,,,,"Greene Trucking, Inc.",58.06,8.0,,,2015-03-17T14:35:42.000
4426,B2GR-20151122-1060,4.0,,,9000.0,,,,,18000.0,2015-11-02T09:45:42.000
2716,EVWI-2014111-1062,4.0,,,9000.0,,,,,18000.0,2014-09-19T13:48:06.000
4468,V7G8-20151123-1100,4.0,,,7350.0,,,,,14600.0,2015-11-03T09:46:09.000
3055,W946-2015410-298,,,,,,,,4091.0,36980.0,2014-12-11T11:37:58.000
2453,RIE1-2014917-900,,,,,"Greene Trucking, Inc.",58.06,8.0,,,2014-06-26T15:22:00.000
4451,V7G8-20151123-1086,4.0,,,7300.0,,,,,14600.0,2015-11-02T14:40:42.000
2970,G87G-2014126-1194,,,,,"Coventry Transport Services, LLC.",60.0,8.0,,,2014-11-25T11:50:19.000
3750,PWXH-2015821-755,,,,,,,,,,2015-05-29T09:09:16.000
4472,B2GR-20151122-1068,4.0,,,20000.0,,,,,16000.0,2015-11-03T13:33:35.000
2546,DE7L-2014108-934,4.0,,,8800.0,,,,,20000.0,2014-08-11T15:19:38.000
2855,T8QG-20141218-1269,4.0,,,14780.0,,,,,14600.0,2014-10-20T11:39:43.000
5438,LE2R-20161024-780,,20210808000000.0,,,,,,,,2016-09-28T16:03:37.000
2648,EVWI-2014111-1000,4.0,,,9090.0,,,,,18180.0,2014-09-17T10:30:37.000
