dbn,p_q4d_5,p_q5a,p_q2d_5,p_q1_7,p_q4c_3,p_q3c_4,p_q8e_2,p_q8b_4,p_q2i_5,p_q12ad,n_t,p_q4b_2,p_q4e_2,p_q11e_3,p_q11c_2,p_q11c,p_q11a,p_q2f_1,p_q9_10,p_q3d_2,p_q2e_4,p_q6_3,p_q7c_5,p_q8c_3,p_q8c_4,p_q8f,p_q2c_4,p_q3d_4,p_q1_9,p_q7b_1,p_q7d_4,p_q4b,p_q11e_2,p_q5,p_q12ab_1,p_q12aa_4,p_q5i,p_q2b_4,p_q8f_3,p_q4b_3,p_q3b_3,p_q2h_5,p_q11c_3,p_q10j,eng_tot_10,p_q2d,p_q2c_2,saf_t_10,p_q12aa_5,p_q11b_2,nr_s,p_q4c_4,p_q12ac,p_q12aa_2,p_q5f,p_q8f_4,p_q4b_1,p_q2f_4,principal,p_q4d_1,p_q3a_3,p_q2c,p_q4c,p_q11b_3,p_q3a_2,p_q11a_4,p_q9_1,p_q7a_4,p_q11e_4,p_q2d_2,studentsurvey,p_q2h_4,p_q11b_4,p_q8d_2,p_q7a,p_q7c_3,p_q2f,com_s_10,p_q11c_4,p_q7b_5,rr_s,p_q3a_4,p_q8a_4,p_q2b_5,p_q5c,p_q9_6,p_q12aa_1,p_q11a_2,p_q1_5,p_q9_4,p_q4d_4,saf_s_10,p_q3a,p_q3c_5,p_q7a_1,p_q8a_5,p_q4a_3,p_q11f_3,p_q12bd,p_q10e,p_q7d_3,p_q4a
07X296,4.0,10.0,1.0,0.0,2.0,8.0,7.0,3.0,3.0,,25.0,41.0,,2.0,45.0,8.2,8.5,57.0,1.0,27.0,0.0,6.0,4.0,1.0,1.0,9.1,0.0,5.0,40.0,50.0,2.0,8.5,50.0,7.1,26.0,3.0,32.0,1.0,4.0,4.0,14.0,2.0,4.0,42.0,7.7,8.5,55.0,8.1,10.0,51.0,229.0,1.0,,62.0,41.0,2.0,53.0,1.0,Roshone Ault,51.0,14.0,8.0,8.5,3.0,28.0,1.0,7.0,1.0,1.0,42.0,Yes,0.0,1.0,12.0,8.3,2.0,8.4,6.6,1.0,1.0,97.0,6.0,9.0,1.0,21.0,9.0,24.0,39.0,0.0,13.0,1.0,6.3,7.4,7.0,44.0,21.0,1.0,1.0,,5.0,1.0,8.8
05M469,6.0,29.0,0.0,0.0,13.0,10.0,10.0,5.0,2.0,,21.0,44.0,52.0,11.0,45.0,7.3,7.2,48.0,1.0,37.0,1.0,15.0,4.0,4.0,3.0,8.5,3.0,11.0,19.0,30.0,5.0,7.7,48.0,7.4,9.0,12.0,20.0,5.0,4.0,7.0,11.0,1.0,12.0,38.0,6.9,7.8,54.0,6.5,15.0,56.0,386.0,7.0,,44.0,9.0,4.0,40.0,2.0,Dr. A. Ellen Parris,34.0,12.0,7.5,7.0,14.0,37.0,3.0,8.0,6.0,3.0,52.0,Yes,4.0,3.0,17.0,7.1,9.0,7.9,5.8,4.0,1.0,83.0,7.0,16.0,0.0,20.0,11.0,14.0,57.0,0.0,8.0,5.0,5.9,7.1,2.0,28.0,14.0,7.0,12.0,,4.0,4.0,7.6
02M288,4.0,21.0,1.0,0.0,15.0,10.0,20.0,5.0,7.0,,24.0,48.0,50.0,11.0,62.0,7.0,7.6,38.0,0.0,25.0,1.0,18.0,5.0,4.0,4.0,7.4,2.0,17.0,0.0,21.0,4.0,7.2,59.0,6.7,6.0,6.0,24.0,3.0,8.0,14.0,28.0,3.0,11.0,33.0,7.1,8.0,61.0,7.6,28.0,58.0,421.0,4.0,,45.0,6.0,7.0,30.0,2.0,Roger Turgeon,28.0,26.0,7.1,7.0,12.0,29.0,1.0,6.0,3.0,3.0,54.0,Yes,6.0,1.0,21.0,7.7,8.0,7.5,5.9,2.0,5.0,63.0,12.0,7.0,3.0,2.0,6.0,8.0,60.0,0.0,9.0,3.0,6.3,4.9,12.0,26.0,22.0,8.0,8.0,,14.0,8.0,7.6
10X059,0.0,69.0,0.0,23.0,2.0,3.0,5.0,1.0,0.0,,40.0,76.0,,1.0,76.0,7.4,7.4,27.0,1.0,59.0,0.0,4.0,1.0,1.0,0.0,9.8,1.0,4.0,0.0,20.0,0.0,7.9,80.0,8.8,7.0,0.0,7.0,0.0,0.0,2.0,9.0,0.0,1.0,50.0,7.5,7.7,73.0,7.5,5.0,76.0,,0.0,,83.0,58.0,0.0,22.0,0.0,Christine McHugh,22.0,6.0,7.3,8.0,2.0,60.0,0.0,6.0,0.0,0.0,69.0,No,1.0,1.0,12.0,8.0,3.0,7.5,,0.0,0.0,,4.0,1.0,0.0,26.0,5.0,8.0,74.0,24.0,4.0,0.0,,7.8,3.0,22.0,11.0,1.0,1.0,,3.0,1.0,8.0
10X015,2.0,38.0,0.0,12.0,2.0,11.0,1.0,1.0,4.0,,41.0,38.0,,3.0,40.0,8.4,8.8,66.0,1.0,17.0,1.0,8.0,3.0,0.0,1.0,9.8,1.0,7.0,15.0,62.0,0.0,8.9,44.0,7.7,33.0,0.0,23.0,1.0,1.0,1.0,15.0,1.0,2.0,46.0,7.9,8.9,39.0,8.2,11.0,42.0,199.0,1.0,,47.0,32.0,1.0,60.0,1.0,Eddice Mebane-Griffin,60.0,18.0,8.5,8.8,6.0,24.0,0.0,3.0,0.0,0.0,29.0,Yes,2.0,1.0,6.0,9.1,1.0,8.8,6.2,1.0,0.0,92.0,6.0,1.0,0.0,25.0,4.0,35.0,30.0,12.0,8.0,1.0,7.4,7.5,10.0,65.0,27.0,1.0,2.0,,5.0,1.0,8.9
20K686,13.0,96.0,2.0,0.0,6.0,4.0,0.0,1.0,2.0,,4.0,29.0,,5.0,32.0,8.5,9.1,51.0,0.0,25.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,11.0,0.0,88.0,0.0,8.5,37.0,9.9,15.0,3.0,26.0,0.0,0.0,6.0,21.0,1.0,5.0,57.0,9.3,9.6,27.0,9.7,54.0,30.0,,0.0,,14.0,88.0,0.0,60.0,1.0,Donna Taylor,57.0,15.0,8.8,8.3,5.0,27.0,0.0,0.0,0.0,1.0,12.0,No,1.0,0.0,1.0,9.3,2.0,8.1,,1.0,0.0,,6.0,0.0,0.0,91.0,16.0,13.0,24.0,0.0,1.0,0.0,,8.0,0.0,76.0,24.0,1.0,6.0,,56.0,2.0,9.1
03M044,4.0,11.0,0.0,0.0,2.0,10.0,0.0,0.0,2.0,,11.0,42.0,,2.0,42.0,8.3,8.7,70.0,0.0,29.0,0.0,4.0,0.0,0.0,0.0,9.9,0.0,6.0,41.0,62.0,0.0,8.7,42.0,7.7,22.0,0.0,28.0,0.0,0.0,0.0,16.0,2.0,2.0,46.0,7.3,8.7,51.0,7.0,22.0,36.0,165.0,2.0,,43.0,22.0,0.0,54.0,2.0,Liza Ortiz,53.0,10.0,8.3,8.6,4.0,33.0,2.0,4.0,0.0,2.0,39.0,Yes,2.0,2.0,6.0,8.8,2.0,8.9,5.9,2.0,0.0,91.0,8.0,2.0,0.0,17.0,7.0,24.0,29.0,0.0,7.0,2.0,6.8,7.3,8.0,61.0,35.0,2.0,0.0,,6.0,0.0,8.8
02M500,1.0,66.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,,17.0,64.0,67.0,0.0,70.0,7.7,7.9,41.0,0.0,16.0,0.0,4.0,2.0,0.0,0.0,9.6,1.0,4.0,0.0,38.0,1.0,8.3,70.0,8.9,11.0,0.0,45.0,0.0,1.0,0.0,3.0,0.0,0.0,57.0,7.8,8.1,65.0,7.6,14.0,68.0,201.0,1.0,,65.0,75.0,0.0,35.0,0.0,FAUSTO DE LA ROSA,32.0,3.0,7.7,8.1,0.0,18.0,0.0,17.0,1.0,0.0,58.0,Yes,1.0,0.0,8.0,8.4,1.0,8.0,8.2,0.0,0.0,90.0,3.0,1.0,0.0,2.0,4.0,16.0,63.0,0.0,4.0,2.0,8.0,9.1,3.0,40.0,16.0,0.0,1.0,,13.0,2.0,8.3
13K067,0.0,51.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,,21.0,53.0,,0.0,46.0,7.8,8.7,56.0,4.0,27.0,0.0,8.0,3.0,0.0,0.0,10.0,0.0,11.0,0.0,33.0,0.0,8.7,41.0,9.0,9.0,3.0,32.0,0.0,0.0,0.0,11.0,3.0,5.0,57.0,8.1,8.4,61.0,8.1,13.0,46.0,,0.0,,59.0,30.0,0.0,47.0,0.0,Corinne Seabrook,50.0,11.0,7.9,8.9,3.0,36.0,0.0,8.0,0.0,0.0,41.0,No,0.0,0.0,6.0,8.6,0.0,8.5,,3.0,0.0,,3.0,11.0,0.0,62.0,0.0,16.0,38.0,3.0,8.0,0.0,,8.3,3.0,44.0,29.0,5.0,3.0,,11.0,3.0,8.4
17K590,1.0,17.0,1.0,0.0,10.0,12.0,4.0,4.0,4.0,,12.0,44.0,30.0,9.0,58.0,6.6,7.3,36.0,2.0,26.0,1.0,13.0,12.0,1.0,2.0,7.9,1.0,19.0,16.0,33.0,2.0,8.0,57.0,8.1,8.0,6.0,29.0,3.0,1.0,7.0,19.0,1.0,14.0,52.0,7.3,8.1,55.0,8.7,21.0,56.0,921.0,4.0,,48.0,37.0,5.0,44.0,4.0,Dr. Michael A. Wiltshire,49.0,20.0,7.6,7.4,12.0,26.0,2.0,5.0,2.0,4.0,52.0,Yes,8.0,4.0,13.0,7.7,6.0,7.2,5.4,5.0,2.0,71.0,23.0,6.0,1.0,39.0,17.0,9.0,60.0,0.0,10.0,2.0,5.9,5.1,5.0,27.0,41.0,6.0,9.0,,29.0,6.0,8.8
