ell_russian_1,math_level_2_1,ell_chinese_1,ela_l3_l4_2,math_l3_l4_2,male_2
No Data,No Data,No Data,No Data,No Data,s
No Data,s,No Data,s,s,s
No Data,19,No Data,62.6%,49.3%,34.1%
No Data,7,No Data,s,s,47.1%
No Data,s,No Data,s,s,s
No Data,s,No Data,s,s,s
No Data,No Data,No Data,No Data,No Data,s
No Data,s,No Data,88.2%,87.0%,25.2%
No Data,47,No Data,43.0%,26.1%,77.1%
No Data,s,No Data,s,s,44.4%
No Data,s,No Data,s,s,62.6%
No Data,28,No Data,s,s,52.1%
No Data,s,No Data,s,s,70.7%
s,No Data,s,No Data,No Data,s
No Data,No Data,No Data,No Data,No Data,53.8%
No Data,8,No Data,s,s,62.0%
No Data,No Data,No Data,No Data,No Data,50.0%
No Data,7,No Data,s,s,60.7%
s,s,s,s,s,60.0%
No Data,s,No Data,s,s,52.9%
No Data,8,No Data,s,s,62.2%
s,11,s,s,s,60.1%
No Data,No Data,No Data,No Data,No Data,41.9%
No Data,42,No Data,s,s,81.8%
No Data,s,No Data,s,s,52.4%
No Data,51,No Data,25.2%,s,50.5%
s,s,s,s,s,41.7%
No Data,s,No Data,s,s,s
No Data,31,No Data,64.6%,36.9%,36.3%
No Data,32,No Data,38.3%,s,70.0%
s,s,s,s,s,42.9%
No Data,s,No Data,s,s,54.2%
No Data,s,No Data,s,s,48.8%
No Data,18,No Data,38.5%,s,43.8%
No Data,s,No Data,s,s,57.9%
No Data,38,No Data,s,s,38.0%
No Data,No Data,No Data,No Data,No Data,50.0%
No Data,s,No Data,s,s,58.9%
s,6,s,s,s,62.1%
No Data,s,No Data,s,s,59.4%
No Data,s,No Data,s,s,s
No Data,7,No Data,s,s,69.1%
No Data,8,No Data,s,s,38.2%
No Data,31,No Data,s,s,46.0%
No Data,s,No Data,58.4%,87.5%,40.2%
No Data,s,No Data,76.1%,s,47.7%
No Data,6,No Data,s,s,51.2%
No Data,32,No Data,s,s,28.4%
No Data,s,No Data,s,s,43.8%
s,s,s,s,s,51.2%
No Data,No Data,No Data,No Data,No Data,35.0%
s,s,s,s,s,50.9%
No Data,30,No Data,s,s,43.5%
No Data,s,No Data,91.2%,92.8%,20.8%
No Data,49,No Data,20.5%,15.5%,80.6%
No Data,No Data,No Data,No Data,No Data,52.1%
No Data,s,No Data,s,s,47.2%
No Data,7,No Data,s,s,34.0%
No Data,s,No Data,s,s,33.3%
No Data,s,No Data,s,s,17.5%
No Data,s,No Data,s,s,55.6%
No Data,s,No Data,s,s,63.6%
No Data,17,No Data,s,s,56.9%
No Data,s,No Data,No Data,s,57.4%
No Data,s,No Data,s,s,51.4%
No Data,83,No Data,62.8%,30.2%,39.0%
s,s,s,s,s,57.7%
No Data,s,No Data,s,s,51.9%
No Data,s,No Data,s,s,55.0%
No Data,13,No Data,62.8%,46.4%,34.0%
s,10,s,s,s,90.2%
No Data,48,No Data,s,14.2%,79.7%
s,s,s,s,s,35.4%
No Data,s,No Data,s,s,52.6%
No Data,s,No Data,s,s,50.0%
No Data,No Data,No Data,No Data,No Data,47.5%
No Data,7,No Data,s,s,45.5%
No Data,No Data,No Data,No Data,No Data,41.2%
