sped_num,fl_percent,selfcontained_num,asian_per,female_num,grade8,name,female_per,grade11,grade7,grade5,grade12
34.0,   ,1,7.5,96.0,,MANHATTAN BUSINESS ACADEMY,45.3,,,,
66.0,77.3,,10.5,267.0,,PS 198 ISADOR E IDA STRAUS,50.9,,,76,
28.0,61.7,2,4.9,108.0,,THE JAMES BALDWIN SCHOOL: A SCHOOL FOR EXPEDITIO,52.4,34,,,15
98.0,,6,20.9,399.0,    ,PS 116 MARY LINDLEY MURRAY                      ,50.6,    ,    ,126,    
58.0,,8,7.9,99.0,    ,MURRAY HILL ACADEMY                             ,46.3,    ,    ,    ,    
95.0,,36,4.2,191.0,58,PS 140 NATHAN STRAUS                            ,46.9,    ,67,31,    
292.0,,108,10.5,1056.0,    ,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,50.9,505,    ,    ,292
71.0,81.6,24,73.0,283.0,,PS 001 ALFRED E SMITH,46.9,,,94,
1.0,18,,12.3,384.0,,BARD HIGH SCHOOL EARLY COLLEGE,74.9,135,,,113
35.0,73.2,10,1.3,152.0,,NEW YORK HARBOR SCHOOL,38.0,91,,,71
101.0,16,1,17.9,297.0,,PS 183 ROBERT L STEVENSON,49.6,,,69,
53.0,,24,10.0,77.0,50,TECHNOLOGY ARTS AND SCIENCES STUDIO             ,45.3,    ,55,    ,    
83.0,   ,33,2.3,219.0,58,PS 149 SOJOURNER TRUTH,51.3,,37,39,
124.0,99.5,35,10.9,234.0,78,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,45.4,67,57,,56
4.0,37.9,,17.9,86.0,22,BALLET TECH / NYC PUBLIC SCHOOL FOR DANCE,59.3,,22,41,3
17.0,91.4,3,33.7,353.0,,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOO,45.7,158,,,214
106.0,   ,33,12.5,181.0,58,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,40.4,67,37,,69
35.0,70.3,4,5.2,126.0,,HIGH SCHOOL FOR HISTORY & COMMUNICATION,46.7,85,,,
11.0,   ,1,58.4,256.0,,BARUCH COLLEGE CAMPUS HIGH SCHOOL,58.2,108,,,102
