fy_2010_7_1_2009,jun_09,bin,jan_09,aug_11,oct_09,aug_08,fy_2012_7_1_2011,jun_10
464.0,336.0,3085070.0,264.0,428.0,288.0,388.0,448.0,408.0
52160.0,57280.0,1052384.0,60800.0,44640.0,57440.0,48640.0,54560.0,50240.0
868.0,869.0,1001388.0,768.0,851.52,720.0,872.0,882.72,722.4
753.4,882.38,2096013.0,2001.09,441.61,2689.05,736.27,537.67,965.73
161.04,147.44,4268900.0,380.14,125.61,204.78,147.99,111.84,142.35
97.0,114.0,1052384.0,288.0,456.0,3213.0,1041.0,98.0,81.0
200.0,200.0,2013899.0,200.0,220.0,200.0,214.0,220.0,154.0
316.0,276.0,4085173.0,248.0,328.0,252.0,248.0,408.0,352.0
681.7,1017.46,3154215.0,450.65,463.56,613.62,431.23,755.88,1182.34
927.63,846.61,4467711.0,1184.24,696.66,2760.42,881.06,609.95,1152.56
560.0,552.0,2096013.0,408.0,609.6,400.0,672.0,660.96,654.24
50.0,20.0,1001037.0,67.0,60.0,68.0,67.0,59.0,0.0
101200.0,100000.0,1001037.0,89200.0,96000.0,96400.0,100400.0,106800.0,93600.0
134400.0,256400.0,4529898.0,182000.0,131200.0,150800.0,105600.0,162400.0,229200.0
0.0,0.0,3032886.0,979.0,142.0,0.0,0.0,80.0,0.0
132.79,120.27,,572.04,150.84,737.05,279.58,124.1,119.21
241.74,234.37,2013899.0,243.17,687.83,284.22,222.69,439.29,220.34
224.4,573.98,,4408.63,577.98,6590.98,1998.25,273.99,683.65
159.0,72.0,2011810.0,234.0,232.0,267.0,231.0,151.0,102.0
39.0,12.0,1001035.0,66.0,42.0,31.0,61.0,28.0,2.0
264.0,216.0,3043248.0,225.6,213.6,204.0,240.0,242.4,213.6
337.2,459.39,3081032.0,212.97,270.11,303.02,286.38,274.77,462.17
796.0,804.0,1087537.0,644.0,890.4,644.0,844.0,868.8,840.8
328.0,308.0,1001037.0,244.0,340.0,244.0,348.0,336.0,292.0
19765.2,16064.63,3085070.0,14487.81,18285.57,16236.4,15134.48,21613.0,19355.81
370.0,292.0,4195688.0,452.0,458.0,422.0,372.0,360.0,342.0
251.56,253.92,4085173.0,860.33,264.58,1122.02,316.44,302.53,303.19
1.0,1.0,2013899.0,3.0,4593.0,4.0,3.0,1956.0,0.0
