beds_number,community_school_sup_name,administrative_district_name,open_date,principal_name,admin_district_location_code,:@computed_region_92fq_4b7q,census_tract,field_support_center_name,location_1,Career Technical with ats_system_code,General Academic with ats_system_code,Transfer School with ats_system_code
331300011670,,,1996-06-05T00:00:00.000,KINSLEY KWATENG,HS05,48,19100,Field Support Center - Brooklyn North,"{'latitude': '40.695389', 'longitude': '-73.968759', 'human_address': '{""address"": ""71-77 CLINTON AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11205""}'}",,13K670      ,
321000011213,,,2004-09-08T00:00:00.000,Karalyne Sperling,HS08,39,30900,Affinity Group,"{'latitude': '40.877379', 'longitude': '-73.912686', 'human_address': '{""address"": ""99 TERRACE VIEW AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10463""}'}",,10X213      ,
331400010577,"WINNICKI, ALICJA",COMMUNITY SCHOOL DISTRICT 14,2004-09-08T00:00:00.000,MARIA MASULLO,K814,30,51900,Field Support Center - Brooklyn North,"{'latitude': '40.715268', 'longitude': '-73.9573', 'human_address': '{""address"": ""208 NORTH 5 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11211""}'}",,14K577      ,
331900011659,,,2008-07-01T00:00:00.000,Amy Yager,HS09,37,118000,Field Support Center - Brooklyn North,"{'latitude': '40.693002', 'longitude': '-73.869305', 'human_address': '{""address"": ""999 JAMAICA AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11208""}'}",,19K659      ,
310200010167,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,1956-07-01T00:00:00.000,Jennifer Rehn,M802,51,13400,Field Support Center - Manhattan,"{'latitude': '40.771541', 'longitude': '-73.957827', 'human_address': '{""address"": ""220 EAST 76 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10021""}'}",,02M167      ,
321000010363,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,2010-07-01T00:00:00.000,Angelo Ledda,X810,29,23703,Field Support Center - Bronx,"{'latitude': '40.859496', 'longitude': '-73.90049', 'human_address': '{""address"": ""120 EAST 184 STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10468""}'}",,10X363      ,
310200011439,,,1996-06-05T00:00:00.000,HECTOR GEAGER,HS04,10,5800,Field Support Center - Manhattan,"{'latitude': '40.741963', 'longitude': '-73.991966', 'human_address': '{""address"": ""43 WEST 22 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10010""}'}",,02M439      ,
310200010033,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,1951-07-01T00:00:00.000,Chingchien Wang,M802,10,9700,Field Support Center - Manhattan,"{'latitude': '40.749014', 'longitude': '-74.000238', 'human_address': '{""address"": ""281 9 AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10001""}'}",,02M033      ,
332000010503,"COSTANTINO, KARINA",COMMUNITY SCHOOL DISTRICT 20,2006-04-27T00:00:00.000,NINA DEMOS,K820,7,7400,Field Support Center - Brooklyn South,"{'latitude': '40.64195', 'longitude': '-74.019299', 'human_address': '{""address"": ""330 59 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11220""}'}",,20K503      ,
320700011381,,,2008-07-01T00:00:00.000,Jazmin Rivera-Polanco,HS08,43,6700,Affinity Group,"{'latitude': '40.818645', 'longitude': '-73.919949', 'human_address': '{""address"": ""333 EAST 151 STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10451""}'}",,,07X381      
310200011308,,,2005-07-01T00:00:00.000,JOHN WENK,HS04,32,1800,Field Support Center - Manhattan,"{'latitude': '40.717329', 'longitude': '-73.989329', 'human_address': '{""address"": ""350 GRAND STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}",,02M308      ,
320800011537,,,2011-07-01T00:00:00.000,Ty Cesene,HS08,43,2800,Affinity Group,"{'latitude': '40.820486', 'longitude': '-73.881187', 'human_address': '{""address"": ""1440 STORY AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10473""}'}",,,08X537      
320800010072,"AMES, KAREN",COMMUNITY SCHOOL DISTRICT 08,1925-07-01T00:00:00.000,MARGARITA COLON,X808,12,15800,Field Support Center - Bronx,"{'latitude': '40.823237', 'longitude': '-73.818172', 'human_address': '{""address"": ""2951 DEWEY AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10465""}'}",,08X072      ,
332000011445,,,1924-07-01T00:00:00.000,MAUREEN GOLDFARB,HS06,44,18200,Field Support Center - Brooklyn South,"{'latitude': '40.613041', 'longitude': '-74.002308', 'human_address': '{""address"": ""1601 80 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11214""}'}",,20K445      ,
331400010380,"WINNICKI, ALICJA",COMMUNITY SCHOOL DISTRICT 14,1981-07-01T00:00:00.000,Elsa Nunez,K814,38,53100,Field Support Center - Brooklyn North,"{'latitude': '40.70179', 'longitude': '-73.953702', 'human_address': '{""address"": ""370 MARCY AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11206""}'}",,14K380      ,
331800010763,"WILKINS, BEVERLY",COMMUNITY SCHOOL DISTRICT 18,2014-07-01T00:00:00.000,ANGELA DEFILIPPIS,K818,26,94600,Field Support Center - Brooklyn South,"{'latitude': '40.647851', 'longitude': '-73.925592', 'human_address': '{""address"": ""5404 TILDEN AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11203""}'}",,18K763      ,
320800010392,"AMES, KAREN",COMMUNITY SCHOOL DISTRICT 08,2014-07-01T00:00:00.000,Maria Rogalle,X808,12,15800,Field Support Center - Bronx,"{'latitude': '40.826794', 'longitude': '-73.818083', 'human_address': '{""address"": ""650 HOLLYWOOD AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10465""}'}",,08X392      ,
320900010114,"RODRIGUEZ-ROSARIO, LETICIA",COMMUNITY SCHOOL DISTRICT 09,1941-07-01T00:00:00.000,OLIVIA FRANCIS WEBBER,X809,42,6300,Field Support Center - Bronx,"{'latitude': '40.834979', 'longitude': '-73.923297', 'human_address': '{""address"": ""1155 CROMWELL AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10452""}'}",,09X114      ,
331700010138,"ELLIS, CLARENCE",COMMUNITY SCHOOL DISTRICT 17,1902-07-01T00:00:00.000,MARIE CHAUVET MONCHIK,K817,49,31701,Field Support Center - Brooklyn South,"{'latitude': '40.673943', 'longitude': '-73.951559', 'human_address': '{""address"": ""760 PROSPECT PLACE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11216""}'}",,17K138      ,
