beds_number,:@computed_region_f5dn_yrer,location_category_description,status_descriptions,school_support_team_leader_name,x_coordinate
310300010208,18,Elementary,Open,,998053
310300010191,20,K-8,Open,,986901
331300010307,68,Elementary,Open,,989352
331900010159,45,Elementary,Open,,1020391
331900010190,45,Elementary,Open,,1013415
320700010030,49,Elementary,Open,,1007111
310200010040,71,Elementary,Open,,989367
321200011550,58,High school,Open,,1017958
3.10200011139E+11,12,High school,Open,,986932
310300011402,20,High school,Open,,991316
321000011237,48,High school,Open,,1011472
331900010346,45,Elementary,Open,,1016996
331700011524,17,High school,Open,,995155
310200010414,12,High school,Open,,983634
321000011433,24,High school,Open,,1012719
310500010318,18,Elementary,Open,,1001455
331600011455,69,High school,Open,,1003221
332000010127,10,Elementary,Open,,979134
321000010033,6,Elementary,Open,,1011560
320800010072,43,Elementary,Open,,1034574
332000010187,10,Junior High-Intermediate-Middle,Open,,983172
321100010112,29,Elementary,Open,,1027392
310200011519,23,High school,Open,,995392
321000010081,48,Elementary,Open,,1010606
331700010532,16,Elementary,Open,,1002471
320800011269,8,Secondary School,Open,,1013876
331800011566,5,High school,Open,,1007307
310600010349,47,Junior High-Intermediate-Middle,Open,,1000910
320900010457,50,Elementary,Open,,1007073
331400010297,69,Elementary,Open,,998623
331600010243,16,Elementary,Open,,1002254
310300011492,20,High school,Open,,988236
331500011464,14,Secondary School,Open,,990192
320800011376,58,Secondary School,Open,,1024125
320900010126,50,Elementary,Open,,1004118
321100011275,29,High school,Open,,1022511
320800010302,8,Junior High-Intermediate-Middle,Open,,1011487
331300011674,68,High school,Open,,988103
331900010557,45,Elementary,Open,,1012657
331300010067,68,Elementary,Open,,990441
331700011546,17,High school,Open,,999832
310200010183,23,Elementary,Open,,995959
321200010242,58,Secondary School,Open,,1017958
320900010004,34,K-8,Open,,1012488
331700010394,16,K-8,Open,,1003968
331400861021,36,Elementary,Open,,997197
320700010296,49,Junior High-Intermediate-Middle,Open,,1010437
321100010194,43,K-8,Open,,1026700
320900010328,50,Junior High-Intermediate-Middle,Open,,1008032
310200011570,11,High school,Open,,986865
331700011745,17,High school,Open,,999832
320900010232,6,Junior High-Intermediate-Middle,Open,,1007706
310200011432,11,High school,Open,,989495
331500011592,68,High school,Open,,989844
321100011455,43,High school,Open,,1030803
310500010030,7,Elementary,Open,,1002117
320900010011,50,Elementary,Open,,1004756
321100011249,43,High school,Open,,1030803
310100011515,70,High school,Open,,988120
320700011379,49,High school,Open,,1010437
310200010397,56,K-8,Open,,982855
321200010300,35,Elementary,Open,,1015591
310400010102,7,Elementary,Open,,1001301
332000010048,2,Elementary,Open,,987813
331900010273,45,Elementary,Open,,1017745
331400010059,69,Elementary,Open,,999978
320900010229,6,Junior High-Intermediate-Middle,Open,,1005976
321100010355,29,Junior High-Intermediate-Middle,Open,,1028579
331400010084,36,K-8,Open,,994283
321100010021,29,Elementary,Open,,1023120
331500861023,14,Elementary,Open,,986110
