ats_system_code,location_code,location_name,primary_building_code,community_district,:@computed_region_efsh_h5xi,highschool_network_name,:@computed_region_sbqj_enih,fiscal_year,field_support_center_leader_name
12X067      ,X067,P.S. 067 Mohegan School,X067,206,11269.0,,31,2018,"RUIZ, JOSE"
17k161      ,K161,P.S. 161 The Crown,K161,309,13509.0,,44,2018,Mauriciere de Govia
10X007      ,X007,Milton Fein School,X007,208,11272.0,,33,2018,"RUIZ, JOSE"
11X508      ,X508,Bronxdale High School,X415,211,11607.0,H.S. Network 02 Superintendent Office,32,2018,"RUIZ, JOSE"
09X404      ,X404,School for Excellence,X400,203,10934.0,H.S. Network 09 Superintendent Office,25,2018,"RUIZ, JOSE"
09X199      ,X199,P.S. 199X - The Shakespeare School,X104,204,10930.0,,27,2018,"RUIZ, JOSE"
17K546      ,K546,High School for Public Service: Heroes of Tomorrow,K470,309,16866.0,H.S. Network 07 Superintendent Office,44,2018,"ANORMALIZA, ALEXANDRA"
12X479      ,X479,Bronx Career and College Preparatory High School,X158,203,10934.0,HS Network 10 Superintendent Office,25,2018,"RUIZ, JOSE"
02M300      ,M300,"Urban Assembly School of Design and Construction,",M535,104,12081.0,H.S. Network 03 Superintendent Office,10,2018,"ANORMALIZA, ALEXANDRA"
13K282      ,K282,P.S. 282 Park Slope,K282,306,17619.0,,50,2018,"FITZGERALD, BERNADETTE"
16K628      ,K628,Brooklyn Brownstone School,K035,303,13516.0,,52,2018,"FITZGERALD, BERNADETTE"
12X098      ,X098,J.H.S. 098 Herman Ridder,X098,203,11269.0,,25,2018,"RUIZ, JOSE"
02M655      ,M655,Life Sciences Secondary School,M645,108,10099.0,HS Network 04 Superintendent Office,11,2018,"CHU, YUET"
07X334      ,X334,International Community High School,X139,201,10932.0,H.S. Network 12 Superintendent Office,23,2018,"ANORMALIZA, ALEXANDRA"
02M442      ,M442,"Ballet Tech, NYC Public School for Dance",M905,105,11724.0,,7,2018,"CHU, YUET"
11X418      ,X418,Bronx High School for the Visual Arts,X839,211,11271.0,H.S. Network 02 Superintendent Office,32,2018,"RUIZ, JOSE"
09X128      ,X128,Mott Hall III,X110,203,10934.0,,25,2018,"RUIZ, JOSE"
03M084      ,M084,P.S. 084 Lillian Weber,M084,107,12422.0,,15,2018,"CHU, YUET"
08X269      ,X269,Bronx Studio School for Writers and Artists,X392,202,10937.0,,24,2018,"RUIZ, JOSE"
02M312      ,M312,New York City Lab Middle School for Collaborative,M070,104,12074.0,,6,2018,"CHU, YUET"
06M322       ,M322,Middle School 322,M218,112,13098.0,,22,2018,"CHU, YUET"
13K483      ,K483,The Urban Assembly School for Law and Justice,K313,302,16865.0,H.S. Network 03 Superintendent Office,54,2018,"ANORMALIZA, ALEXANDRA"
10x315      ,X315,P.S. 315 Lab School,X779,208,11606.0,,33,2018,"RUIZ, JOSE"
01M364      ,M364,Earth School,M064,103,11729.0,,5,2018,"CHU, YUET"
01M363      ,M363,Neighborhood School,M063,103,11729.0,,5,2018,"CHU, YUET"
03M166      ,M166,P.S. 166 The Richard Rodgers School of The Arts an,M166,107,12421.0,,15,2018,"CHU, YUET"
17K722      ,K722,New Heights Middle School,K391,309,16866.0,,44,2018,Mauriciere de Govia
15K839      ,K839,M.S. 839,K437,307,17620.0,,45,2018,"FITZGERALD, BERNADETTE"
17K532      ,K532,New Bridges Elementary,K167,308,17615.0,,49,2018,Mauriciere de Govia
07X049      ,X049,P.S. 049 Willis Avenue,X049,201,10932.0,,23,2018,"RUIZ, JOSE"
10X279      ,X279,"P.S. 279 Captain Manuel Rivera, Jr.",X279,205,10931.0,,29,2018,"RUIZ, JOSE"
11X089      ,X089,P.S. 089 Bronx,X089,211,11607.0,,32,2018,"RUIZ, JOSE"
19K273      ,K273,P.S. 273 Wortman,K273,305,17214.0,,47,2018,"FITZGERALD, BERNADETTE"
10X459      ,X459,East Fordham Academy for the Arts,X115,205,11606.0,,29,2018,"RUIZ, JOSE"
05M123      ,M123,P.S. 123 Mahalia Jackson,M123,110,12427.0,,20,2018,"CHU, YUET"
