latitude,longitude,overlevel,boro,ycoord,cd,facsubgrp
40.6860142872,-73.8273156838,City,QUEENS,189257.138263,410,CHILD NUTRITION
40.7443305688,-73.9569566783,City,QUEENS,210459.261405,402,DOE UNIVERSAL PRE-KINDERGARTEN
40.6865384374,-73.9865146468,State,BROOKLYN,189401.18341,302,HISTORICAL SITES
40.8168690627,-73.8605933877,City,BRONX,236915.267368,209,NON-PUBLIC K-12 SCHOOLS
40.8121114662,-73.9050057302,State,BRONX,235165.458061,201,HOSPITALS AND CLINICS
40.8149617726,-73.9087768364,City,BRONX,236202.816475,201,DAY CARE
40.6780107005,-73.9734287511,State,BROOKLYN,186295.112095,306,MENTAL HEALTH
40.8382717188,-73.8415246987,City,BRONX,244722.0,210,BUS DEPOTS AND TERMINALS
40.7457188849,-73.9788265259,State,MANHATTAN,210962.848036,106,HOSPITALS AND CLINICS
40.794604,-73.970956,City,MANHATTAN,228773.947572,107,DSNY DROP-OFF FACILITY
40.693609,-73.990862,City,BROOKLYN,191977.040701,302,CITY GOVERNMENT OFFICES
40.6094004742,-74.1883371186,City,STATEN ISLAND,161353.631578,502,BUS DEPOTS AND TERMINALS
40.764879,-73.985455,City,MANHATTAN,217943.126007,104,COURTHOUSES AND JUDICIAL
40.6455077087,-74.0238996982,State,BROOKLYN,174453.147856,307,HOSPITALS AND CLINICS
40.6687691274,-73.8645659985,City,BROOKLYN,182956.069639,305,CHILD NUTRITION
0.0,0.0,City,MANHATTAN,0.0,0,OTHER CULTURAL INSTITUTIONS
40.5331895395,-74.1908047023,City,STATEN ISLAND,133589.656834,503,DAY CARE
40.6349675557,-73.9822191676,City,BROOKLYN,170612.680115,312,AFTER-SCHOOL PROGRAMS
40.7560900465,-73.984380499,State,MANHATTAN,214741.073531,105,HISTORICAL SITES
40.771028,-73.948828,City,MANHATTAN,220187.216179,108,PARKING LOTS AND GARAGES
40.8379049668,-73.8343703648,City,BRONX,244592.041131,210,DAY CARE
40.8728550589,-73.9305900174,City,MANHATTAN,257289.976345,112,CHILD NUTRITION
40.735168,-73.909116,City,QUEENS,207131.182991,402,MAINTENANCE AND GARAGES
40.749941648,-74.0007282581,City,MANHATTAN,212500.62795,104,RECREATION AND WATERFRONT SITES
40.7580924182,-73.7944357834,City,QUEENS,215537.038435,407,CHILD NUTRITION
40.8006793134,-73.9511172353,State,MANHATTAN,230989.838848,110,SUBSTANCE USE DISORDER TREATMENT PROGRAMS
40.7312218126,-73.8709582177,City,QUEENS,205706.739593,406,AFTER-SCHOOL PROGRAMS
40.8282056722,-73.9090901612,City,BRONX,241027.956312,203,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES"
40.8486044377,-73.9088552414,City,BRONX,248460.050405,205,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES"
40.7623835196,-73.8038562951,City,QUEENS,217094.439122,407,"STREETSCAPES, PLAZAS, AND MALLS"
40.8122108373,-73.9463814519,City,MANHATTAN,235191.946907,110,RECREATION AND WATERFRONT SITES
40.637549,-74.140502,City,STATEN ISLAND,171583.942161,501,RAIL YARDS AND MAINTENANCE
40.7312673084,-74.0053113255,City,MANHATTAN,205697.017286,102,OTHER CULTURAL INSTITUTIONS
40.7531210622,-73.9357059245,City,QUEENS,213665.52764,401,CHARTER K-12 SCHOOLS
40.830136,-73.845255,City,BRONX,241756.015773,209,CITY AGENCY PARKING
0.0,0.0,,BROOKLYN,0.0,0,SOUP KITCHENS AND FOOD PANTRIES
40.704689,-73.900902,State,QUEENS,196029.223309,405,OTHER HEALTH CARE
40.6757855782,-73.9975404994,City,BROOKLYN,185483.327969,306,RECREATION AND WATERFRONT SITES
40.7717573443,-73.8155863412,City,QUEENS,220502.567861,407,DAY CARE
40.7204986232,-73.8606467212,City,QUEENS,201804.332553,406,PUBLIC K-12 SCHOOLS
40.7571785496,-73.831266963,City,QUEENS,215182.287082,407,SENIOR SERVICES
40.7828763067,-73.9526290076,City,MANHATTAN,224503.36037,108,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES"
40.6415729416,-73.9536441401,City,BROOKLYN,173022.104107,317,OTHER CULTURAL INSTITUTIONS
40.7427348866,-73.8767080353,City,QUEENS,209899.016251,404,CHILD NUTRITION
40.7209133437,-73.9858647025,City,MANHATTAN,201925.018535,103,OTHER CULTURAL INSTITUTIONS
40.761617,-73.965386,City,MANHATTAN,216756.232056,108,PARKING LOTS AND GARAGES
0.0,0.0,City,,0.0,0,LEGAL AND INTERVENTION SERVICES
40.819059011,-73.9113444872,City,BRONX,237694.857311,201,CHILD NUTRITION
40.7949335872,-73.9452804674,City,MANHATTAN,228897.426648,111,COMMUNITY CENTERS AND COMMUNITY PROGRAMS
40.7760471885,-73.9322079201,City,QUEENS,222019.0,401,BUS DEPOTS AND TERMINALS
40.692822491,-73.9917683075,State,BROOKLYN,191690.467412,302,PROGRAMS FOR PEOPLE WITH DISABILITIES
40.675233925,-74.0183119505,State,BROOKLYN,185282.86627,306,HISTORICAL SITES
40.7321730025,-73.8226343992,City,QUEENS,206076.710872,408,CHILD NUTRITION
40.6945621462,-73.9728593294,City,BROOKLYN,192325.333729,302,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES
40.7876445888,-73.9423247629,State,MANHATTAN,226242.318891,111,HOSPITALS AND CLINICS
40.755938287,-73.9813253662,State,MANHATTAN,214685.948304,105,HISTORICAL SITES
40.6209944981,-74.0726557345,City,STATEN ISLAND,165529.786584,501,OTHER CULTURAL INSTITUTIONS
40.838401824,-73.9228134658,State,BRONX,244739.145747,204,HOSPITALS AND CLINICS
40.7138779565,-73.7550713468,City,QUEENS,199456.42238,412,PROPRIETARY SCHOOLS
40.856438,-73.868955,City,BRONX,251328.112913,211,PARKING LOTS AND GARAGES
40.724798,-73.996706,City,MANHATTAN,203340.019633,102,DSNY DROP-OFF FACILITY
40.8409600348,-73.919250579,City,BRONX,245672.085852,204,CHARTER K-12 SCHOOLS
40.8136906876,-73.9247388941,City,BRONX,235735.516185,201,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES"
40.8612649289,-73.8873945817,City,BRONX,253079.653691,206,COLLEGES OR UNIVERSITIES
40.6573103205,-73.8740391952,City,BROOKLYN,178777.38775,305,PUBLIC K-12 SCHOOLS
40.8521436718,-73.9369610881,City,MANHATTAN,249742.684302,112,OTHER CULTURAL INSTITUTIONS
40.7203166103,-73.9911235922,City,MANHATTAN,201707.418755,103,AFTER-SCHOOL PROGRAMS
40.8214636656,-73.8413623315,City,BRONX,238598.299987,209,BUS DEPOTS AND TERMINALS
40.7336786872,-73.8728198751,City,QUEENS,206601.100422,404,DOE UNIVERSAL PRE-KINDERGARTEN
40.6748255381,-73.9040111232,City,BROOKLYN,185148.136643,316,BUS DEPOTS AND TERMINALS
40.7582796237,-73.9953168143,City,MANHATTAN,215538.456763,104,HISTORICAL SOCIETIES
40.8155830638,-73.9196397401,State,BRONX,236426.230141,201,MENTAL HEALTH
40.7129505319,-73.8808662699,City,QUEENS,199046.06552,405,PUBLIC LIBRARIES
40.7636147415,-73.8241531336,City,QUEENS,217531.074255,407,MUSEUMS
40.6185414983,-73.9615351041,City,BROOKLYN,164630.073921,314,SENIOR SERVICES
40.8815053804,-73.8807390085,City,BRONX,260456.476887,207,DAY CARE
40.6791454924,-74.0094600722,City,BROOKLYN,186707.573309,306,OTHER HEALTH CARE
40.714006,-73.827997,City,QUEENS,199454.960375,409,CITY GOVERNMENT OFFICES
40.8440268632,-73.9167508426,State,BRONX,246790.093483,204,HOSPITALS AND CLINICS
40.747088,-73.986676,City,MANHATTAN,211461.232222,105,PARKING LOTS AND GARAGES
