sitekey,latitude,longitude,iwednesdayopen,opendatestr,wednesdayopen,bbl,:@computed_region_f5dn_yrer,thursdayopen,ithursdayclose,city,ituesdayclose,ianydayopen,closedatestr,imondayopen,scheduleexceptions
AARPMN - 18,40.77440280147733,-73.9846915587038,,Jan 31,,1011377501.0,20,11:00 AM,15.0,,,11.0,Apr 11,,
FBNYC - 40,40.82104436772316,-73.89866583019338,,Jan 28,,2026960095.0,8,10:00 AM,15.0,,15.0,10.0,Apr 15,,
CCHAYA - 1,40.84242446457333,-73.92592751204384,,Mar 30,,2025340008.0,50,,,,,10.0,Mar 30,,
ARIVA - 19,40.81544865079791,-73.94406082243243,,Feb 16,,1019400035.0,18,,,,,10.0,Feb 16,,
FBNYC - 14,40.70130413244252,-73.98176181526577,11.0,Jan 28,11:00 AM,3000710001.0,68,11:00 AM,14.0,,14.0,11.0,Apr 10,,
UU - 6,40.68316080643319,-73.9350750116351,,Jan 28,,3016650001.0,69,3:00 PM,20.0,,,11.0,Apr 15,11.0,
AARPMN - 9,40.73054548227934,-74.00261226813663,,Jan 29,,1005860020.0,57,,,,14.0,10.0,Apr 9,,
FBNYC - 9,40.699962821425096,-73.94844940068975,9.5,Jan 28,9:30 AM,3017200001.0,69,,,,17.0,9.5,Apr 10,9.5,
FBNYC - 2,40.841679869860144,-73.92472483448795,10.0,Jan 29,10:00 AM,2025350026.0,50,10:00 AM,15.0,,12.0,10.0,Apr 12,,
AARPMN - 12,40.82543031251928,-73.94804868654384,,Jan 29,,1020770026.0,37,,,,16.0,12.0,Apr 9,,
FBNYC - 46,40.58149768523625,-73.96207344109642,,Jan 22,,3086660662.0,21,,,,,11.0,Apr 15,,
FBNYC - 75,40.76096132021958,-73.8302801462036,10.0,Jan 29,10:00 AM,4049787501.0,22,10:00 AM,17.0,Flushing,17.0,10.0,Apr 15,10.0,Closed 2/18/19 for President's Day
AARPBX - 3,40.86425489370976,-73.82203018655045,10.0,Jan 29,10:00 AM,2051350210.0,43,,,,14.0,10.0,Apr 9,,
FBNYC - 28,40.638890244516816,-73.95887725593367,9.0,Jan 28,9:00 AM,3052060062.0,60,9:00 AM,12.0,Woodside,12.0,9.0,Apr 10,,
AARPMN - 27,40.70817837535888,-74.00462043183734,,Feb 2,,1000950027.0,56,,,,,10.0,Apr 13,,
UU - 3,40.63586013518829,-74.13443105060368,9.0,Jan 28,9:00 AM,5010350014.0,4,9:00 AM,16.0,,16.0,9.0,Apr 15,,Closed 2/18/2019 for President's Day
UU - 14,40.8154550399206,-73.88576973608926,17.0,Jan 28,5:00 PM,2027630279.0,8,,,,21.0,17.0,Apr 10,17.0,
UU - 4,40.85028974570552,-73.8930981626755,19.0,Jan 28,7:00 PM,2030620021.0,35,7:00 PM,21.5,,21.5,19.0,Apr 10,,
FBNYC - 43,40.84622696084992,-73.8984901214957,,Jan 28,,2029180001.0,35,10:00 AM,13.0,,13.0,10.0,Apr 15,10.0,
FBNYC - 4,40.66505357274081,-73.88578940328217,,Jan 28,,3040900001.0,45,,,,19.5,12.0,Apr 15,12.0,
C - 58,40.88617438601892,-73.84510662944348,,Jan 11,,2049050001.0,29,,,,,18.0,Apr 8,18.0,
FBNYC - 35,40.74794596023932,-73.98283897869614,13.0,Jan 28,1:00 PM,1008647502.0,11,,,,,13.0,Apr 15,13.0,
FBNYC - 47,40.69247526748401,-73.990487253265,10.0,Jan 22,10:00 AM,3001390001.0,68,,,,14.0,10.0,Apr 15,12.0,"""closed:2/26, 2/27, 4/9"""
FBNYC - 53,40.59982719350412,-73.94745000210673,,Jan 22,,3073290055.0,32,,,,,12.0,Apr 15,,
FBNYC - 32,40.62946017549635,-74.07664257624491,9.0,Jan 28,9:00 AM,5005110003.0,4,9:00 AM,16.0,,16.0,9.0,Apr 15,9.0,Closed 2/18/2019 for President's Day
FBNYC - 74,40.60392834194057,-73.75233004848998,,Jan 22,,4155610029.0,51,9:00 AM,17.0,Far Rockaway,17.0,9.0,Apr 11,,
GB - 11,40.67864275529949,-73.91767663515068,9.0,Jan 28,9:00 AM,3015490016.0,69,9:00 AM,17.0,,17.0,9.0,Apr 15,9.0,
ARIVA - 6,40.84242446457333,-73.92592751204384,,Feb 19,,2025340008.0,50,,,,20.0,16.0,Feb 19,,
FBNYC - 37,40.66620621190114,-73.76733921631954,10.0,Jan 28,10:00 AM,4133150009.0,63,10:00 AM,16.0,Jamaica,16.0,10.0,Apr 10,,
ARIVA - 20,40.826623187271245,-73.91786934009829,,Feb 1,,2024220001.0,50,,,,,10.0,Apr 12,,
FBNYC - 71,40.73837684133101,-73.87733522527043,,Jan 31,,4018370001.0,66,12:00 PM,19.0,Elmhurst,,12.0,Apr 11,,
AARPMN - 25,40.78090400630853,-73.9451117097979,,Feb 1,,1015730001.0,23,,,,,9.5,Apr 12,,
UU - 5,40.66712156466313,-73.98800364387691,10.0,Jan 28,10:00 AM,3010290004.0,14,10:00 AM,16.0,,16.0,10.0,Apr 10,10.0,
FBNYC - 22,40.71894279848512,-73.98801235377732,11.0,Jan 28,11:00 AM,1004100064.0,70,9:00 AM,17.0,,,9.0,Apr 10,,
MMCC - 5,40.6520010842805,-74.00511026971611,12.0,Jan 28,12:00 PM,3007050059.0,9,12:00 PM,19.0,,19.0,9.0,Apr 15,10.0,Closed 2/18/2019 for President's Day
FBNYC - 50,40.65576192134303,-73.94458035788318,11.0,Jan 23,11:00 AM,3048290001.0,17,,,,,11.0,Apr 15,11.0,
