principal_name,fax_number,field_support_center_leader,admin_district_location_code,fiscal_year,highschool_network_name,highschool_network_location,managed_by_name,community_school_sup_name,latitude
DR. GIOVANNA DELUCCHI-,718-292-4504,"SAFFER, NANCY",X807,2019,,,DOE,"ALVAREZ, RAFAEL",-73.921593
NAIMA COOK,212-732-6622,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-74.000851
Kaitlin McDermott/Lavinia Mackall,646-478-9491,,,2019,,,Charter,,-73.935461
Kathryn Malloy,718-466-6801,,HS07,2019,HS Network 07 Superintendent Office,HS07,DOE,,-73.901774
Gregg Soulette,212-427-6608,Tillman Roberto,DA75,2019,,,DOE,"LOUISSAINT, KETLER",-73.935461
Michael Barakat,718-295-3631,,HS07,2019,HS Network 07 Superintendent Office,HS07,DOE,,-73.888625
Kristan Norgrove/Bill Holmes,,,,2019,,,Charter,,-73.934951
CARLOS VELEZ,718-563-1499,"SAFFER, NANCY",X810,2019,,,DOE,"HULLA, MARIBEL",-73.909763
DENISE GOMEZ,212-678-2927,"CHU, YUET",M803,2019,,,DOE,"ALTSCHUL, ILENE",-73.948385
Melitina Hernandez,212-690-5930,"CHU, YUET",M805,2019,,,DOE,"RUX, DANIKA",-73.944551
Lucia Orduz-Castillo,718-583-7345,"SAFFER, NANCY",X809,2019,,,DOE,"RODRIGUEZ-ROSARIO, LETICIA",-73.903243
MARIA VELEZ CLARKE,212-614-9462,"CHU, YUET",M801,2019,,,DOE,"CHAN, CARRY",-73.978254
Christina Koza,718-688-7206,,HS05,2019,HS Network 05 Superintendent Office,HS05,DOE,,-73.874064
Jacqueline Radoslovich,718-294-8154,"SAFFER, NANCY",X809,2019,,,DOE,"RODRIGUEZ-ROSARIO, LETICIA",-73.916084
Kattia Cuba,718-681-8707,"SAFFER, NANCY",X809,2019,,,DOE,"RODRIGUEZ-ROSARIO, LETICIA",-73.915879
COLLIN WOLFE,718-681-7298,"SAFFER, NANCY",X809,2019,,,DOE,"RODRIGUEZ-ROSARIO, LETICIA",-73.911906
David Liu,718-824-1663,"SAFFER, NANCY",HS02,2019,HS Network 02 Superintendent Office,HS02,DOE,,-73.85593
DR. RAMON GONZALEZ,718-292-7435,"SAFFER, NANCY",X807,2019,,,DOE,"ALVAREZ, RAFAEL",-73.920851
Carlina Santos Barton,212-860-6093,"CHU, YUET",M804,2019,,,DOE,"ESTRELLA, ALEXANDRA",-73.944762
Eugene Mazzola,718-968-4296,Mauriciere de Govia,HS06,2019,HS Network 06 Superintendent Office,HS06,DOE,,-73.916927
Robin Natman,212-866-1099,,,2019,,,Charter,,-73.952751
,,,,2019,,,DOE,,-73.992832
Denise Williams,718-794-9756,"SAFFER, NANCY",X10C,2019,,,DOE,"VAUGHAN, CRISTINE",-73.836525
Dr. Alison Coviello,718-292-4721,"SAFFER, NANCY",X807,2019,,,DOE,"ALVAREZ, RAFAEL",-73.925459
ALEXANDRA GUERRIERO,718-904-5689,Tillman Roberto,DA75,2019,,,DOE,"LOUISSAINT, KETLER",-73.831669
MICHELE RAWLINS,718-834-6766,,K813,2019,,,DOE,"SAMUELS, KAMAR",-73.98112
Vincent Gassetto,718-292-4473,"SAFFER, NANCY",X807,2019,,,DOE,"ALVAREZ, RAFAEL",-73.918774
Lakisha Mcdaniel Luke,212-781-5539,"CHU, YUET",M806,2019,,,DOE,"RAMIREZ, MANUEL",-73.930991
LISETTE CAESAR,212-722-3167,"CHU, YUET",M804,2019,,,DOE,"ESTRELLA, ALEXANDRA",-73.944546
Frank Hernandez,718-292-4568,"SAFFER, NANCY",X807,2019,,,DOE,"ALVAREZ, RAFAEL",-73.92273
CARY PANTALEON,212-781-8002,"CHU, YUET",M806,2019,,,DOE,"RAMIREZ, MANUEL",-73.938701
DENNIS HERRING JR,718-688-6401,Mauriciere de Govia,K818,2019,,,DOE,"WILKINS, BEVERLY",-73.891743
D White,718-340-3659,"SAFFER, NANCY",HS09,2019,HS Network 09 Superintendent Office,HS09,DOE,,-73.911366
JILL BLOOMBERG,718-788-8127,,HS05,2019,HS Network 05 Superintendent Office,HS05,DOE,,-73.97858
,,,,2019,,,DOE,,-74.105883
Bernard Addo,718-647-0919,,K819,2019,,,DOE,THOMAS MCBRYDE JR,-73.884211
Sonia Acevedo Suarez,718-583-0685,"SAFFER, NANCY",X809,2019,,,DOE,"RODRIGUEZ-ROSARIO, LETICIA",-73.913253
Amy Salazar/Genie Depolo,212-964-3795,,,2019,,,Charter,,-73.986051
ARNETTE CROCKER,718-542-0841,"SAFFER, NANCY",HS02,2019,HS Network 02 Superintendent Office,HS02,DOE,,-73.85607
Jennifer eehn,212-472-9385,"CHU, YUET",M802,2019,,,DOE,"CHUMNEY, DONALDA",-73.957827
THOMAS MCBRYDE JR,,,,2019,,,DOE,,-73.894877
Emmanuel Polanco,718-405-6324,"SAFFER, NANCY",X810,2019,,,DOE,"HULLA, MARIBEL",-73.881245
CHARLES DEBERRY,212-678-2867,"CHU, YUET",M803,2019,,,DOE,"ALTSCHUL, ILENE",-73.951451
Eric Glatz,212-334-4919,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-73.993607
Genie DePolo,212-533-2820,,,2019,,,Charter,,-73.984116
Desiree Resto,718-583-4864,"SAFFER, NANCY",X809,2019,,,DOE,"RODRIGUEZ-ROSARIO, LETICIA",-73.915217
EDWARD DEMEO,212-391-1293,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-73.98346
Victor Esannason,718-284-5053,Mauriciere de Govia,K817,2019,,,DOE,"ELLIS, CLARENCE",-73.945883
Yvette Rivera,718-681-8650,"SAFFER, NANCY",HS09,2019,HS Network 09 Superintendent Office,HS09,DOE,,-73.917705
LEONNA AUSTIN,212-876-4034,"CHU, YUET",M805,2019,,,DOE,"RUX, DANIKA",-73.935461
Carolyn Michael/Ingrid Wong,347-889-7083,,,2019,,,Charter,,-73.97872
ANNE OGRADY,718-409-8152,"SAFFER, NANCY",X808,2019,,,DOE,"TOBIA, ERIKA",-73.856976
KAREN FEUER,212-475-5835,"CHU, YUET",M801,2019,,,DOE,"CHAN, CARRY",-73.9798
KAREN BAILEY,212-234-4616,"CHU, YUET",M806,2019,,,DOE,"RAMIREZ, MANUEL",-73.947599
Holger Carrillo,718-387-2748,,HS05,2019,HS Network 05 Superintendent Office,HS05,DOE,,-73.938921
Naudia Bethany,718-328-5483,,,2019,,,Charter,,-73.877274
BAYAN CADOTTE,718-331-9181,Mauriciere de Govia,K820,2019,,,DOE,"COSTANTINO, KARINA",-73.994258
BERENA CABARCAS,718-665-4547,,HS12,2019,H.S. Network 12 Superintendent Office,HS12,DOE,,-73.918774
EDWARD TOM,718-590-1052,,HS07,2019,HS Network 07 Superintendent Office,HS07,DOE,,-73.902794
Yolanda Valez,718-796-7490,"SAFFER, NANCY",X810,2019,,,DOE,"HULLA, MARIBEL",-73.901821
BROOKE JACKSON,212-691-2147,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-74.002222
ELISA BROWN,718-284-5146,Mauriciere de Govia,K817,2019,,,DOE,"ELLIS, CLARENCE",-73.966456
Patricia Carney,917-305-1005,"CHU, YUET",M802,2019,,,DOE,"CHUMNEY, DONALDA",-73.995534
Yuqing Hong,718-765-4635,Mauriciere de Govia,K820,2019,,,DOE,"COSTANTINO, KARINA",-74.007533
DAVID VAZQUEZ,718-328-7330,"SAFFER, NANCY",X808,2019,,,DOE,"TOBIA, ERIKA",-73.885284
Tuwanna Williams Gray,718-931-8366,"SAFFER, NANCY",HS09,2019,HS Network 09 Superintendent Office,HS09,DOE,,-73.875262
Kristen Shroff,,,,2019,,,Charter,,-73.850735
Katiria Rojas,718-239-5665,"SAFFER, NANCY",X10C,2019,,,DOE,"VAUGHAN, CRISTINE",-73.865498
"WINNICKI, ALICJA",,,,2019,,,DOE,,-73.953304
ROBERT GENTILE,212-979-7261,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-73.98259
PAUL THOMPSON,718-858-0492,,HS05,2019,HS Network 05 Superintendent Office,HS05,DOE,,-73.984528
Pierre Orbe,718-548-0036,"SAFFER, NANCY",HS02,2019,HS Network 02 Superintendent Office,HS02,DOE,,-73.889011
Robert Lopez,516-921-4045,Tillman Roberto,DA75,2019,,,DOE,"LOUISSAINT, KETLER",
Katherine Corbett/Bevon Thompson,347-985-2145,,,2019,,,Charter,,-73.883469
FAUSTO DE LA ROSA,212-576-0562,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-73.98107
JESSICA TORRES MAHEIA,212-568-8163,"CHU, YUET",M806,2019,,,DOE,"RAMIREZ, MANUEL",-73.933964
Norma Hurwitz/Leena Varghese,718-585-4837,,,2019,,,Charter,,-73.912557
GAYNELL TAYLOR,212-860-6076,"CHU, YUET",M804,2019,,,DOE,"ESTRELLA, ALEXANDRA",-73.938418
JOSE JIMENEZ,212-996-5946,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-73.932868
MICHAEL LERNER,212-777-4702,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-73.976093
Julia Zuckerman,212-740-4706,"CHU, YUET",M806,2019,,,DOE,"RAMIREZ, MANUEL",-73.938701
!Boris Consuegra,212-795-4051,"CHU, YUET",M806,2019,,,DOE,"RAMIREZ, MANUEL",-73.93514
Michael Fram,212-382-2306,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-73.984381
A CYPRYS,718-860-4163,"SAFFER, NANCY",X808,2019,,,DOE,"TOBIA, ERIKA",-73.874162
Patrick Reimer,212-260-3063,,HS10,2019,HS Network 10 Superintendent Office,HS10,DOE,,-73.990468
,,,,2019,,,DOE,,-74.006085
Andrea Klein/Danique Loving,212-457-5659,,,2019,,,Charter,,-73.948088
Katharine Macmanus,212-410-1731,"CHU, YUET",M802,2019,,,DOE,"CHUMNEY, DONALDA",-73.95042
ANITA COLEY,718-455-5838,,K816,2019,,,DOE,"AMON, RAHESHA",-73.940749
Gaby Flores,929-237-7752,"SAFFER, NANCY",X810,2019,,,DOE,"HULLA, MARIBEL",-73.900068
EDWARD TOM,718-590-1052,,HS07,2019,HS Network 07 Superintendent Office,HS07,DOE,,-73.902794
JOAN KONG,718-681-7711,"SAFFER, NANCY",X809,2019,,,DOE,"RODRIGUEZ-ROSARIO, LETICIA",-73.92589
Eve Colavito/Kara Brockett,212-348-5979,,,2019,,,Charter,,-73.945101
claudia tahiraj-sadrija,718-584-7376,"SAFFER, NANCY",X810,2019,,,DOE,"HULLA, MARIBEL",-73.883339
Meg Lembo/Nordia Hewitt,646-548-9576,,,2019,,,Charter,,-73.941111
ELIZABETH CARDONA,718-796-9528,"SAFFER, NANCY",X810,2019,,,DOE,"HULLA, MARIBEL",-73.905547
CARLA LING,718-515-9378,"SAFFER, NANCY",X810,2019,,,DOE,"HULLA, MARIBEL",-73.878731
DANIELLE DERRIG,718-860-5333,"SAFFER, NANCY",X812,2019,,,DOE,"ROSADO, JACQUELINE",-73.886995
Debra Michaux,718-292-3962,"SAFFER, NANCY",X807,2019,,,DOE,"ALVAREZ, RAFAEL",-73.917417
OSEI OWUSU AFRIYIE,212-865-9281,,HS07,2019,HS Network 07 Superintendent Office,HS07,DOE,,-73.954152
ALISON ANGRISANI,718-590-0189,"SAFFER, NANCY",X809,2019,,,DOE,"RODRIGUEZ-ROSARIO, LETICIA",-73.914067
SONHANDO ESTWICK,212-979-1341,"CHU, YUET",M801,2019,,,DOE,"CHAN, CARRY",-73.981597
DARRYL HARRINGTON,718-583-5885,"SAFFER, NANCY",X810,2019,,,DOE,"HULLA, MARIBEL",-73.910827
MELINDA HYER,718-681-6224,"SAFFER, NANCY",X809,2019,,,DOE,"RODRIGUEZ-ROSARIO, LETICIA",-73.913523
EDWARD WILENSKY,718-372-2514,Mauriciere de Govia,HS06,2019,HS Network 06 Superintendent Office,HS06,DOE,,-73.972009
VERONICA NAJJAR,212-571-0739,"CHU, YUET",M802,2019,,,DOE,"CHUMNEY, DONALDA",-74.013967
Carolyn Noel,718-827-4004,,K819,2019,,,DOE,THOMAS MCBRYDE JR,-73.872983
Marc Maurice,212-666-4138,,,2019,,,Charter,,-73.954228
Jamilah Seifullah,718-235-4190,,K819,2019,,,DOE,THOMAS MCBRYDE JR,-73.869434
Alexa Sorden,718-402-7509,"SAFFER, NANCY",X807,2019,,,DOE,"ALVAREZ, RAFAEL",-73.922527
KERIANNE HARRISON,212-862-5743,"CHU, YUET",M805,2019,,,DOE,"RUX, DANIKA",-73.941111
Rhonda Perry,212-614-0095,"CHU, YUET",M802,2019,,,DOE,"CHUMNEY, DONALDA",-73.981536
Shirley Miller,718-564-2581,,HS03,2019,HS Network 03 Superintendent Office,HS03,DOE,,-73.957173
DEIRDRE BUDD,212-569-0389,"CHU, YUET",M806,2019,,,DOE,"RAMIREZ, MANUEL",-73.928301
,,,,2019,,,DOE,,-74.006085
ABBE FUTTERMAN,212-477-2396,"CHU, YUET",M801,2019,,,DOE,"CHAN, CARRY",-73.981597
LI YAN,212-674-1392,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-73.989329
EWA ASTERITA,212-228-7095,Tillman Roberto,DA75,2019,,,DOE,"LOUISSAINT, KETLER",-73.987791
Marlon Bynum,718-647-4458,,HS05,2019,HS Network 05 Superintendent Office,HS05,DOE,,-73.875328
Dr. Natalia Russo,212-222-4610,"CHU, YUET",M803,2019,,,DOE,"ALTSCHUL, ILENE",-73.965611
ELIZABETH DEMCHAK,718-410-4038,,HS12,2019,H.S. Network 12 Superintendent Office,HS12,DOE,,-73.911366
Unal Karakas,718-861-7935,"SAFFER, NANCY",X812,2019,,,DOE,"ROSADO, JACQUELINE",-73.877305
Pauline Obrien,718-290-8705,Mauriciere de Govia,HS06,2019,HS Network 06 Superintendent Office,HS06,DOE,,-73.898601
MARINES ARRIETA CRUZ,718-860-4480,"SAFFER, NANCY",X808,2019,,,DOE,"TOBIA, ERIKA",-73.888948
Richard Burke,718-378-0492,,,2019,,,Charter,,-73.900593
Evan Kilgore/Geoffrey Roehm,718-221-1927,,,2019,,,Charter,,-73.935093
Rebecca Fagin,718-596-1887,,K815,2019,,,DOE,"SKOP, ANITA",-73.997447
Mark Turcotte,718-589-8179,"SAFFER, NANCY",X812,2019,,,DOE,"ROSADO, JACQUELINE",-73.890591
James Waslawski,718-410-4101,"SAFFER, NANCY",HS10,2019,HS Network 10 Superintendent Office,HS10,DOE,,-73.911366
SHANIE JOHNSON,718-561-2683,Tillman Roberto,DA75,2019,,,DOE,"LOUISSAINT, KETLER",-73.883877
Vernon Johnson,718-852-4593,,HS05,2019,HS Network 05 Superintendent Office,HS05,DOE,,-73.920603
Michelle Haynes,212-866-5793,,,2019,,,Charter,,-73.951357
"ESTRELLA, ALEXANDRA",,,,2019,,,DOE,,-73.939374
Tarah Montalbano,718-332-2544,Mauriciere de Govia,HS06,2019,HS Network 06 Superintendent Office,HS06,DOE,,-73.963764
Janeice Bailey,718-771-1369,,K813,2019,,,DOE,"SAMUELS, KAMAR",-73.946381
JEANNE ROWE,718-284-7973,Mauriciere de Govia,K817,2019,,,DOE,"ELLIS, CLARENCE",-73.959484
JACQUELINE NIKOVIC,718-832-9360,,K815,2019,,,DOE,"SKOP, ANITA",-74.004533
,,,,2019,,,DOE,,-74.006085
JENNIFER ALEXANDER ADE,718-584-7402,"SAFFER, NANCY",X810,2019,,,DOE,"HULLA, MARIBEL",-73.890402
MELISSA RODRIGUEZ,212-677-3907,"CHU, YUET",M801,2019,,,DOE,"CHAN, CARRY",-73.983769
Javier Trejo,212-927-6129,"CHU, YUET",M806,2019,,,DOE,"RAMIREZ, MANUEL",-73.92606
Jessica Drzewucki,718-266-6254,Mauriciere de Govia,K03G,2019,,,DOE,"DIMOLA, ISABEL",-73.995084
Shea Reeder,646-219-2838,,,2019,,,Charter,,-73.859998
ROLANDO RIVERA,718-733-3621,"SAFFER, NANCY",HS02,2019,HS Network 02 Superintendent Office,HS02,DOE,,-73.897066
Amber Najmi Shadid,212-262-0702,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-73.98861
DIMITRI SALIANI,212-772-1440,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-73.953276
MANDANA BECKMAN,212-980-1192,"CHU, YUET",M802,2019,,,DOE,"CHUMNEY, DONALDA",-73.956435
Rene Anaya,212-260-0813,"CHU, YUET",HS10,2019,HS Network 10 Superintendent Office,HS10,DOE,,-73.986038
Patience Brown,718-452-2090,,,2019,,,Charter,,-73.937717
YEOU JEY VASCONCELOS,212-737-2863,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-73.959777
Kim Outerbridge,718-583-0281,"SAFFER, NANCY",X809,2019,,,DOE,"RODRIGUEZ-ROSARIO, LETICIA",-73.904353
Eliamarie Soto,718-292-5476,"SAFFER, NANCY",X807,2019,,,DOE,"ALVAREZ, RAFAEL",-73.905233
MICHAEL STANZIONE,212-346-0712,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-74.012328
Emmanuel Polanco,718-405-6324,"SAFFER, NANCY",X810,2019,,,DOE,"HULLA, MARIBEL",-73.881245
Jaivelle Reed,212-941-7934,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-74.005058
WINTANNA ABAI,,,,2019,,,Charter,,-73.957501
OLIVIA FRANCIS WEBvER,718-681-7519,"SAFFER, NANCY",X809,2019,,,DOE,"RODRIGUEZ-ROSARIO, LETICIA",-73.923297
Joan Weaver,646-826-8175,"CHU, YUET",HS04,2019,HS Network 04 Superintendent Office,HS04,DOE,,-74.013303
Nikki Bowen/Meredith Anderson,718-228-6670,,,2019,,,Charter,,-73.924422
Rina Horne,718-266-7080,Mauriciere de Govia,K03G,2019,,,DOE,"DIMOLA, ISABEL",-73.985368
Andrew Sullivan,212-531-7351,"CHU, YUET",M803,2019,,,DOE,"ALTSCHUL, ILENE",-73.971011
