printedschoolname,selectioncriteria3_prog1,selectioncriteria7_prog3,selectioncriteria4_prog4,geseats_prog4,council_district,gefilled_prog3,lowestpriority_prog3,selectioncriteria10_prog1,selectioncriteria3_prog6,weekendprogram,admissionsmethod_prog5,selectioncriteria12_prog6,selectioncriteria9_prog6,priority2_prog5,selectioncriteria6_prog2,selectioncriteria8_prog5,selectioncriteria8_prog3,name_prog1,selectioncriteria7_prog2,selectioncriteria2_prog5,swdappsperseat_prog3,selectioncriteria9_prog5,name_prog2,swdappsperseat_prog5,priority5_prog5,selectioncriteria6_prog1,independentwebsite,selectioncriteria6_prog6,subway,priority5_prog6,selectioncriteria10_prog5,selectioncriteria5_prog3,lowestpriority_prog4,selectioncriteria5_prog4,swdapps_prog6,priority4_prog6,priority3_prog3,priority5_prog1,surveysafety,selectioncriteria5_prog6,name_prog4,revealed_prog1
J.H.S. 190 Russell Sage,,.,.,.,29.0,,.,.,.,No,.,.,.,.,.,.,.,Russell Sage Junior High School (J.H.S. 190),.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,"M, R to 67th Ave; E, F to Forest Hills - 71st Ave",.,.,.,.,.,.,.,.,,76.0,.,.,.
West Bronx Academy for the Future,,.,,,15.0,,,.,.,Yes,,.,.,.,,.,.,West Bronx Academy for the Future,.,.,,.,,,.,,westbronxacademy.org,.,"B, D to Fordham Rd",.,.,,.,,.,.,.,,75.0,.,,.
Richard S. Grossley (J.H.S. 8),,.,.,.,27.0,,.,.,.,Yes–Saturday program for academic support and enrichment.,.,.,.,.,.,.,.,Richard S. Grossley (J.H.S. 8),.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,,.,.,.,.,.,.,.,.,,75.0,.,.,.
Catherine & Count Basie Middle School 72,,.,.,.,28.0,,.,.,.,Yes,.,.,.,.,.,.,.,Catherine and Count Basie (M.S. 72) Haitian Creole Dual Language Program,.,.,,.,Catherine & Count Basie Middle School 72,.,.,,schools.nyc.gov/Find-a-School,.,,.,.,.,.,.,.,.,.,,63.0,.,.,.
Columbia Secondary School,Final 4th Grade Report Card,.,.,.,7.0,,.,.,.,No,.,.,.,.,.,.,.,"Columbia Secondary School for Math, Science and Engineering",.,.,,.,,.,.,,columbiasecondary.org,.,"1, A, B, C, D to 125th St",.,.,.,.,.,.,.,.,,91.0,.,,.
MS 593,,.,,,16.0,,,.,.,No,,.,.,.,,.,.,MS 593,.,.,,.,,,.,,www.internationalmiddle593.org,.,"B, D, 4 to 161st St.; B,D to 167th St",.,.,,.,,.,.,.,,,.,,.
East Side Middle School,,.,.,.,5.0,,,.,.,No,.,.,.,.,.,.,.,East Side Middle School,.,.,,.,,.,.,,esms.org,.,"6 to 96th St; 4, 5 to 86th St",.,.,.,.,.,.,.,.,,97.0,.,.,.
James Weldon Johnson,Attendance,.,.,.,8.0,,.,.,.,Yes,.,.,.,.,.,.,.,James Weldon Johnson Leadership Academy,.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,6 to 116th St,.,.,.,.,.,.,.,.,,83.0,.,.,.
P.S. 211,,.,.,.,17.0,,.,.,.,No,.,.,.,.,.,.,.,P.S./M.S. X211,.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,"2, 5 to 174th St",.,.,.,.,.,.,.,.,,83.0,.,,.
M.S.898,,.,.,.,,.,.,.,.,Yes,.,.,.,.,.,.,.,M.S.898,.,.,.,.,.,.,.,.,d16brooklyn.com/new-middle-school-16k898,.,"A, C to Utica Ave",.,.,.,.,.,.,.,.,.,,.,.,.
