school_name,created_date,park_facility_name,city,descriptor,cross_street_1,school_region,:@computed_region_f5dn_yrer,borough
Unspecified,2008-01-03T00:00:00.000,Unspecified,,HEAT,,Unspecified,,Unspecified
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Out,172 ST,Unspecified,,QUEENS
Unspecified,2008-01-03T00:00:00.000,Unspecified,,Street Light Cycling,FILLMORE AVE,Unspecified,,BROOKLYN
Unspecified,2008-03-20T00:00:00.000,Unspecified,,Warning Signal,,Unspecified,,BRONX
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Controller,,Unspecified,,BRONX
Unspecified,2008-01-03T00:00:00.000,Unspecified,,Controller,,Unspecified,,BROOKLYN
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Cycling,DYCKMAN ST,Unspecified,,MANHATTAN
Unspecified,2008-01-04T00:00:00.000,Unspecified,,Pet Store - New License,,Unspecified,,Unspecified
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Controller,,Unspecified,,BRONX
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Out,,Unspecified,,Unspecified
Unspecified,2008-03-20T00:00:00.000,Unspecified,,Hydrant Running Full (WA4),12 AVE,Unspecified,,BROOKLYN
Unspecified,2008-03-20T00:00:00.000,Unspecified,,"E4 18"" Law",196 STREET,Unspecified,,QUEENS
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Out,,Unspecified,,BRONX
Unspecified,2008-01-01T00:00:00.000,Unspecified,,Street Cave-In / Depression (SG),,Unspecified,,STATEN ISLAND
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Out,DYCKMAN ST,Unspecified,,MANHATTAN
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Home Improvement Contractor License,,Unspecified,,Unspecified
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Multiple Street Lights Out,14 ST E,Unspecified,,MANHATTAN
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Controller,,Unspecified,,BROOKLYN
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Out,,Unspecified,,MANHATTAN
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Lamppost Leaning,,Unspecified,,MANHATTAN
Unspecified,2008-01-03T00:00:00.000,Unspecified,,Street Light Out,SHORE PKWY,Unspecified,,BROOKLYN
Unspecified,2008-01-03T00:00:00.000,Unspecified,,Controller,,Unspecified,,BROOKLYN
Unspecified,2008-01-01T00:00:00.000,Unspecified,STATEN ISLAND,Pothole,CUNNINGHAM ROAD,Unspecified,,Unspecified
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Controller,,Unspecified,,BROOKLYN
Unspecified,2008-01-03T00:00:00.000,Unspecified,,Controller,,Unspecified,,MANHATTAN
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Out,,Unspecified,,Unspecified
Unspecified,2008-01-09T00:00:00.000,Unspecified,,Street Light Cycling,,Unspecified,,BRONX
Unspecified,2008-01-03T00:00:00.000,Unspecified,,Controller,,Unspecified,,BROOKLYN
Unspecified,2008-01-09T00:00:00.000,Unspecified,,Street Light Out,,Unspecified,,BRONX
Unspecified,2008-03-20T00:00:00.000,Unspecified,,Controller,,Unspecified,,MANHATTAN
Unspecified,2008-01-03T00:00:00.000,Unspecified,,Street Cave-In / Depression (SG),,Unspecified,,QUEENS
Unspecified,2008-01-07T00:00:00.000,Unspecified,,Controller,,Unspecified,,QUEENS
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Controller,,Unspecified,,MANHATTAN
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Out,ST ANNS PL,Unspecified,,BRONX
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Out,STEENWICK AVE,Unspecified,,BRONX
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Out,,Unspecified,,MANHATTAN
Unspecified,2008-01-03T00:00:00.000,Unspecified,,General Street Vendor License,,Unspecified,,Unspecified
Unspecified,2008-01-01T00:00:00.000,Unspecified,,Lamppost Knocked Down,CLEARVIEW EXPY,Unspecified,,QUEENS
Unspecified,2008-01-01T00:00:00.000,Unspecified,,Controller,,Unspecified,,QUEENS
Unspecified,2008-01-03T00:00:00.000,Unspecified,,Controller,,Unspecified,,BRONX
Unspecified,2008-01-01T00:00:00.000,Unspecified,,Driver Compliment,,Unspecified,,Unspecified
Unspecified,2008-01-02T00:00:00.000,Unspecified,,BASIN/SINK,,Unspecified,,Unspecified
Unspecified,2008-03-20T00:00:00.000,Unspecified,,Controller,,Unspecified,,MANHATTAN
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Multiple Street Lights Out,,Unspecified,,QUEENS
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Out,,Unspecified,,MANHATTAN
Unspecified,2008-01-01T00:00:00.000,Unspecified,STATEN ISLAND,12 Dead Animals,JEFFERSON AVENUE,Unspecified,,STATEN ISLAND
Unspecified,2008-01-02T00:00:00.000,Unspecified,,LED Lense,,Unspecified,,MANHATTAN
Unspecified,2008-01-03T00:00:00.000,Unspecified,,Controller,,Unspecified,,BRONX
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Controller,,Unspecified,,BROOKLYN
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Out,,Unspecified,,MANHATTAN
Unspecified,2008-01-03T00:00:00.000,Unspecified,,LED Pedestrian Unit,,Unspecified,,BROOKLYN
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Out,,Unspecified,,MANHATTAN
Unspecified,2008-03-20T00:00:00.000,Unspecified,,Veh Signal Head,,Unspecified,,QUEENS
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Veh Signal Head,,Unspecified,,MANHATTAN
Van Cortlandt Park,2008-01-02T00:00:00.000,Van Cortlandt Park,BRONX,Graffiti or Vandalism,,,,BRONX
Unspecified,2008-01-02T00:00:00.000,Unspecified,,Street Light Dayburning,,Unspecified,,BRONX
