:@computed_region_yeji_bk3q,school_phone_number,incident_zip,school_not_found,bridge_highway_segment,location_type,street_name,resolution_action_updated_date
,Unspecified,,,,RESIDENTIAL BUILDING,WEST BURNSIDE AVENUE,2008-01-07T00:00:00.000
,Unspecified,,,,,GRAND CENTRAL PKWY,2007-12-31T00:00:00.000
,Unspecified,,,,,MARINE PARK,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-03-20T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,INWOOD HILL PARK,2008-01-01T00:00:00.000
,Unspecified,,,,,,2008-01-04T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,BAY RDGE AVE,2008-03-20T00:00:00.000
,Unspecified,,,,Street,LINDEN BOULEVARD,2008-03-21T00:00:00.000
,Unspecified,,,,,,2007-10-11T00:00:00.000
,Unspecified,,,,,,2008-01-04T00:00:00.000
,Unspecified,,,,,INWOOD HILL PARK,2008-01-01T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,FDR DR,2008-01-04T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,,2008-01-07T00:00:00.000
,Unspecified,,,,,BELT PKWY,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,HYLAN BOULEVARD,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-04T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2007-12-09T00:00:00.000
,Unspecified,,,,,,2008-01-05T00:00:00.000
,Unspecified,,,,,,2007-12-24T00:00:00.000
,Unspecified,,,,,,2008-03-20T00:00:00.000
,Unspecified,,,,,,2008-01-04T00:00:00.000
,Unspecified,,,,,,2008-01-07T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,TRIBORO BRIDGE,2007-11-13T00:00:00.000
,Unspecified,,,,,NEW ENG THRWY,2007-10-10T00:00:00.000
,Unspecified,,,,,,2008-01-31T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,GRAND CENTRAL PKWY,2008-02-28T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-14T00:00:00.000
,Unspecified,,,,RESIDENTIAL BUILDING,WEST BURNSIDE AVENUE,2008-01-06T00:00:00.000
,Unspecified,,,,,,2008-03-21T00:00:00.000
,Unspecified,,,,,,2007-12-29T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,Sidewalk,NUGENT AVENUE,2008-01-01T00:00:00.000
,Unspecified,,,,,,2008-01-04T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2007-10-11T00:00:00.000
,Unspecified,,,,,,2008-01-04T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,BRONX RVR PKWY,2008-02-06T00:00:00.000
,Unspecified,,,,,,2008-03-22T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-03-20T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,ALLEN SHANDLER PARK,2007-10-10T00:00:00.000
,Unspecified,,,,,,2008-03-20T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
,Unspecified,,,,,,2008-01-01T00:00:00.000
,Unspecified,,,,,BRONX RVR PKWY,2008-01-16T00:00:00.000
,Unspecified,,,,,BRONX RVR PKWY,2008-11-03T00:00:00.000
,Unspecified,,,,,BRONX RVR PKWY,2008-01-16T00:00:00.000
,Unspecified,,,,,,2007-10-05T00:00:00.000
,Unspecified,,,,,,2007-11-13T00:00:00.000
,Unspecified,,,,,,2008-01-02T00:00:00.000
,Unspecified,,,,,,2008-01-03T00:00:00.000
