bin,respondent_house_number,boro,certification_status,ecb_violation_status,aggravated_level
1064585,97,1,COMPLIANCE-INSP/DOC,RESOLVE,NO
5113169,,5,CERTIFICATE ACCEPTED,RESOLVE,NO
4092114,69-79,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4166995,89-15,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
5045488,,5,CERTIFICATE ACCEPTED,RESOLVE,NO
4049692,51-20,4,NO COMPLIANCE RECORDED,ACTIVE,NO
3087079,90,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3325882,14,3,CERTIFICATE ACCEPTED,RESOLVE,NO
4302244,446,4,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
4038660,144-11,4,CURE ACCEPTED,RESOLVE,NO
3042012,56,3,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
4229578,91-40,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
3030995,714,3,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
4286455,146-18,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
1008774,519,1,CERTIFICATE ACCEPTED,RESOLVE,NO
4223348,89-32,4,CURE ACCEPTED,RESOLVE,NO
4040680,45-16,4,NO COMPLIANCE RECORDED,ACTIVE,NO
3225728,1050,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
4534792,97-37,4,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
5025617,,5,COMPLIANCE-INSP/DOC,RESOLVE,
4282508,139-29,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
3158018,1961,3,CURE ACCEPTED,RESOLVE,NO
1063193,90,1,CERTIFICATE ACCEPTED,RESOLVE,NO
3229466,627,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
4005607,27-34,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4010379,32-33,4,CERTIFICATE ACCEPTED,RESOLVE,
4595352,72-03,4,CURE ACCEPTED,RESOLVE,NO
1051615,337,1,COMPLIANCE-INSP/DOC,RESOLVE,NO
3111195,4401,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
1052990,,1,COMPLIANCE-INSP/DOC,RESOLVE,NO
4098481,15-19,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4114650,142-06,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
1088161,140,1,CERTIFICATE ACCEPTED,RESOLVE,NO
3001477,145,3,N/A - DISMISSED,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
3323047,195,3,N/A - DISMISSED,RESOLVE,NO
5123868,382,5,CERTIFICATE ACCEPTED,RESOLVE,
3193811,2565,3,COMPLIANCE-INSP/DOC,RESOLVE,
4250572,122-12,4,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
3048072,28-18,3,CERTIFICATE ACCEPTED,RESOLVE,NO
2014305,3556,2,CERTIFICATE ACCEPTED,RESOLVE,
