system,gispropnum,nys_senate,status,commission
X082-XZ327,X082,29,D,2010-01-11T00:00:00.000Z
QZ429,QZ429,14,D,2000-06-01T00:00:00.000Z
QZ228,QZ228,12,I,2001-06-01T00:00:00.000Z
QZ148,QZ148,11,I,1999-06-01T00:00:00.000Z
MZ393,MZ393,27,I,2006-12-01T00:00:00.000Z
B178-BZ183,B178,17,D,2010-01-11T00:00:00.000Z
QZ364,QZ364,11,I,2001-12-01T00:00:00.000Z
QZ49,QZ49,16,I,1997-06-01T00:00:00.000Z
QZ153,QZ153,11,I,1999-06-01T00:00:00.000Z
QZ138,QZ138,12,I,1999-06-01T00:00:00.000Z
QZ370,QZ370,11,I,1999-06-01T00:00:00.000Z
QZ110,QZ110,13,I,1997-12-01T00:00:00.000Z
QZ82,QZ82,11,I,1998-06-01T00:00:00.000Z
X148M-XZ407,X148M,34,D,2010-01-11T00:00:00.000Z
QZ499,QZ499,14,I,2009-02-24T00:00:00.000Z
BZ561,BZ561,20,I,2014-09-04T00:00:00.000Z
QZ765,QZ765,16,I,2009-02-24T00:00:00.000Z
X148K2-XZ415,X148K2,33,D,2010-01-11T00:00:00.000Z
Q262-QZ466,Q262,11,D,2000-06-01T00:00:00.000Z
QZ128,QZ128,11,I,1997-12-01T00:00:00.000Z
QZ601,QZ601,14,I,1999-12-01T00:00:00.000Z
M072-MZ223,M072,31,I,2010-01-11T00:00:00.000Z
MZ104,MZ104,29,I,2010-01-11T00:00:00.000Z
QZ318,QZ318,16,I,2009-02-24T00:00:00.000Z
QZ140,QZ140,13,I,1999-06-01T00:00:00.000Z
Q157-QZ799,Q157,14,D,1997-06-01T00:00:00.000Z
QZ149,QZ149,11,I,1999-06-01T00:00:00.000Z
X278-XZ146,X278,36,D,2010-01-11T00:00:00.000Z
QZ30,QZ30,16,I,2000-06-01T00:00:00.000Z
B178-BZ182,B178,17,D,2010-01-11T00:00:00.000Z
QZ351,QZ351,11,I,2001-06-01T00:00:00.000Z
X049-XZ405,X049,34,D,2010-01-11T00:00:00.000Z
QZ175,QZ175,13,I,1999-12-01T00:00:00.000Z
QZ775,QZ775,16,D,2009-02-24T00:00:00.000Z
XZ458,XZ458,33,I,2010-01-11T00:00:00.000Z
Q099-QZ142B,Q099,13,I,2009-02-24T00:00:00.000Z
QZ763,QZ763,"16, 11",I,2009-02-24T00:00:00.000Z
MZ234,MZ234,26,I,2010-01-11T00:00:00.000Z
QZ538,QZ538,14,I,1999-12-01T00:00:00.000Z
X003-XZ181,X003,34,I,2010-01-11T00:00:00.000Z
QZ389,QZ389,11,I,2000-12-01T00:00:00.000Z
QZ544,QZ544,14,I,1999-12-01T00:00:00.000Z
QZ285,QZ285,13,I,2001-06-01T00:00:00.000Z
MZ378,MZ378,27,I,2008-12-01T00:00:00.000Z
B255D-BZ493,B255D,21,D,2010-01-11T00:00:00.000Z
M123-MZ300,M123,26,D,2010-01-11T00:00:00.000Z
QZ689,QZ689,15,I,1999-06-01T00:00:00.000Z
BZ527,BZ527,18,I,2009-06-01T00:00:00.000Z
QZ239,QZ239,13,D,2000-06-01T00:00:00.000Z
QZ448,QZ448,15,I,2000-12-01T00:00:00.000Z
QZ135A,QZ135A,12,I,2010-01-11T00:00:00.000Z
QZ788,QZ788,15,I,2008-06-01T00:00:00.000Z
MZ194,MZ194,30,I,2010-01-11T00:00:00.000Z
QZ753,QZ753,15,I,2003-12-01T00:00:00.000Z
QZ718,QZ718,11,I,2000-06-01T00:00:00.000Z
QZ69,QZ69,16,I,1998-06-01T00:00:00.000Z
QZ162,QZ162,11,I,1999-06-01T00:00:00.000Z
Q003-QZ508,Q003,14,D,2000-12-01T00:00:00.000Z
QZ424,QZ424,15,I,2000-12-01T00:00:00.000Z
MZ01-MZ257,MZ01,28,D,2010-01-11T00:00:00.000Z
QZ73,QZ73,15,I,1998-06-01T00:00:00.000Z
MZ376,MZ376,27,I,2008-12-01T00:00:00.000Z
QZ922,QZ922,15,I,2006-06-01T00:00:00.000Z
QZ727,QZ727,15,I,2009-02-24T00:00:00.000Z
QZ155,QZ155,11,I,1999-06-01T00:00:00.000Z
M094-MZ139,M094,29,D,2010-01-11T00:00:00.000Z
QZ75,QZ75,15,I,1998-06-01T00:00:00.000Z
X039-XZ219,X039,34,I,2010-01-11T00:00:00.000Z
M081-MZ333,M081,29,I,2010-01-11T00:00:00.000Z
MZ01-MZ256,MZ01,28,D,2010-01-11T00:00:00.000Z
QZ673,QZ673,15,I,2000-06-01T00:00:00.000Z
QZ233,QZ233,12,I,2000-06-01T00:00:00.000Z
QZ794,QZ794,15,I,2007-12-01T00:00:00.000Z
X004-XZ183,X004,34,I,2010-01-11T00:00:00.000Z
QZ363,QZ363,11,I,2001-06-01T00:00:00.000Z
X148K4-XZ416,X148K4,33,D,2010-01-11T00:00:00.000Z
QZ127,QZ127,11,I,1997-12-01T00:00:00.000Z
BZ524,BZ524,20,I,2009-06-01T00:00:00.000Z
QZ286,QZ286,13,D,2001-06-01T00:00:00.000Z
QZ455,QZ455,15,I,2001-12-01T00:00:00.000Z
MZ396,MZ396,27,I,2006-12-01T00:00:00.000Z
M096-MZ181,M096,30,D,2010-01-11T00:00:00.000Z
X078-XZ144,X078,32,D,2010-01-11T00:00:00.000Z
MZ239,MZ239,26,I,2010-01-11T00:00:00.000Z
X006-XZ411,X006,33,D,2010-01-11T00:00:00.000Z
QZ168,QZ168,10,I,1999-06-01T00:00:00.000Z
QZ760,QZ760,15,I,2009-06-01T00:00:00.000Z
QZ507,QZ507,10,I,2000-12-01T00:00:00.000Z
