objectid,system,communityb,department,parentid,sitename,class,gsgroup,parentorg
5528,X082-XZ327,205,X-05,X-05,University Malls,GREENST,5016.0,NYCPARKS
6122,QZ429,409,Q-09,Q-09,Greenstreet,GREENST,24.0,NYCPARKS
5807,QZ228,402,Q-02,Q-02,Greenstreet,GREENST,5.0,NYCPARKS
5977,QZ148,407,Q-07,Q-07,Greenstreet,GREENST,15.0,NYCPARKS
5688,MZ393,102,M-02,M-02,,GREENST,1030050.0,NYCPARKS
5568,B178-BZ183,314,B-14,B-14,Flatbush Malls,GREENST,,NYCPARKS
5954,QZ364,407,Q-07,Q-07,Greenstreet,GREENST,15.0,NYCPARKS
5876,QZ49,404,Q-04,Q-04,Greenstreet,GREENST,9.0,NYCPARKS
5928,QZ153,407,Q-07,Q-07,Greenstreet,GREENST,15.0,NYCPARKS
5794,QZ138,402,Q-02,Q-02,Greenstreet,GREENST,5.0,NYCPARKS
6075,QZ370,408,Q-08,Q-08,Greenstreet,GREENST,23.0,NYCPARKS
5767,QZ110,401,Q-01,Q-01,Greenstreet,GREENST,1.0,NYCPARKS
6156,QZ82,411,Q-11,Q-11,Greenstreet,GREENST,26.0,NYCPARKS
5544,X148M-XZ407,209,X-09,X-09,Olmsted Triangle,GREENST,9007.0,NYCPARKS
6221,QZ499,412,Q-12,Q-12,Greenstreet,GREENST,32.0,NYCPARKS
5663,BZ561,308,B-08,B-08,,GREENST,,NYCPARKS
6011,QZ765,408,Q-08,Q-08,Greenstreet,GREENST,22.0,NYCPARKS
5541,X148K2-XZ415,209,X-09,X-09,St Lawrence Triangle,GREENST,9016.0,NYCPARKS
6522,Q262-QZ466,411,Q-11,Q262,Greenstreet,GREENST,29.0,NYCPARKS
5995,QZ128,408,Q-08,Q-08,Greenstreet,GREENST,19.0,NYCPARKS
6357,QZ601,413,Q-13,Q-13,Greenstreet,GREENST,34.0,NYCPARKS
6686,M072-MZ223,109,M-14,M-14,Greenstreet,GREENST,0.0,NYCPARKS
6604,MZ104,164,M-13,M-13,Greenstreet,GREENST,0.0,NYCPARKS
5507,QZ318,406,Q-06,Q-06,Handball Haven,GREENST,14.0,NYCPARKS
5834,QZ140,403,Q-03,Q-03,Greenstreet,GREENST,6.0,NYCPARKS
5511,Q157-QZ799,409,Q-09,Q157,Triangle,GREENST,24.0,NYCPARKS
5938,QZ149,407,Q-07,Q-07,Greenstreet,GREENST,15.0,NYCPARKS
6635,X278-XZ146,211,X-11,X-11,Greenstreet,GREENST,11008.0,NYCPARKS
6147,QZ30,411,Q-11,Q-11,Greenstreet,GREENST,26.0,NYCPARKS
5569,B178-BZ182,314,B-14,B-14,Flatbush Malls,GREENST,,NYCPARKS
5952,QZ351,407,Q-07A,Q-07,Greenstreet,GREENST,16.0,NYCPARKS
5546,X049-XZ405,210,X-10,X-10,Schneider-sampson Park,GREENST,10002.0,NYCPARKS
5765,QZ175,401,Q-01,Q-01,Greenstreet,GREENST,1.0,NYCPARKS
6019,QZ775,408,Q-08,Q-08,Greenstreet,GREENST,22.0,NYCPARKS
5678,XZ458,207,X-07,X-07,Greenstreet,GREENST,7030.0,NYCPARKS
6550,Q099-QZ142B,481,Q-15,Q099,Greenstreet,GREENST,42.0,NYCPARKS
6009,QZ763,408,Q-08,Q-08,Greenstreet,GREENST,22.0,NYCPARKS
6736,MZ234,102,M-03,M-02,GREENSTREET,GREENST,0.0,NYCPARKS
6289,QZ538,413,Q-13,Q-13,Greenstreet,GREENST,35.0,NYCPARKS
6632,X003-XZ181,211,X-11,X-11,Greenstreet,GREENST,11042.0,NYCPARKS
6039,QZ389,408,Q-08,Q-08,Greenstreet,GREENST,18.0,NYCPARKS
6249,QZ544,413,Q-13,Q-13,Greenstreet,GREENST,35.0,NYCPARKS
6466,QZ285,481,Q-04,Q-04,Greenstreet,GREENST,10.0,NYCPARKS
5627,MZ378,104,M-04,M-04,,GREENST,1060210.0,NYCPARKS
6653,B255D-BZ493,307,B-07,B-07,Greenstreet,GREENST,,NYCPARKS
6696,M123-MZ300,103,M-03,M-03,Greenstreet,GREENST,0.0,NYCPARKS
6427,QZ689,414,Q-14,Q-14,Greenstreet,GREENST,39.0,NYCPARKS
5607,BZ527,303,B-03,B-03,GREENSTREET,GREENST,,NYCPARKS
5837,QZ239,403,Q-03,Q-03,Greenstreet,GREENST,8.0,NYCPARKS
6142,QZ448,410,Q-10,Q-10,Greenstreet,GREENST,25.0,NYCPARKS
5731,BZ550,307,B-07,B-07,,GREENST,,NYCPARKS
6204,QZ120,411,Q-11,Q-11,Greenstreet,GREENST,26.0,NYCPARKS
6784,MZ272,110,M-10,M-10,GREENSTREET,GREENST,1100140.0,NYCPARKS
6227,QZ506,412,Q-12,Q-12,Greenstreet,GREENST,32.0,NYCPARKS
6293,QZ553,413,Q-13,Q-13,Greenstreet,GREENST,35.0,NYCPARKS
6573,MZ01-MZ249,105,M-05,MZG003,Greenstreet,GREENST,1080040.0,NYCPARKS
5531,X148H2-XZ226,206,X-06,X-06,Fairmount Playground,GREENST,6014.0,NYCPARKS
6342,QZ535,413,Q-13,Q-13,Greenstreet,GREENST,34.0,NYCPARKS
6267,QZ643,413,Q-13,Q-13,Greenstreet,GREENST,33.0,NYCPARKS
6145,QZ453,410,Q-10,Q-10,Greenstreet,GREENST,25.0,NYCPARKS
5655,X058-XZ451,204,X-04,X058,,GREENST,4110.0,NYCPARKS
6743,MZ131,102,M-02,M-02,GREENSTREET,GREENST,0.0,NYCPARKS
6346,QZ63,413,Q-13,Q-13,Greenstreet,GREENST,35.0,NYCPARKS
5526,X047-XZ377,204,X-04,X-04,Franz Sigel Park,GREENST,4010.0,NYCPARKS
6108,QZ74,409,Q-09,Q-09,Greenstreet,GREENST,24.0,NYCPARKS
6726,MZ07,101,M-01,M-01,GREENSTREET,GREENST,1010070.0,NYCPARKS
5684,B008-BZ536,316,B-16,B-16,,GREENST,,NYCPARKS
6064,QZ894,408,Q-08,Q-08,Greenstreet,GREENST,19.0,NYCPARKS
6291,QZ541,413,Q-13,Q-13,Greenstreet,GREENST,35.0,NYCPARKS
5637,QZ956,412,Q-12,Q-12,,GREENST,32.0,NYCPARKS
6017,QZ773,408,Q-08,Q-08,Greenstreet,GREENST,22.0,NYCPARKS
5605,BZ525,303,B-03,B-03,GREENSTREET,GREENST,,NYCPARKS
6218,QZ496,412,Q-12,Q-12,Greenstreet,GREENST,32.0,NYCPARKS
6788,MZ153,110,M-10,M-10,GREENSTREET,GREENST,0.0,NYCPARKS
6488,Q035-QZ249,403,Q-03,Q035,Greenstreet,GREENST,7.0,NYCPARKS
6574,MZ01-MZ248,105,M-05,MZG003,Greenstreet,GREENST,1080030.0,NYCPARKS
6416,QZ786,414,Q-14,Q-14,Greenstreet,GREENST,40.0,NYCPARKS
6386,QZ750,414,Q-14,Q-14,Greenstreet,GREENST,40.0,NYCPARKS
6592,M039-MZ332,110,M-11,M-10,Greenstreet,GREENST,0.0,NYCPARKS
6565,MZ241,101,M-01,M-01,Greenstreet,GREENST,1010020.0,NYCPARKS
6367,QZ661,414,Q-14,Q-14,Greenstreet,GREENST,37.0,NYCPARKS
6031,QZ393,408,Q-08,Q-08,Greenstreet,GREENST,18.0,NYCPARKS
5530,X059-XZ413,206,X-06,X-06,Sgt. Johnson Triangle,GREENST,6026.0,NYCPARKS
6062,QZ892,408,Q-08,Q-08,Greenstreet,GREENST,19.0,NYCPARKS
5702,Q099-QZ11,406,Q-06,Q099,Metzger Sitting Area,GREENST,14.0,NYCPARKS
5801,QZ191,402,Q-01,Q-02,Greenstreet,GREENST,3.0,NYCPARKS
6140,QZ443,410,Q-10,Q-10,Greenstreet,GREENST,25.0,NYCPARKS
6041,QZ769,408,Q-08,Q-08,Greenstreet,GREENST,22.0,NYCPARKS
6403,QZ666,484,Q-14,Q-14,Greenstreet,GREENST,37.0,NYCPARKS
6609,X053-XZ391,203,X-03,X-03,Greenstreet,GREENST,3006.0,NYCPARKS
6434,QZ921,414,Q-14,Q-14,Greenstreet,GREENST,38.0,NYCPARKS
6125,QZ427,409,Q-09,Q-09,Greenstreet,GREENST,24.0,NYCPARKS
6496,Q055-QZ289,404,Q-04,Q055,Greenstreet,GREENST,9.0,NYCPARKS
6004,QZ735,408,Q-08,Q-08,Greenstreet,GREENST,18.0,NYCPARKS
6198,QZ905,411,Q-11,Q-11,Greenstreet,GREENST,28.0,NYCPARKS
5713,QZ980,411,Q-11,Q-11,,GREENST,29.0,NYCPARKS
6406,QZ655,414,Q-14,Q-14,Greenstreet,GREENST,39.0,NYCPARKS
5516,Q245-QZ859,412,Q-12,Q245,Hollis Veterans Sq,GREENST,30.0,NYCPARKS
5578,R021-RZ272,501,R-01,R-01,Forest Mall,GREENST,,NYCPARKS
5624,MZ375,104,M-04,M-04,,GREENST,1060180.0,NYCPARKS
5693,MZ398,102,M-02,M-02,,GREENST,1030090.0,NYCPARKS
6602,M096-MZ170,110,M-10,M-10,Greenstreet,GREENST,1130350.0,NYCPARKS
6626,X001B-XZ421,207,X-07,X-07,Greenstreet,GREENST,7004.0,NYCPARKS
5666,RZ318,501,R-01,R-01,,GREENST,,NYCPARKS
6562,Q099-QZ696,481,Q-15,Q099,Greenstreet,GREENST,41.0,NYCPARKS
6556,Q015-QZ701,482,Q-16,Q015,Greenstreet,GREENST,44.0,NYCPARKS
5536,X150G-XZ206,208,X-08,X-08,Siren Slope,GREENST,8014.0,NYCPARKS
6206,QZ39,412,Q-12,Q-12,Greenstreet,GREENST,30.0,NYCPARKS
6256,QZ560,413,Q-13,Q-13,Greenstreet,GREENST,35.0,NYCPARKS
6263,QZ604,413,Q-13,Q-13,Greenstreet,GREENST,35.0,NYCPARKS
6747,MZ32,102,M-03,M-02,GREENSTREET,GREENST,1030040.0,NYCPARKS
5838,QZ240,403,Q-03,Q-03,Greenstreet,GREENST,8.0,NYCPARKS
6755,MZ315,104,M-04,M-04,GREENSTREET,GREENST,1060050.0,NYCPARKS
5814,QZ234,402,Q-02,Q-02,Greenstreet,GREENST,3.0,NYCPARKS
6271,QZ598,413,Q-13,Q-13,Greenstreet,GREENST,34.0,NYCPARKS
6405,QZ660,414,Q-14,Q-14,Greenstreet,GREENST,37.0,NYCPARKS
5522,X056-XZ198,203,X-03,X-03,Triangle,GREENST,3009.0,NYCPARKS
5492,QZ356,407,Q-07,Q-07,Firefighter Scott M. Kopytko Triangle,GREENST,16.0,NYCPARKS
5948,QZ361,407,Q-07,Q-07,Greenstreet,GREENST,15.0,NYCPARKS
5715,QZ981,414,Q-14,Q-14,,GREENST,38.0,NYCPARKS
6766,MZ294,106,M-06,M-06,GREENSTREET,GREENST,1090050.0,NYCPARKS
6741,MZ111,102,M-02,M-02,GREENSTREET,GREENST,1020090.0,NYCPARKS
6085,QZ386,408,Q-08,Q-08,Greenstreet,GREENST,23.0,NYCPARKS
6760,MZ29,104,M-04,M-04,GREENSTREET,GREENST,1060260.0,NYCPARKS
6518,Q262-QZ458,411,Q-11,Q262,Greenstreet,GREENST,29.0,NYCPARKS
5699,MZ404,102,M-02,M-02,,GREENST,1030150.0,NYCPARKS
5974,QZ348,407,Q-07,Q-07,Greenstreet,GREENST,16.0,NYCPARKS
6157,QZ473,411,Q-07A,Q-11,Greenstreet,GREENST,28.0,NYCPARKS
6881,XZ155,204,X-04,X-04,GREENSTREET,GREENST,4023.0,NYCPARKS
6457,QZ522,412,Q-12,Q-12,Greenstreet,GREENST,31.0,NYCPARKS
6757,MZ317,104,M-04,M-04,GREENSTREET,GREENST,1060070.0,NYCPARKS
5657,XZ457,204,X-04,X-04,,GREENST,4007.0,NYCPARKS
5535,X060-XZ399,208,X-08,X-08,Sheridan Triangle,GREENST,8035.0,NYCPARKS
5791,QZ176,402,Q-02,Q-02,Greenstreet,GREENST,3.0,NYCPARKS
6618,X001A-XZ378,205,X-05,X-05,Greenstreet,GREENST,5023.0,NYCPARKS
5889,QZ300,405,Q-05,Q-05,Greenstreet,GREENST,12.0,NYCPARKS
5940,QZ79,407,Q-07,Q-07,Greenstreet,GREENST,15.0,NYCPARKS
6547,Q208-QZ946,413,Q-13,Q208,Greenstreet,GREENST,33.0,NYCPARKS
6642,X092-XZ427,226,X-13,X-13,Greenstreet,GREENST,,NYCPARKS
6369,QZ680,414,Q-14,Q-14,Greenstreet,GREENST,39.0,NYCPARKS
6052,QZ882,408,Q-08,Q-08,Greenstreet,GREENST,21.0,NYCPARKS
6660,BZ366,313,B-13,B-13,Greenstreet,GREENST,,NYCPARKS
6324,QZ603,413,Q-13,Q-13,Greenstreet,GREENST,35.0,NYCPARKS
6055,QZ885,408,Q-08,Q-08,Greenstreet,GREENST,21.0,NYCPARKS
5892,QZ296,405,Q-05,Q-05,Greenstreet,GREENST,12.0,NYCPARKS
6628,X025-XZ390,209,X-09,X-09,Greenstreet,GREENST,9013.0,NYCPARKS
5750,Q032-QZ816,402,Q-02,Q032,Mckenna Triangle,GREENST,3.0,NYCPARKS
6744,MZ133,102,M-02,M-02,GREENSTREET,GREENST,0.0,NYCPARKS
5707,XZ121B,226,X-07,X-07,GREENSTREET,GREENST,,NYCPARKS
5865,QZ86,403,Q-03,Q-03,Greenstreet,GREENST,6.0,NYCPARKS
5689,MZ394,102,M-02,M-02,,GREENST,1030160.0,NYCPARKS
5858,QZ256,403,Q-03,Q-03,Greenstreet,GREENST,7.0,NYCPARKS
6692,M190-MZ240,109,M-09,M-09,Greenstreet,GREENST,1100040.0,NYCPARKS
6230,QZ37,412,Q-12,Q-12,Greenstreet,GREENST,31.0,NYCPARKS
5685,X039-XZ463,228,X-15,X-15,,GREENST,,NYCPARKS
6623,X033-XZ207,207,X-07,X-07,Greenstreet,GREENST,7014.0,NYCPARKS
6162,QZ468,411,Q-11,Q-11,Greenstreet,GREENST,27.0,NYCPARKS
5664,QZ971,408,Q-08,Q-08,,GREENST,18.0,NYCPARKS
6855,XZ96,204,X-04,X-04,GREENSTREET,GREENST,4017.0,NYCPARKS
5766,QZ172,401,Q-01,Q-01,Greenstreet,GREENST,1.0,NYCPARKS
5599,BZ523,312,B-12,B-12,,GREENST,,NYCPARKS
6348,QZ914,413,Q-13,Q-13,Greenstreet,GREENST,33.0,NYCPARKS
6762,MZ45,106,M-06,M-06,GREENSTREET,GREENST,1090140.0,NYCPARKS
5665,RZ317,503,R-03,R-03,,GREENST,,NYCPARKS
5862,QZ252,403,Q-03,Q-03,Greenstreet,GREENST,7.0,NYCPARKS
