unique_squirrel_id,tail_twitches,runs_from,running,kuks,:@computed_region_yeji_bk3q,foraging,specific_location,color_notes,hectare
5C-PM-1010-13,False,False,False,False,4,False,way up a tree!,,05C
2B-AM-1010-07,False,False,False,False,4,True,,,02B
26A-AM-1014-01,False,False,False,False,4,True,,,26A
16D-PM-1010-01,False,False,True,False,4,True,,,16D
2C-AM-1010-09,False,False,False,False,4,True,,,02C
21G-AM-1014-02,False,False,False,False,4,False,fence,,21G
39G-PM-1013-05,False,False,False,False,4,True,,,39G
23D-AM-1013-01,False,False,False,False,4,False,,,23D
35E-PM-1006-01,False,False,False,False,4,True,,,35E
13H-PM-1010-03,False,False,False,False,4,False,in glen,,13H
14H-AM-1007-02,False,False,False,False,4,False,,,14H
9E-PM-1014-02,True,False,False,False,4,True,,,09E
2E-PM-1014-05,False,False,False,False,4,True,,,02E
33B-AM-1010-06,False,False,False,False,4,True,,,33B
7H-PM-1006-04,False,False,False,False,4,False,on tree knob,,07H
8D-PM-1007-01,False,False,False,False,4,True,,,08D
32F-PM-1008-08,False,False,True,False,4,True,,,32F
15I-PM-1012-07,False,False,True,False,4,True,,,15I
22F-PM-1014-06,True,False,True,False,4,False,,,22F
3F-AM-1006-09,False,False,False,False,4,True,in grass by light post,,03F
17G-AM-1018-01,False,True,False,False,4,True,,,17G
2C-AM-1010-06,False,True,False,False,4,False,,,02C
21B-AM-1019-04,False,False,False,False,4,False,,,21B
14H-AM-1007-01,False,False,True,False,4,False,top of tree,,14H
32F-PM-1008-07,False,False,True,False,4,True,,,32F
25A-AM-1013-04,False,True,False,False,4,True,,,25A
35A-PM-1013-12,False,True,True,False,4,False,,,35A
37E-PM-1006-09,True,False,False,False,4,False,,,37E
37G-PM-1007-07,False,True,True,False,4,False,,,37G
35F-PM-1012-01,False,True,True,False,4,True,,,35F
26A-PM-1006-03,False,True,False,False,4,True,,,26A
30B-PM-1019-04,False,True,True,False,4,True,,,30B
11E-AM-1013-02,False,False,False,False,4,True,,,11E
41B-PM-1014-01,False,True,False,False,4,False,Climbing tree,,41B
15I-AM-1008-02,False,True,False,False,4,False,on fence,Could be same squirrel as #1?,15I
16B-AM-1014-01,False,True,False,False,4,True,,,16B
17F-AM-1007-05,False,False,True,False,4,False,,,17F
37E-PM-1006-03,False,True,True,False,4,False,,,37E
