goalrank,goalname,ind2rank,ind4,borough,ind6,ind8definition,perc_black
37,Goal 3: Jobs & Income,51.0,Job Quality,Bronx,Public Benefits Utilization,Percentage of adults with a high school degree or equivalent,0.154
40,Goal 1: Financial Services,27.0,Mortgage Origination By Race,Bronx,Affordable Products,,0.124
20,Goal 5: Build Assets,23.0,Retirement Security,Queens,Small Business Employment Opportunity,,0.029
21,Goal 3: Jobs & Income,25.0,Job Quality,Brooklyn,Public Benefits Utilization,Percentage of adults with a high school degree or equivalent,0.593
36,Goal 1: Financial Services,17.0,Mortgage Origination By Race,Brooklyn,Affordable Products,,0.32
51,Goal 1: Financial Services,45.0,Mortgage Origination By Race,Manhattan,Affordable Products,,0.215
21,Goal 5: Build Assets,50.0,Retirement Security,Manhattan,Small Business Employment Opportunity,,0.028
12,Goal 5: Build Assets,41.0,Retirement Security,Manhattan,Small Business Employment Opportunity,,0.06
10,Goal 1: Financial Services,11.0,Mortgage Origination By Race,Brooklyn,Affordable Products,,0.015
26,Goal 1: Financial Services,51.0,Mortgage Origination By Race,Bronx,Affordable Products,,0.274
23,Overall Neighborhood Financial Health,51.0,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,Queens,,,0.561
10,Goal 2: Goods & Services,30.0,Cost Of Transportation ($),Queens,Journey To Work Time,,0.018
36,Goal 3: Jobs & Income,39.0,Job Quality,Brooklyn,Public Benefits Utilization,Percentage of adults with a high school degree or equivalent,0.53
41,Goal 5: Build Assets,33.0,Retirement Security,Brooklyn,Small Business Employment Opportunity,,0.663
25,Goal 5: Build Assets,54.0,Retirement Security,Manhattan,Small Business Employment Opportunity,,0.022
19,Goal 1: Financial Services,9.0,Mortgage Origination By Race,Brooklyn,Affordable Products,,0.261
7,Goal 2: Goods & Services,1.0,Cost Of Transportation ($),Manhattan,Journey To Work Time,,0.06
White,Majority Race or Ethnicity,,,Manhattan,,,0.054
10,Overall Neighborhood Financial Health,15.0,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,Staten Island,,,0.009
45,Goal 3: Jobs & Income,33.0,Job Quality,Brooklyn,Public Benefits Utilization,Percentage of adults with a high school degree or equivalent,0.522
47,Goal 4: Financial Shocks,11.0,Rent Burden,Bronx,Pre-foreclosure Notices,,0.301
Hispanic,Majority Race or Ethnicity,,,Bronx,,,0.301
13,Goal 4: Financial Shocks,26.0,Rent Burden,Bronx,Pre-foreclosure Notices,,0.285
45,Goal 1: Financial Services,40.0,Mortgage Origination By Race,Queens,Affordable Products,,0.353
14,Overall Neighborhood Financial Health,32.0,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,Brooklyn,,,0.038
42,Overall Neighborhood Financial Health,34.0,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,Brooklyn,,,0.026
14,Goal 1: Financial Services,13.0,Mortgage Origination By Race,Queens,Affordable Products,,0.063
47,Overall Neighborhood Financial Health,29.0,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,Bronx,,,0.288
6,Goal 2: Goods & Services,4.0,Cost Of Transportation ($),Manhattan,Journey To Work Time,,0.028
23,Goal 5: Build Assets,20.0,Retirement Security,Brooklyn,Small Business Employment Opportunity,,0.009
50,Goal 4: Financial Shocks,37.0,Rent Burden,Brooklyn,Pre-foreclosure Notices,,0.183
20,Goal 2: Goods & Services,55.0,Cost Of Transportation ($),Queens,Journey To Work Time,,0.058
32,Goal 4: Financial Shocks,52.0,Rent Burden,Staten Island,Pre-foreclosure Notices,,0.037
28,Goal 3: Jobs & Income,22.0,Job Quality,Queens,Public Benefits Utilization,Percentage of adults with a high school degree or equivalent,0.151
30,Goal 4: Financial Shocks,19.0,Rent Burden,Queens,Pre-foreclosure Notices,,0.353
19,Goal 2: Goods & Services,15.0,Cost Of Transportation ($),Bronx,Journey To Work Time,,0.124
19,Overall Neighborhood Financial Health,50.0,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,Queens,,,0.114
46,Goal 4: Financial Shocks,54.0,Rent Burden,Queens,Pre-foreclosure Notices,,0.561
37,Goal 5: Build Assets,27.0,Retirement Security,Bronx,Small Business Employment Opportunity,,0.215
49,Overall Neighborhood Financial Health,47.0,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,Brooklyn,,,0.183
16,Goal 2: Goods & Services,2.0,Cost Of Transportation ($),Brooklyn,Journey To Work Time,,0.042
31,Goal 1: Financial Services,35.0,Mortgage Origination By Race,Queens,Affordable Products,,0.058
10,Goal 4: Financial Shocks,3.0,Rent Burden,Bronx,Pre-foreclosure Notices,,0.124
10,Goal 5: Build Assets,9.0,Retirement Security,Queens,Small Business Employment Opportunity,,0.621
20,Overall Neighborhood Financial Health,21.0,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,Brooklyn,,,0.63
White,Majority Race or Ethnicity,,,Queens,,,0.029
50,Goal 3: Jobs & Income,55.0,Job Quality,Bronx,Public Benefits Utilization,Percentage of adults with a high school degree or equivalent,0.274
4,Goal 1: Financial Services,10.0,Mortgage Origination By Race,Manhattan,Affordable Products,,0.028
17,Goal 4: Financial Shocks,53.0,Rent Burden,Staten Island,Pre-foreclosure Notices,,0.009
29,Goal 2: Goods & Services,47.0,Cost Of Transportation ($),Bronx,Journey To Work Time,,0.288
24,Goal 2: Goods & Services,33.0,Cost Of Transportation ($),Bronx,Journey To Work Time,,0.215
35,Goal 5: Build Assets,42.0,Retirement Security,Brooklyn,Small Business Employment Opportunity,,0.593
6,Goal 4: Financial Shocks,46.0,Rent Burden,Manhattan,Pre-foreclosure Notices,,0.028
15,Goal 2: Goods & Services,35.0,Cost Of Transportation ($),Staten Island,Journey To Work Time,,0.009
43,Overall Neighborhood Financial Health,27.0,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,Brooklyn,,,0.522
No Majority,Majority Race or Ethnicity,,,Manhattan,,,0.215
Hispanic,Majority Race or Ethnicity,,,Bronx,,,0.282
5,Goal 4: Financial Shocks,47.0,Rent Burden,Manhattan,Pre-foreclosure Notices,,0.022
11,Goal 4: Financial Shocks,23.0,Rent Burden,Brooklyn,Pre-foreclosure Notices,,0.015
24,Goal 1: Financial Services,19.0,Mortgage Origination By Race,Brooklyn,Affordable Products,,0.042
48,Goal 1: Financial Services,47.0,Mortgage Origination By Race,Brooklyn,Affordable Products,,0.873
1,Goal 3: Jobs & Income,3.0,Job Quality,Manhattan,Public Benefits Utilization,Percentage of adults with a high school degree or equivalent,0.022
49,Goal 1: Financial Services,33.0,Mortgage Origination By Race,Bronx,Affordable Products,,0.282
43,Goal 1: Financial Services,54.0,Mortgage Origination By Race,Brooklyn,Affordable Products,,0.663
