property_id,hospital_general_medical_1,council_district,_3rd_largest_property_use_1,last_modified_date_property_1,primary_property_type,report_year,last_modified_date_gas_meters,nta2020,multifamily_housing_percent,percent_of_electricity_that,estimated_data_flag_natural,adult_education_gross_floor,data_center_pdu_input_meter,multifamily_housing_number_1,office_worker_density_number,avoided_emissions_onsite,multifamily_housing_number_3,urgent_care_clinic_other,residence_hall_dormitory,museum_gross_floor_area_ft,financial_office_gross_floor,occupancy,avoided_emissions_offsite,pre_school_daycare_gross,electricity_use_grid_purchase_3,electricity_weather_normalized_1,hospital_general_medical_2,alert_water_meter_has_less,estimated_data_flag_fuel_1,data_center_cooling_equipment,number_of_active_energy_meters_1,largest_property_use_type,college_university_gross,office_number_of_computers,food_service_gross_floor,performing_arts_gross_floor,multifamily_housing_number_6,wholesale_club_supercenter_1,medical_office_percent_that_1,source_energy_use_kbtu,estimated_data_flag_1,multifamily_housing_number_4,annual_maximum_demand_kw,data_center_it_energy,parking_partially_enclosed,national_median_reference,alert_energy_meter_has_less,energy_star_certification,multifamily_housing_number,natural_gas_weather_normalized,distribution_center_gross,multifamily_housing_resident
2770581,Not Available,27.0,Not Available,2022-08-10T00:00:00.000,Office,2022,2023-04-13T00:00:00.000,QN1201,Not Available,0,No,Not Available,Not Available,Not Available,3.33309,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1985964.8,8.8,Not Available,Ok,Not Available,Not Available,11,Office,Not Available,159.41,Not Available,Not Available,Not Available,Not Available,Not Available,8440011.6,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Ok,Not Available,Not Available,28206.8,Not Available,Not Available
14009907,Not Available,22.0,Not Available,2022-04-21T00:00:00.000,Medical Office,2022,2023-03-03T00:00:00.000,QN0101,Not Available,0,Yes,Not Available,Not Available,Not Available,2.12766,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,80,0,Not Available,3711191.5,14.3,Not Available,Ok,No,Not Available,4,Medical Office,Not Available,7,Not Available,Not Available,Not Available,Not Available,100,10524612.7,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Medical Office,Ok,Not Available,Not Available,1321.4,Not Available,Not Available
24774630,Not Available,3.0,Not Available,2023-02-01T00:00:00.000,Office,2022,2023-03-03T00:00:00.000,MN0502,Not Available,0,No,Not Available,Not Available,Not Available,2.29905,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95,0,Not Available,2866469,9,Not Available,Ok,No,Not Available,6,Office,Not Available,183,Not Available,Not Available,Not Available,Not Available,Not Available,10537568.2,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Ok,Not Available,Not Available,19.3,Not Available,Not Available
2956051,Not Available,33.0,9975,2023-04-27T00:00:00.000,Multifamily Housing,2022,2023-04-10T00:00:00.000,BK0301,90,0,No,Not Available,Not Available,0.78555,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1497284.5,5.5,Not Available,Unable to Check (not enough data),Not Available,Not Available,7,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,51,Not Available,Not Available,6439291.6,Not Available,0,Not Available,Not Available,0,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,51,22032.9,Not Available,No specific resident population
24889846,Not Available,25.0,Not Available,2023-02-06T00:00:00.000,Multifamily Housing,2022,2023-03-10T00:00:00.000,QN0401,100,0,No,Not Available,Not Available,1.08987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95,0,Not Available,730509.2,3.1,Not Available,Ok,No,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,66,Not Available,Not Available,6058255,Not Available,0,Not Available,Not Available,0,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,74,30256.8,Not Available,Not Available
6041140,Not Available,2.0,Not Available,2022-03-29T00:00:00.000,Multifamily Housing,2022,2023-03-10T00:00:00.000,MN0303,100,0,No,Not Available,Not Available,1.94704,Not Available,Not Available,4,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,664009.3,16.8,Not Available,Ok,Not Available,Not Available,5,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,33,Not Available,Not Available,5234451.3,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,75,33043.1,Not Available,No specific resident population
3788683,Not Available,44.0,Not Available,2019-03-31T00:00:00.000,K-12 School,2022,2023-04-07T00:00:00.000,BK1202,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1749407.5,7.8,Not Available,Possible Issue,Not Available,Not Available,3,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8837625.7,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Ok,Not Available,Not Available,39457.9,Not Available,Not Available
22739732,Not Available,21.0,2000,2022-09-23T00:00:00.000,Distribution Center,2022,2022-09-23T00:00:00.000,QN0707,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,4491812.7,48.3,Not Available,Possible Issue,Not Available,Not Available,10,Distribution Center,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13279735.3,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Unrefrigerated Warehouse & Distribution Center,Ok,Not Available,Not Available,6981.5,72065,Not Available
2750218,Not Available,11.0,Not Available,2020-02-28T00:00:00.000,Multifamily Housing,2022,2023-04-07T00:00:00.000,BX1203,90,0,No,Not Available,Not Available,1.9088,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,792798.7,3.6,Not Available,Ok,Not Available,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,78,Not Available,Not Available,2500396.2,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,118,2688.6,Not Available,No specific resident population
28115040,Not Available,11.0,Not Available,2023-07-05T00:00:00.000,Multifamily Housing,2022,2023-07-19T00:00:00.000,BX0702,100,0,No,Not Available,Not Available,1.57591,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,351674.8,3.5,Not Available,Unable to Check (not enough data),No,Not Available,8,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,32,Not Available,Not Available,2109162.3,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,45,1289.2,Not Available,Not Available
