gispropnum,global_id,pip_ratabl,department,commission,eapply,gisobjid-parentid
Q454,{177ABC89-5B49-4989-9288-CA915E5F0F5B},No,Q-13,20090423000000.0,Hook Creek Park,100000424-Q-13
Q003,{D98C037F-2A67-4F5A-AE1D-6F201ECC68B2},Yes,Q-12,20090423000000.0,Ashmead Mall,100000390-Q-12
B438,{6B0567EC-26F8-439A-AE94-B2AAC839B4F3},No,B-16,20100106000000.0,700 Decatur St Block Association,100004001-B-16
B282,{2712493A-8A66-4A2B-BC9B-FCA2FCB4A634},Yes,B-10,20100106000000.0,Patrick O'Rourke Park (PS 201),100004738-B-10
B443,{33360BD1-214F-4530-A7B8-BE6DC751C1F4},No,B-05,20100106000000.0,Atkins Gardeners,100004185-B-05
M279,{ADD7A5D5-9E7A-48B5-A58B-3B3C7476BAF1},Yes,M-02,20100106000000.0,Juan Pablo Duarte Square,100004407-M-02
B267,{A49EC5BF-12C4-49B4-9830-DF56DCAE48FF},Yes,B-09,20100106000000.0,Winthrop Playground,100004463-B-09
Q095,{AD3F6CB3-EDFD-4F47-99BE-DEC6100897D4},Yes,Q-10,20090423000000.0,Vito Locascio Field / Loring Field,100000315-Q-10
X148M1,{EAEF38D9-A42A-4E9E-A73D-A037EA2B5C7C},Yes,X-09,20100106000000.0,Havemeyer Playground,100005085-X-09
B448,{141F2F82-FC62-4BAD-85C5-5BCF39D02A00},No,B-03,20100106000000.0,Cedar Tree Garden,100004446-B-03
X148J,{031A69B5-7F3C-42AF-873F-5503D1CB0356},No,X-06,20100106000000.0,Strip,100004273-X-06
X202,{F5DC90BF-C5AD-46DF-9D55-CA6DB5B0BEFE},Yes,X-08,20100106000000.0,Marble Hill Playground,100003777-X-08
M212,{48BA5EE8-EFF2-4AAB-BE2D-8B54E794193A},Yes,M-01,20100106000000.0,The Queen Elizabeth II September 11th Garden,100004584-M-01
Q317,{A3A77053-66AC-461F-B112-CFFDF191FF21},Yes,Q-11,20090423000000.0,Tall Oak Playground,100000223-Q-11
