location_code,primary_address_line_1,:@computed_region_yeji_bk3q,highschool_network_location_code,managed_by_name,principal_title,grades_final_text,school_support_team_name,council_district
X370,3710 BARNES AVENUE,5,,DOE,PRINCIPAL,"06,07,08",School Support Team 9- Bronx,12
M177,1458 YORK AVENUE,4,,DOE,PRINCIPAL,"06,07,08",School Support Team 4- Manhattan,5
K5 94,265 RALPH AVENUE,2,HS12,DOE,PRINCIPAL,"09,10,11,12",School Support Team 5- Affinity Group,41
M182,219 EAST 109 STREET,4,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 6- Manhattan,8
K319,360 KEAP STREET,2,,DOE,PRINCIPAL,"PK,0K,01",School Support Team 4- Brooklyn North,34
X397,99 TERRACE VIEW AVENUE,4,HS12,DOE,PRINCIPAL,"09,10,11,12",School Support Team 4- Affinity Group,10
K051,350 5 AVENUE,2,,DOE,PRINCIPAL,"06,07,08",School Support Team 5- Brooklyn North,39
X377,1980 LAFAYETTE AVENUE,5,HS08,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Affinity Group,18
X307,124 EAMES PLACE,5,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 3- Bronx,14
X383,1970 WEST FARMS ROAD,5,,DOE,PRINCIPAL,"06,07,08",School Support Team 5- Bronx,17
X073,1020 ANDERSON AVENUE,5,,DOE,I.A. PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 8- Bronx,8
M130,143 BAXTER STREET,4,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 3- Manhattan,1
K490,8301 SHORE ROAD,2,HS07,DOE,PRINCIPAL,"09,10,11,12",School Support Team 3- Affinity Group,43
K16 1,330 CROWN STREET,2,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 2- Brooklyn South,35
K449,223 GRAHAM AVENUE,2,HS05,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Brooklyn North,34
X353,100 WEST MOSHOLU PARKWAY SOUTH,5,HS08,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Affinity Group,11
m322,4600 BROADWAY,4,,DOE,PRINCIPAL,"06,07,08,SE",School Support Team 7- Manhattan,10
K009,80 UNDERHILL AVENUE,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 3- Brooklyn North,35
K592,362 SCHERMERHORN STREET,2,HS07,DOE,PRINCIPAL,"09,10,11,12",School Support Team 3- Affinity Group,33
K229,1400 BENSON AVENUE,2,,DOE,PRINCIPAL,"0K,01,02,03,04,05,06,07,08",School Support Team 4- Brooklyn South,43
X269,928 SIMPSON STREET,5,,DOE,I.A. PRINCIPAL,"06,07,08,09,10,11,12",School Support Team 7- Bronx,17
M200,2589 7 AVENUE,4,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 6- Manhattan,9
M362,425 WEST 123 STREET,4,,DOE,PRINCIPAL,"06,07,08,09,10,11,12",School Support Team 6- Manhattan,7
K028,1001 HERKIMER STREET,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 5- Brooklyn North,41
K492,225 ADELPHI STREET,2,,DOE,PRINCIPAL,"0K,01,02,03,04,05,06,07,08",School Support Team 3- Brooklyn North,35
K677,605 SHEPHERD AVENUE,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 6- Brooklyn North,42
K261,314 PACIFIC STREET,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 5- Brooklyn North,33
K125,211 THROOP AVENUE,2,,Charter,PRINCIPAL,"0K,01,02,03,04,05,06,07,08",,36
M280,411 PEARL STREET,4,HS03,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Affinity Group,1
M151,421 EAST  88 STREET,4,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 4- Manhattan,5
K120,18 BEAVER STREET,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 4- Brooklyn North,34
K104,9115 5 AVENUE,2,,DOE,PRINCIPAL,"0K,01,02,03,04,05,06,07,08",School Support Team 4- Brooklyn South,43
X169,3500 EDSON AVENUE,5,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 9- Bronx,12
X521,1300 BOYNTON AVENUE,5,HS10,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Bronx,18
K134,4001 18 AVENUE,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 6- Brooklyn South,44
M291,227-243 WEST 61ST STREET,4,,DOE,PRINCIPAL,"06,07,08,09,10,11,12",School Support Team 5- Affinity Group,6
X154,333 EAST 135 STREET,5,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 6- Bronx,8
