activitydetailid,lotid,area,civilian_hrs,fivedayletterno,lotdupinspectionrequestid,streetaddress,lotcleaningtotal,crossstreettwo,used_house1,total_tonnage,activitystatusdate,firstname,old_status_rea_dd,isdeleted,segmentid,ccuno,coordinatex,operatorid_detail,lotno,zone,requestconversion_notes,dumpsiteid,l_tires
277489,184671,0.0,0,,,SURF AVENUE,0.0,BROOKLYN WALL OF REMEMBRANCE WAY,1904,0.05,2012-07-16T11:15:37.000,,,0,18428.0,1207801,988173.0,694,170,1.0,,0.0,0
309615,199852,,34,,,CHRISTOPHER AVENUE,0.0,GLENMORE AVENUE,44,0.0,2014-10-24T11:51:37.000,JOSEPH,,0,47121.0,1407373,1010154.0,694,3,4.0,,0.0,0
24362,169929,39.0,0,,,,392.41,,,2.5,2010-11-02T14:55:59.000,,,0,,310356,,694,124,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
249558,143303,39.0,45,,,,,,,18.96,2010-11-02T14:55:59.000,,,0,,107137,,694,35,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
236341,137078,39.0,0,,,,,,,22.95,2010-11-02T14:55:57.000,,,0,,104889,,694,36,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
138691,75731,39.0,0,1.0,,,,,,0.08,2010-11-02T14:55:56.000,,,0,,813748,,694,30,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
175598,56502,,0,,,,,,,210.4,2010-11-02T14:55:56.000,,,0,,9805853,,619,71,9.0,PB STATUS = ASSIGNED TO INTAKE,,30
173151,170761,,0,,,,,,,431.3,2010-11-02T14:55:59.000,,,0,,9804234,,694,33,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
37261,116296,,0,,,,,,,76.1,2010-11-02T14:55:57.000,,,0,,9802242,,337,19,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
113348,57360,39.0,0,2.0,,,1584.76,,,0.0,2010-11-02T14:55:57.000,,,0,,711632,,693,78,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
187729,103325,39.0,0,,,,,,,237.5,2010-11-02T14:55:59.000,,,0,,9904798,,694,63,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
235591,136469,39.0,0,,,,,,,27.63,2010-11-02T14:55:57.000,,,0,,104381,,694,22,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
128982,69131,39.0,0,1.0,,,,,,0.0,2010-11-02T14:55:59.000,,,0,,808961,,694,55,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
288275,191192,0.0,0,,,ROCKAWAY AVENUE,0.0,EAST NEW YORK AVENUE,367,0.44,2013-04-29T14:49:50.000,,,0,43880.0,1306619,1008913.0,694,48,4.0,,0.0,0
163737,93015,39.0,0,0.0,,,,,,0.16,2010-11-02T14:55:56.000,,,0,,1007859,,695,9,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
175972,57399,,0,,,,,,,492.96,2010-11-02T14:55:57.000,,,0,,9808343,,694,45,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
