activitydetailid,lotid,area,civilian_hrs,fivedayletterno,lotdupinspectionrequestid,streetaddress,lotcleaningtotal,crossstreettwo,used_house1,total_tonnage,activitystatusdate,firstname,old_status_rea_dd,isdeleted,segmentid,ccuno,coordinatex,operatorid_detail,lotno,zone,requestconversion_notes,dumpsiteid,l_tires
166340,95227,39.0,0,0.0,,,,,2012,1.35,2010-11-02T14:55:56.000,,,0,,1009450,,694,30,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
136790,74671,39.0,0,1.0,,,,,,0.57,2010-11-02T14:55:56.000,,,0,,813078,,694,50,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
278167,185398,0.0,0,,,CHESTER STREET,0.0,EAST NEW YORK AVENUE,45,0.6,2012-07-27T15:14:13.000,,,0,43878.0,1208477,1008681.0,693,23,4.0,,0.0,0
92245,44833,39.0,0,,,,,,,77.69,2010-11-02T14:55:57.000,,,0,,612675,,579,187,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
304549,199310,,11,,,BROADWAY,0.0,JEFFERSON AVENUE,17,0.5,2014-06-23T14:26:39.000,REFUSED,,0,106371.0,1406880,1007027.0,694,6,4.0,,0.0,0
272398,182704,0.0,0,,,EAST NEW YORK AVENUE,0.0,,1501,0.44,2012-04-02T14:46:59.000,,,0,0.0,1206175,0.0,694,44,4.0,,0.0,0
119025,61840,39.0,0,1.0,,,,,,0.0,2010-11-02T14:55:57.000,,,0,,714394,,694,41,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
223896,133734,,0,,,,,,,68.65,2010-11-02T14:55:57.000,,,0,,9700851,,613,21,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
84014,38206,39.0,0,,,,,,,0.0,2010-11-02T14:55:57.000,,,0,,608529,,694,66,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
258254,174691,0.0,0,2.0,,WITHERS STREET,543.34,LT JOHN A CRISCI STREET,26,0.0,2011-05-16T11:48:39.000,,,0,165147.0,1106668,997678.0,694,8,,,0.0,0
179927,82704,39.0,0,,,,,,,16.2,2010-11-02T14:55:56.000,,,0,,9902128,,694,42,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
267108,179408,0.0,0,,,DEKALB AVENUE,0.0,EVERGREEN AVENUE,1280,0.49,2011-11-23T10:46:02.000,,,0,44695.0,1110496,1004715.0,694,51,12.0,,0.0,0
172922,50905,,0,,,,,,,691.37,2010-11-02T14:55:54.000,,,0,,9806488,,694,70,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
181145,96725,39.0,26,,,,,,,152.5,2010-11-02T14:55:56.000,,,0,,9903734,,694,53,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
95166,132457,,0,,,,,,,201.7,2010-11-02T14:55:57.000,,,0,,9802255,,331,15,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
113692,60791,39.0,0,1.0,,,,,,2.21,2010-11-02T14:55:56.000,,,0,,713837,,694,13,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
112739,60468,39.0,0,1.0,,,,,,17.57,2010-11-02T14:55:56.000,,,0,,713634,,694,57,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
81960,36538,40.0,0,,,,604.08,,,0.0,2010-11-02T14:55:57.000,,,0,,607490,,693,60,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
46713,116635,,0,,,,,,,115.7,2010-11-02T14:55:57.000,,,0,,9707834,,337,23,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
68156,29105,39.0,0,,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,512703,,694,1,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
89637,8132,,0,,,,,,,308.2,2010-11-02T14:55:54.000,,,0,,9803742,,337,56,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
218412,119650,40.0,0,,,,724.76,,,4.37,2010-11-02T14:55:59.000,,,0,,3474,,694,116,11.0,PB STATUS = ASSIGNED TO INTAKE,,0
87417,41663,39.0,82,,,,,,,1.99,2010-11-02T14:55:54.000,,,0,,610719,,694,77,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
242939,136694,39.0,13,,,,,,,2.0,2010-11-02T14:55:57.000,,,0,,105257,,694,43,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
219958,126192,39.0,0,,,,,,,28.05,2010-11-02T14:55:57.000,,,0,,6688,,694,33,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
141104,77624,39.0,0,2.0,,,2547.98,,,12.91,2010-11-02T14:55:56.000,,,0,,906061,,693,470,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
189732,100159,40.0,0,,,,2859.63,,,20.3,2010-11-02T14:55:56.000,,,0,,9902751,,664,27,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
158468,89781,39.0,0,1.0,,,,,,0.07,2010-11-02T14:55:56.000,,,0,,1005156,,693,76,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
39518,104517,,0,,,,,,,708.1,2010-11-02T14:55:56.000,,,0,,9801556,,612,25,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
41363,11039,39.0,0,,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,409238,,694,6,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
164375,13532,,0,,,,,,,579.5,2010-11-02T14:55:54.000,,,0,,9804809,,612,42,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
216783,123698,39.0,0,,,,,,,41.39,2010-11-02T14:55:57.000,,,0,,6891,,694,14,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
163277,92493,39.0,21,1.0,,,922.1,,,0.4,2010-11-02T14:55:59.000,,,0,,1007483,,694,29,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
292610,192783,,18,1.0,,FULTON STREET,1254.17,SARATOGA AVENUE,1961,0.0,2013-08-05T10:40:06.000,JOHN,,0,167594.0,1307919,1007406.0,694,26,2.0,,0.0,0
227459,131691,39.0,32,,,,,,,1.99,2010-11-02T14:55:59.000,,,0,,102784,,337,24,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
284965,189070,0.0,0,,,EAST 125 STREET,423.19,MADISON AVENUE,62,0.22,2013-02-11T14:12:30.000,,,0,173013.0,1211562,1000828.0,694,48,,,0.0,0
86909,42082,,0,,,,,,,19.24,2010-11-02T14:55:57.000,,,0,,610889,,694,87,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
74415,163718,,0,,,,,,,311.2,2010-11-02T14:55:59.000,,,0,,9803527,,337,35,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
244323,129308,39.0,0,,,,,,,15.32,2010-11-02T14:55:57.000,,,0,,1103,,694,44,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
36347,119163,,0,,,,,,,617.3,2010-11-02T14:55:57.000,,,0,,9705962,,337,8,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
33491,6927,39.0,0,,,,670.06,,,2.5,2010-11-02T14:55:54.000,,,0,,406215,,694,12,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
121101,64442,39.0,0,1.0,,,,,,0.0,2010-11-02T14:55:56.000,,,0,,806007,,694,23,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
242238,116321,39.0,0,,,,,,,3.3,2010-11-02T14:55:57.000,,,0,,2827,,694,6,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
70959,31429,39.0,0,,,,1727.61,,,11.3,2010-11-02T14:55:54.000,,,0,,514150,,693,55,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
174530,50704,,0,,,,,,,659.16,2010-11-02T14:55:57.000,,,0,,9808025,,694,30,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
265666,179139,0.0,61,,,CHRISTOPHER AVENUE,0.0,LIBERTY AVENUE,44,1.73,2011-10-26T10:20:47.000,,,0,47121.0,1110299,1010154.0,694,2,4.0,,0.0,0
285932,190241,0.0,0,,,175 STREET,0.0,115 AVENUE,115-34,0.4,2013-03-11T14:49:58.000,,,0,60933.0,1305666,1046845.0,695,180,9.0,,0.0,0
238866,139174,39.0,0,,,,,,,34.71,2010-11-02T14:55:57.000,,,0,,105231,,694,4,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
40222,9152,39.0,0,,,,1805.51,,,7.0,2010-11-02T14:55:54.000,,,0,,407969,,693,20,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
274072,182718,0.0,0,,,BROOKHAVEN AVENUE,1138.79,CAFFREY AVENUE,17-28,0.75,2012-05-07T08:56:16.000,,,0,61795.0,1206219,1053410.0,694,1,,,0.0,0
28588,982,39.0,0,,,,,,,7.75,2010-11-02T14:55:54.000,,,0,,311909,,694,63,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
66449,168736,,0,,,,,,,50.2,2010-11-02T14:55:59.000,,,0,,9706223,,331,3,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
32668,5837,39.0,58,,,,,,,13.5,2010-11-02T14:55:56.000,,,0,,405043,,694,37,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
237881,139159,39.0,0,,,,,,,30.73,2010-11-02T14:55:57.000,,,0,,4884,,694,42,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
242766,142641,39.0,0,,,,,,,110.87,2010-11-02T14:55:59.000,,,0,,107180,,612,12,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
112573,56617,39.0,0,1.0,,,,,,9.94,2010-11-02T14:55:56.000,,,0,,711198,,694,32,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
192133,101778,40.0,14,,,,620.84,,,1.5,2010-11-02T14:55:56.000,,,0,,9801431,,694,8,11.0,PB STATUS = ASSIGNED TO INTAKE,,0
71745,32224,39.0,0,,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,514665,,694,16,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
66575,30328,39.0,0,,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,513033,,694,1,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
4335,153700,39.0,0,,,,,,,9.0,2010-11-02T14:55:59.000,,,0,,208942,,694,531,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
187126,102921,39.0,0,,,,,,,48.5,2010-11-02T14:55:59.000,,,0,,9903929,,694,39,9.0,PB STATUS = ASSIGNED TO INTAKE,,60
283498,188930,,8,,,HANCOCK STREET,0.0,BROADWAY,956,0.73,2012-12-27T10:55:33.000,SHANNEN,,0,9009702.0,1211464,1007211.0,694,15,4.0,,0.0,0
62043,133949,,0,,,,,,,436.48,2010-11-02T14:55:57.000,,,0,,9803379,,337,78,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
67880,30611,39.0,0,,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,513694,,694,3,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
214467,122708,39.0,0,,,,,,,40.0,2010-11-02T14:55:57.000,,,0,,6508,,694,52,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
290589,191988,0.0,0,,,PARK PLACE,0.0,HOWARD AVENUE,1764,0.0,2013-06-20T10:11:35.000,,,0,43627.0,1307446,1006782.0,693,22,4.0,,0.0,0
227436,132241,39.0,6,,,,,,,0.0,2010-11-02T14:55:57.000,,,0,,103326,,612,29,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
9420,156940,40.0,0,,,,1188.07,,,5.73,2010-11-02T14:55:59.000,,,0,,212081,,694,40,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
127309,67185,39.0,0,1.0,,,,,,0.0,2010-11-02T14:55:56.000,,,0,,807646,,694,57,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
136739,74575,39.0,0,1.0,,,,,,0.35,2010-11-02T14:55:59.000,,,0,,813041,,693,67,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
238889,140645,39.0,0,,,,,,,22.5,2010-11-02T14:55:57.000,,,0,,105819,,612,39,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
46926,14672,39.0,0,,,,,,,4.49,2010-11-02T14:55:54.000,,,0,,411658,,693,27,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
93232,44121,39.0,110,,,,,,,5.9,2010-11-02T14:55:54.000,,,0,,612018,,694,18,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
37749,8883,40.0,0,,,,,,,2.08,2010-11-02T14:55:56.000,,,0,,407927,,694,1,9.0,PB STATUS = ASSIGNED TO INTAKE,,0
782,151250,39.0,0,,,,,,,0.0,2010-11-02T14:55:57.000,,,0,,208967,,694,44,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
72155,33118,39.0,0,,,,,,,2.49,2010-11-02T14:55:54.000,,,0,,605353,,694,63,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
294748,194425,0.0,0,,,104 STREET,0.0,164 AVENUE,164-02,0.65,2013-09-25T14:40:25.000,,,0,54463.0,1309726,1032094.0,694,1512,10.0,,0.0,0
121509,64015,40.0,0,1.0,,,,,,0.0,2010-11-02T14:55:56.000,,,0,,805735,,694,8,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
84808,35793,40.0,0,,,,1089.48,,,4.48,2010-11-02T14:55:54.000,,,0,,606982,,693,38,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
97496,47870,39.0,20,1.0,,,,,,6.66,2010-11-02T14:55:54.000,,,0,,705378,,331,40,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
234032,135725,39.0,0,,,,,,,5.56,2010-11-02T14:55:57.000,,,0,,100318,,337,52,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
164149,93317,39.0,0,1.0,,,1658.86,,,5.4,2010-11-02T14:55:56.000,,,0,,1008057,,693,112,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
42802,13480,39.0,0,,,,,,,7.78,2010-11-02T14:55:56.000,,,0,,410785,,554,78,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
141344,77631,39.0,0,1.0,,,,,,9.0,2010-11-02T14:55:59.000,,,0,,905994,,694,1,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
100883,24681,,0,,,,,,,79.0,2010-11-02T14:55:54.000,,,0,,9806209,,337,54,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
235588,137720,39.0,0,,,,,,,29.12,2010-11-02T14:55:59.000,,,0,,104479,,694,8,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
179827,83042,39.0,0,,,,,,,490.9,2010-11-02T14:55:56.000,,,0,,9901841,,612,36,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
239611,136890,39.0,78,,,,,,,1.35,2010-11-02T14:55:59.000,,,0,,104159,,694,30,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
45506,101425,,0,,,,,,,487.3,2010-11-02T14:55:56.000,,,0,,9801555,,337,37,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
