activityid,inspectionrequestid,coordinatey,noofaddresses,total_hrs,phone,used_block_loc,act_old_lot_id,abandonedcars,bin,startdate,notes,dupccu,overriteind,requeststatusid,block_loc,fieldnotes,assignedtoinspector
35908,18280,,0.0,0.0,,B/T MANIDA & TIFFANY ON VEILE AVE,LOT51196,0.0,,2001-03-14T00:00:00.000,,,1.0,1048,,,N
14546,85733,,1.0,0.0,,B/T 130-29 & 130-37 129 ST,LOT187142,0.0,,2009-05-04T00:00:00.000,,,1.0,1048,130-29 129 ST,,N
22882,17037,,0.0,0.0,,NR. 573 BUSHWICK AVE,LOT43491,0.0,,2000-10-05T00:00:00.000,,,1.0,1048,,,N
23415,17476,,0.0,0.0,,ADJ.  754 JACKSON AVE,LOT47176,0.0,,2000-12-19T00:00:00.000,,,1.0,1048,,,N
32687,77457,,1.0,0.0,,ADJ 108-49 171 ST,LOT175743,0.0,,2008-08-08T00:00:00.000,,,1.0,1048,,,N
19984,12094,,0.0,0.0,,ADJ.  358 WEST 124 ST.,LOT28722,0.0,,1999-12-23T00:00:00.000,,,1.0,1048,,,N
34819,3382,,0.0,0.0,,ADJ. 2087 LEXINGTON AVE,LOT2750,0.0,,1998-05-04T00:00:00.000,,,1.0,1048,,,N
42892,112082,186415.0,,0.0,__________,ADJ. 2055 FULTON STREET betw ROCKAWAY AVENUE & SOMERS STREET,,,3042000.0,2012-07-09T00:00:00.000,,,0.0,1048,ADJ. 2055 FULTON STREET betw ROCKAWAY AVENUE & SOMERS STREET,,N
20887,11783,,0.0,0.0,,B/T 760 & 726 DEKALB AVE.,LOT33479,0.0,,2000-03-20T00:00:00.000,,,1.0,1048,,,N
28986,25125,,0.0,0.0,,ADJ. 393 LENOX AVE,LOT73462,0.0,,2002-05-09T00:00:00.000,,,1.0,1048,,,N
37822,2270,,0.0,0.0,,B/T  255 & 229 CHESTER ST.,LOT9439,0.0,,1998-08-03T00:00:00.000,,,1.0,1048,,,N
15469,38338,,0.0,0.0,,ADJ 109-49 UNION HALL ST,LOT106212,0.0,,2004-01-22T00:00:00.000,,,1.0,1048,,,N
25016,58562,,0.0,0.0,,ADJ 16 SHERLOCK PL.,LOT145488,0.0,,2006-05-17T00:00:00.000,,,1.0,1048,,,N
