bin,existing_meters,const_bis_job_number,auth_rep_last_name,disability_company_name,gis_latitude,temp_light_power,city,_4_wire,new_meters,total_meters,gis_nta_name,nogood_check_fee,street_name
2028531,0,,,SHELTERPOINT LIFE INS CO,40.838762,No,BROOKLYN,0,0,0,West Farms-Bronx River,0,COMMONWEALTH AVENUE
4274129,1,,,STANDARD SECURITY LIFE,40.684156,No,BROOKLYN,0,0,1,St. Albans,0,PINEVILLE LANE
3002935,0,,,STANDARD SECURITY LIFE,40.690892,No,BROOKLYN,0,0,0,Carroll Gardens-Columbia Street-Red Hook,0,ATLANTIC AVENUE
3017355,0,,,SHELTERPOINT LIFE INS CO,40.654852,No,BROOKLYN,0,0,0,Windsor Terrace,0,20 STREET
3203804,0,,,STANDARD INSURANCE CO,40.588905,No,BROOKLYN,0,2,2,Homecrest,0,EAST   11 STREET
3004075,0,,,ELECTRICAL EMPLOYERS SISP,40.685211,No,STATEN ISLAND,0,0,0,Carroll Gardens-Columbia Street-Red Hook,0,COLUMBIA STREET
3123655,2,,,SHELTERPOINT LIFE INS CO,40.644153,No,BROOKLYN,0,0,2,Kensington-Ocean Parkway,0,CHESTER AVENUE
1008404,0,,,NEW YORK STATE INS FUND,40.729687,No,WOODSIDE,0,0,0,West Village,0,CARMINE STREET
2117695,0,,,SHELTERPOINT LIFE INS CO,40.820176,No,NEW YORK,0,0,0,Melrose South-Mott Haven North,0,ST ANNS AVENUE
1003560,0,,,NYS WORKERS COMP BOARD,40.7133,No,BRONX,0,0,0,Lower East Side,0,HENRY STREET
3326144,0,,,SHELTERPOINT LIFE INSURAN,40.692079,No,CORONA,0,0,0,Bushwick South,0,PALMETTO STREET
1015096,3,,Vargas,SHELTERPOINT LIFE INS CO,40.747086,No,RICHMOND.HILL,1,3,3,Midtown-Midtown South,0,SEVENTH AVENUE
3388494,0,,,SHELTERPOINT LIFE INS COM,40.685324,No,BRONX,0,0,0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0,STATE STREET
2066569,0,,,SHELTERPOINT LIFE INS CO,40.888633,No,LONG ISLAND CITY,0,0,0,Woodlawn-Wakefield,0,EAST 233 STREET
1055870,19,,ROSARIO,NEW YORK STATE INS FUND,40.804481,No,NEW YORK,0,0,19,Central Harlem South,0,WEST 115 STREET
3116569,4,,,SHELTERPOINT LIFE INS. CO,40.652398,No,BROOKLYN,2,4,4,Flatbush,0,FLATBUSH AVENUE
1089664,0,,,E.E.S.I.S.P,40.751916,No,NEW YORK,0,2,2,Hudson Yards-Chelsea-Flatiron-Union Square,0,WEST 31 STREET
3323704,0,,TSOUTSOS,SHELTERPOINT LIFE INSURAN,40.677201,Yes,ASTORIA,0,0,0,Carroll Gardens-Columbia Street-Red Hook,0,RICHARDS STREET
3076371,0,,MOREALS,SHELTERPOINT LIFE INS,40.700092,No,MASPETH,0,0,0,Bushwick North,0,WYCKOFF AVENUE
1059880,0,,gamce,STANDARD INS COMPANY,40.815961,No,LONG ISLAND CITY,0,0,0,Morningside Heights,0,RIVERSIDE DRIVE
3144056,0,,VALDES,SHELTERPOINT INS COMPANY,40.638981,No,BROOKLYN,0,0,0,Sunset Park West,0,4 AVENUE
1019088,0,,,SHELTERPOINT INS COMPANY,40.748448,No,ASTORIA,0,0,0,Murray Hill-Kips Bay,0,LEXINGTON AVENUE
3426885,0,,,SHELTERPOINT LIFE INS CO,40.643592,No,BROOKLYN,0,0,0,Erasmus,0,ROGERS AVENUE
3328524,0,,,Waived,40.597915,No,STATEN ISLAND,0,0,0,Bath Beach,0,20 LANE
3116646,0,,,NYS WORKER'S COMP,40.653856,No,STATEN ISLAND,0,0,0,Prospect Lefferts Gardens-Wingate,0,LENOX ROAD
1007310,1,,,SHELTERPOINT LIFE INS CO,40.723426,No,NEW YORK,1,1,1,SoHo-TriBeCa-Civic Center-Little Italy,0,WOOSTER STREET
3210541,2,,,SHELTERPOINT LIFE INS COM,40.619441,No,BROOKLYN,0,1,1,Flatlands,0,EAST 36 STREET
2002642,0,,,STANDARD SECURITY LIFE,40.831646,No,BROOKLYN,0,0,0,East Concourse-Concourse Village,0,SHERMAN AVENUE
1064698,0,,,STANDARD SECURITY INS CO,40.874295,No,MASPETH,1,1,0,Marble Hill-Inwood,0,WEST  225 STREET
1086102,0,,,NYS INSURANCE FUND NYSIF,40.731166,No,BROOKLYN,0,0,0,West Village,0,MORTON STREET
3395991,0,,Degaltini,NYS WORKERS COMP BOARD,40.674489,No,NEW YORK,0,0,0,Park Slope-Gowanus,0,4 AVENUE
4271795,1,,,GUARDIAN LIFE INS.CO AMER,40.693198,No,NEW YORK,0,1,2,St. Albans,0,118 AVENUE
4062046,0,,,SHELTERPOINT LIFE INS,40.712644,No,MASPETH,0,0,0,Middle Village,0,METROPOLITAN AVENUE
1048824,0,,,NYSIF,40.779132,No,RICHMOND HILL,0,0,0,Yorkville,0,EAST   87 STREET
3013294,0,,,NYS DISABILITY COMP BOARD,40.645433,No,BROOKLYN,0,0,0,Sunset Park West,0,51 STREET
3329038,0,,,STANDARD INSURANCE CO,40.613986,No,BROOKLYN,0,0,0,Bensonhurst West,0,NEW UTRECHT AVENUE
4183244,2,,,GUARDIAN LIFE INS CO AME,40.688502,No,NEW YORK,0,3,3,Woodhaven,0,89 AVENUE
3122738,0,,,SHELTERPOINT LIFE INS CO,40.649054,No,BROOKLYN,0,0,0,Windsor Terrace,0,EAST    3 STREET
1031132,0,,,SHELTERPOINT LIFE INS CO,40.783751,No,SUNNYSIDE,0,0,0,Upper West Side,0,WEST 78 STREET
3057646,1,,MAITLAND,NYS WORKERS COMP BOARD,40.681622,No,BRONX,0,3,3,Clinton Hill,0,LEFFERTS PLACE
3071806,0,,,SHELTERPOINT LIFE INS CO,40.700609,No,LONG ISLAND CITY,0,0,0,Bushwick South,0,BEAVER STREET
1046991,0,,,NYS INSURANCE FUND,40.783003,No,LONG ISLAND CITY,0,0,0,Upper East Side-Carnegie Hill,0,PARK AVENUE
