property_id,latitude,longitude,weather_normalized_site_eui,multifamily_housing_number_3,medical_office_number_of_1,urgent_care_clinic_other,census_tract,alert_energy_meter_has_gaps,national_median_site_eui,college_university_gross,annual_maximum_demand_meter,restaurant_gross_floor_area,net_emissions_metric_tons,multifamily_housing_total,community_board,indoor_water_use_intensity,multifamily_housing_number_7,data_center_it_source_energy,site_energy_use_kbtu,multifamily_housing_resident,county,estimated_data_flag_fuel,medical_office_percent_that_1,year_ending,fuel_oil_1_use_kbtu,bank_branch_number_of,temporary_values,alert_energy_no_meters,_3rd_largest_property_use,list_of_all_property_use,retail_store_number_of_open,metered_areas_water,fitness_center_health_club,parking_open_parking_lot,medical_office_number_of,financial_office_number_of_1,hotel_gross_floor_area_ft,financial_office_weekly,diesel_2_use_kbtu,multifamily_housing_number_4,refrigerated_warehouse_gross,estimated_data_flag_natural,egrid_output_emissions_rate,convenience_store_with_gas_1
1457889,40.753383,-73.978871,82.9,Not Available,Not Available,Not Available,94.0,Ok,109.7,Not Available,Not Available,Not Available,5391.4,Not Available,105.0,Not Available,Not Available,2637395.5,67279262,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,6,No,Ok,Bank Branch,"Bank Branch, Data Center, Fast Food Restaurant, Office, Retail Store",0,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84.7,Not Available
1633628,40.694125,-73.790675,77.2,Not Available,Not Available,Not Available,260.0,Ok,74.0,Not Available,0400037E (7978321),Not Available,618.0,Not Available,412.0,Not Available,Not Available,Not Available,9859317.4,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633738,40.879368,-73.909896,83.9,Not Available,Not Available,Not Available,29302.0,Ok,81.7,Not Available,0201322E (8106329),Not Available,967.7,Not Available,208.0,Not Available,Not Available,Not Available,13989314.1,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633974,40.641157,-73.993482,76.2,Not Available,Not Available,Not Available,224.0,Ok,90.8,Not Available,0300138E (7896380),Not Available,588.2,Not Available,312.0,Not Available,Not Available,Not Available,7625222.2,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633496,40.709196,-74.012022,136.8,Not Available,Not Available,Not Available,13.0,Ok,75.8,Not Available,0101333E (7978020),Not Available,1126.8,Not Available,101.0,Not Available,Not Available,Not Available,15750935.6,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633498,40.716668,-74.013542,Not Available,Not Available,Not Available,Not Available,31703.0,Ok,70.1,Not Available,0101413E (7935331),Not Available,605.1,Not Available,101.0,Not Available,Not Available,Not Available,8801751.9,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633856,40.739246,-73.822057,70.5,Not Available,Not Available,Not Available,809.0,Ok,63.9,Not Available,0401536E (8030728),Not Available,697.2,Not Available,408.0,Not Available,Not Available,Not Available,9784163.8,Not Available,Not Available,No,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633016,40.829232,-73.856734,58,Not Available,Not Available,Not Available,4001.0,Ok,86.1,Not Available,0200168E (8080069),Not Available,759.8,Not Available,209.0,Not Available,Not Available,Not Available,9881290.1,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1634606,40.742129,-74.002198,58.9,Not Available,Not Available,Not Available,83.0,Ok,89.3,Not Available,0100079E (7935372),Not Available,791.0,Not Available,104.0,Not Available,Not Available,Not Available,10709741.4,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633223,40.831827,-73.906607,72.2,Not Available,Not Available,Not Available,145.0,Ok,79.3,Not Available,0200175E (8080077),Not Available,644.8,Not Available,203.0,Not Available,Not Available,Not Available,8384237.3,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
1633435,40.713094,-73.780468,44.9,Not Available,Not Available,Not Available,470.0,Ok,72.0,Not Available,0400231E (8025633),Not Available,829.3,Not Available,412.0,Not Available,Not Available,Not Available,10768812,Not Available,Not Available,Not Available,Not Available,2018-12-31T00:00:00.000,Not Available,Not Available,No,Ok,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,84.7,Not Available
