property_name,largest_property_use_type,borough,energy_star_certification,hospital_general_medical_5,district_steam_use_kbtu,alert_energy_meter_has_single,national_median_total_ghg,hospital_general_medical_10,city,data_center_cooling_equipment,source_eui_kbtu_ft,hospital_general_medical_12,irrigated_area_ft,green_power_onsite_kwh,indirect_ghg_emissions_metric,medical_office_percent_that,primary_property_type_self,data_center_ups_system,data_center_pdu_input_meter,water_score_multifamily_only,hospital_general_medical_6,kerosene_use_kbtu,estimated_data_flag_1,data_quality_checker_run,_3rd_largest_property_use_1,hotel_room_density_number,third_party_certification_1,electricity_use_grid_purchase_1,multifamily_housing_total_1,primary_property_type,office_number_of_workers,office_number_of_computers,municipally_supplied_potable_2,worship_facility_gross_floor,district_hot_water_use_kbtu,direct_ghg_emissions_metric,laboratory_gross_floor_area,residence_hall_dormitory,municipally_supplied_potable,other_number_of_workers_on,avoided_emissions_offsite,last_modified_date_electric,energy_star_certification_2,water_use_intensity_all_water,medical_office_weekly,hotel_gym_fitness_center,generation_date,hospital_general_medical_9,hospital_general_medical_1,energy_power_station_gross,energy_star_score,social_meeting_hall_gross,costar_property_id,data_center_pdu_output_meter,data_quality_checker_date,bank_branch_gross_floor_area
330 Madison Avenue,Office,MANHATTAN,"2018, 2017, 2016, 2015, 2013, 2008",Not Available,16755855.8,Ok,7126.6,Not Available,New York,N+1,199.4,Not Available,Not Available,Not Available,5391.4,Not Available,Office,N,0,Not Available,Not Available,Not Available,Not Available,No,4045,Not Available,Not Available,14807561.6,Not Available,Office,4259,4859,Not Available,Not Available,Not Available,0,Not Available,Not Available,11166,Not Available,0,04/10/2019 08:13 PM EDT,No,13.78,Not Available,Not Available,2019-04-26T17:13:37.000,Not Available,Not Available,Not Available,70,Not Available,Not Available,0,Not Available,4045
Q040-0400037,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,586.6,Not Available,Queens,Not Available,112.7,Not Available,Not Available,Not Available,191.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,661599.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,426.8,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:37.000,Not Available,Not Available,Not Available,44,Not Available,Not Available,Not Available,Not Available,Not Available
X368-0201322,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,919,Not Available,Bronx,Not Available,161.8,Not Available,Not Available,Not Available,564.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1952799.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,403.5,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:16.000,Not Available,Not Available,Not Available,44,Not Available,Not Available,Not Available,Not Available,Not Available
K131-0300138,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,723.2,Not Available,Brooklyn,Not Available,103.1,Not Available,Not Available,Not Available,138.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,480400,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,449.4,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:06.000,Not Available,Not Available,Not Available,69,Not Available,Not Available,Not Available,Not Available,Not Available
M833-0101333,K-12 School,MANHATTAN,Not Available,Not Available,11242704.4,Ok,624.2,Not Available,New York,Not Available,226.4,Not Available,Not Available,Not Available,1124.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1307599.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,2.5,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:40.000,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available
M089-0101413,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,549.8,Not Available,New York,Not Available,143.4,Not Available,Not Available,Not Available,345.6,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1195999.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,259.5,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:04.000,Not Available,Not Available,Not Available,40,Not Available,Not Available,Not Available,Not Available,Not Available
Q499-0401536,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,622.9,Not Available,Queens,Not Available,139,Not Available,Not Available,Not Available,425.4,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1471999.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,271.8,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:23.000,Not Available,Not Available,Not Available,38,Not Available,Not Available,Not Available,Not Available,Not Available
X125-0200168,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,1160.3,Not Available,Bronx,Not Available,76.1,Not Available,Not Available,Not Available,159.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,550799.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,600.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:17.000,Not Available,Not Available,Not Available,84,Not Available,Not Available,Not Available,Not Available,Not Available
M070-0100079,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,1188.5,Not Available,New York,Not Available,81.2,Not Available,Not Available,131947.6,180.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,623999.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,610.7,Not Available,Not Available,Not Available,Not Available,0,04/15/2019 02:43 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:18.000,Not Available,Not Available,Not Available,83,Not Available,Not Available,Not Available,Not Available,Not Available
X132-0200175,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,717.7,Not Available,Bronx,Not Available,96,Not Available,Not Available,Not Available,133.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,462879.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,511,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:39.000,Not Available,Not Available,Not Available,60,Not Available,Not Available,Not Available,Not Available,Not Available
