contact_id,distribution_id,_fivetran_synced,contact_frequency_rule_id,contact_lookup_id,opened_at,response_completed_at,response_id,response_started_at,sent_at,status,survey_link,survey_session_id
CID_4NG7JC9R7VTmHYi,EMD_Q8AiTuBzgLZsODX,2023-05-02 00:18:19.286,,CGC_kKkUtjVs3mFxeAK,2023-03-28 07:41:58,,,,2023-03-28 07:17:14.896,Opened,https://myorg.ca1.qualtrics.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_Q8AiTuBzgLZsODX_7Uw1HuxpN0OxbVQ_CGC_kKkUtjVs3mFxeAK&_g_=g,
CID_4NG7JC9R7VTmHYi,EMD_FV7lj9zfNfFAxFI,2023-05-02 00:18:18.931,,CGC_T8oa4TlYPoGvnwW,2023-04-25 09:19:47,,,,2023-04-25 09:06:38.894,Opened,https://myorg.ca1.qualtrics.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_FV7lj9zfNfFAxFI_7Uw1HuxpN0OxbVQ_CGC_T8oa4TlYPoGvnwW&_g_=g,
CID_4NG7JC9R7VTmHYi,EMD_b4UhhqAF6Sx0Mcl,2023-05-02 00:11:58.321,,CGC_kKkUtjVs3mFxeAK,2023-01-10 11:30:29,,,,2023-01-10 11:30:20.925,Opened,https://myorg.ca1.qualtrics.com/jfe/form/SV_6Jcja72TpOiHjdX?Q_CHL=email&Q_DL=EMD_b4UhhqAF6Sx0Mcl_6Jcja72TpOiHjdX_CGC_kKkUtjVs3mFxeAK&_g_=g,
CID_9Fa5PKgMwjiExoh,EMD_OY1XxLK7rncWDt8,2023-05-02 00:34:45.341,,CGC_0ZqBiW44uMDQbon,2022-04-06 13:14:19,,,,2022-04-06 13:14:18.296,Opened,https://myorg.ca1.qualtrics.com/jfe/form/SV_djzINkbJIFJUs05?Q_CHL=email&Q_DL=EMD_OY1XxLK7rncWDt8_djzINkbJIFJUs05_CGC_0ZqBiW44uMDQbon&_g_=g,
CID_9Fa5PKgMwjiExoh,EMD_GgJDmizeU8yAwvI,2023-05-02 00:34:44.672,,CGC_0ZqBiW44uMDQbon,,,,,2022-09-12 05:13:55.058,Pending,https://myorg.ca1.qualtrics.com/jfe/form/SV_djzINkbJIFJUs05?Q_CHL=gl&Q_DL=EMD_GgJDmizeU8yAwvI_djzINkbJIFJUs05_CGC_0ZqBiW44uMDQbon&_g_=g,
1,1,2023-05-02 00:00:00.000,vAl2,CGC_0ZqBiW44uMDqbon,2022-10-24 00:00:00,,vAl,,2023-01-14 00:00:00.000,OpeNed6,https://myorg.ca1.qualtrics.com/jfe/form/SV_djzINkbJIFJUs05?Q_CHL=email&Q_DL=EMD_OY1XxLK7rncWDt8_djzINkbjIFJUs05_CGC_0ZqBiW44uMDQbon&_g_=g6,Val5
2,2,2023-05-02 00:00:00.000,vAL1,CGc_kKkUtjVs3mFxEAK,2023-01-21 00:00:00,,val,,2022-08-02 00:00:00.000,Pending9,https://myorg.ca1.qualtrics.com/jfe/form/SV_6Jcja72TpOiHjdX?Q_CHL=email&Q7_DL=EMD_b4UhhqAF6Sx0Mcl_6JcjA72TpOiHjdX_CGC_kKkUtjVs3mFxeAK&_g_=g,VAL
3,3,2023-05-02 00:00:00.000,vaL,CGC_kKkUtjvs3mFxeaK,2022-05-08 00:00:00,,VAL0,,2022-05-26 00:00:00.000,openeD,Https://myorg.ca1.qualtrics.com/jfe/form/SV_djzINkbJIFJUs05?Q_CHL=email&Q_DL=EMD4_OY1xxLK7rncWDt8_djzINkbJIFJUs05_CGC_0ZqBiW44uMDQbon&_g_=g2,vaL2
4,4,2023-05-02 00:00:00.000,Val,CGC_KKkutjVS3mFxeAK4,2022-10-05 00:00:00,,Val,,2022-04-16 00:00:00.000,OpEneD1,https://myorg.ca1.qualtrics.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q_CHL=email&Q4_DL=EMD_Q8AiTuBzgLZsODX_7Uw1HuxpN0OxbVQ_CGC_kKkUtjVs3mFxeAK&_g_=g0,vAl7
5,5,2023-05-02 00:00:00.000,vAl1,CGC_0ZqBiw44uMDQbon4,2022-07-12 00:00:00,,Val,,2022-07-29 00:00:00.000,opEnEd5,https://myorg.ca1.qualtrics.com/jfe/form/SV_6Jcja72TpOiHjdX?Q_CHL=email&Q_DL=EMD_b4UhhqAF6Sx0Mcl_6Jcja72TpOiHjdX_CGC_kKkUtjVs3mFxeAK&1_g_=g2,vAl1
6,6,2023-05-02 00:00:00.000,VAl7,CGC_kKkUtjVs3mFxEAK3,2022-11-09 00:00:00,,vaL,,2023-01-25 00:00:00.000,opeNed,https://myorg.ca1.qualtrics.com/jfe/form/SV_6Jcja72TpOihjdX?Q_cHL=emAil&Q_DL=EMD_b4UhhqAF6Sx0Mcl_6Jcja72TpOiHjdX_CGC_kKkUtjVs3mFxeAK&_g_=g2,vaL7
7,7,2023-05-02 00:00:00.000,vaL5,CGC_T8oa4TlYPoGvNww,2022-06-09 00:00:00,,Val,,2022-09-10 00:00:00.000,opeNEd,https://myoRg.ca1.qualtrics.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_Q8AiTuBzgLZsODX_7Uw1HuxpN0OxBVQ_CGC_kKkUtjVs3mFxeAK&_g_=g,Val2
8,8,2023-05-02 00:00:00.000,val7,CGC_T8oa5tlYpoGvnwW2,2022-04-18 00:00:00,,vaL5,,2023-01-06 00:00:00.000,PEndinG7,https://myorg.ca1.quaLtrics.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_FV7lj9zfNfFAxFI_7UW1HuxpN0OxbVQ_CGC_T8oa4TlYPoGvnwW&_g_1=g,VAL
9,9,2023-05-02 00:00:00.000,vaL,CGC_t8Oa0TlYPoGvnwW2,2023-02-26 00:00:00,,VaL,,2022-09-02 00:00:00.000,OpEned2,Https://myorg.ca1.quAltrics.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_FV7lj9zfNfFAxFI_7Uw1HuxpN0OxbVQ_CGC_T8oa4TlYpoGvnwW&_g_=g2,VaL
10,10,2023-05-02 00:00:00.000,val,CGC6_kKkUTjVs8mFxeAK,2022-07-24 00:00:00,,vAL,,2022-07-18 00:00:00.000,OpeneD0,https://myorg.ca1.qualtrics.com/jfe/form/sV_djzINkbJIFJUs05?Q_CHL=gl&Q_DL=EMD_GgJDmizeU8yAwvI6_djzINkbJIFJUs05_CGC_0ZqBiW44uMDQbon&_g_=g1,vaL0
11,11,2023-05-02 00:00:00.000,vAl2,CGC_kkkutjVs3mFxeAK6,2023-02-26 00:00:00,,vAl7,,2022-10-02 00:00:00.000,PenDing5,https://myorg.ca1.qualtrics.com/jfe/form/SV_djzINkbJIFJUs05?Q_CHL=gl&Q_DL=EmD_GgJDmizeU8yAwvI_djZINkbJIFJUs35_CGC_0ZqBiW44uMDQbon&_g_=g8,VAl9
12,12,2023-05-02 00:00:00.000,vaL,CGC_0ZqBiW64uMDQbon1,2022-05-07 00:00:00,,VaL,,2022-10-31 00:00:00.000,OPened,https://myorg.ca1.qualtrics.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_FV7lj9zfNfFAxFI_7Uw1HuxpN0OxbVQ_CGC_T8oa4TlYPoGvnww&_g3_=g,Val2
13,13,2023-05-02 00:00:00.000,vAl,cGC_T3oa4TlYPoGvnww4,2022-06-28 00:00:00,,vAL,,2023-04-16 00:00:00.000,PeNdiNg,https://myorg.ca1.qualtrics.com/jfE/fOrm/SV_djzINkbJIFJUs05?Q_CHL=gl&Q3_DL=EMD_GgJDmizeU8yAwvI_djzINkbJIFJUs05_CGC_0ZqBiW44uMDQbon&_g_=g9,vaL0
14,14,2023-05-02 00:00:00.000,vaL8,CGC_kKkUtJVs3mfxeAk7,2023-01-07 00:00:00,,VaL4,,2023-01-27 00:00:00.000,opened5,https://myorg.ca1.qualtrics.com/jfe/form/SV_7Uw1HuxpN0OxbVQ?Q_CHL=email&Q_DL=EMD_Q8AituBzgLZsODX_7Uw1HuxpN0OxbVQ_CGC_kKkUtjVs3mFxeAK&_g_=g,Val0
