id,_fivetran_deleted,_fivetran_synced,deduplication_criteria_email,deduplication_criteria_external_data_reference,deduplication_criteria_first_name,deduplication_criteria_last_name,deduplication_criteria_phone,is_default,name
,False,2023-06-05 03:06:29.007,True,False,False,False,False,True,Test_directory
1,False,2022-07-20 00:00:00.000,True,False,False,False,True,True,TESt_directOry8
2,False,2022-11-19 00:00:00.000,True,False,False,False,True,True,Test_directory1
3,False,2023-05-11 00:00:00.000,True,False,False,False,False,True,TeSt_dIRectory9
4,False,2022-11-12 00:00:00.000,True,False,False,False,False,True,TeSt_dIREcTOry9
5,False,2023-05-21 00:00:00.000,True,False,False,False,False,True,TEst_dirEctOrY84
6,False,2022-11-08 00:00:00.000,True,False,False,False,False,True,Test_directOry
7,False,2022-10-29 00:00:00.000,True,False,False,False,False,True,TesT_diRectOry
8,False,2023-02-24 00:00:00.000,True,False,False,False,False,True,TEst_dirECtOry848
9,False,2022-09-13 00:00:00.000,True,False,False,False,False,True,TeSt_diREcTOry95
10,False,2023-05-13 00:00:00.000,True,False,False,False,False,True,TEst_dirEcTOrY842
11,False,2023-03-17 00:00:00.000,True,False,False,False,False,True,TEst_direcTOrY8426
12,False,2022-09-24 00:00:00.000,True,False,False,False,False,True,TeSt_diREcTOry553
13,False,2023-02-21 00:00:00.000,True,False,False,False,False,True,TESt_directOrY88
14,False,2023-02-25 00:00:00.000,True,False,False,False,False,True,teSt_diREcTOry153
15,False,2022-09-18 00:00:00.000,True,False,False,False,False,True,TEsT_directory
16,False,2023-05-16 00:00:00.000,True,False,False,False,False,True,Test_dIREcTOry92
17,False,2022-12-15 00:00:00.000,True,False,False,False,False,True,TeST_diREcTOry553
18,False,2023-03-07 00:00:00.000,True,False,False,False,False,True,tESt6_directOry87
19,False,2022-09-11 00:00:00.000,True,False,False,False,False,True,TESt_dirEctOrY883
20,False,2023-04-27 00:00:00.000,True,False,False,False,False,True,Test_diReCtOry3
21,False,2023-03-08 00:00:00.000,True,False,False,False,False,True,TeSt_diRECTOry95
22,False,2023-02-14 00:00:00.000,True,False,False,False,False,True,TESt6_dIRectory26
23,False,2022-12-05 00:00:00.000,True,False,False,False,False,True,TeSt_directory8
24,False,2022-11-24 00:00:00.000,True,False,False,False,False,True,TEst_diRECtOry8489
25,False,2023-01-12 00:00:00.000,True,False,False,False,False,True,test8_directory6
26,False,2022-10-06 00:00:00.000,True,False,False,False,False,True,TeSt_diREcTOry93
27,False,2023-05-25 00:00:00.000,True,False,False,False,False,True,tEst_dirEctOry0
28,False,2023-03-29 00:00:00.000,True,False,False,False,False,True,TeSt_diRecTOry257
29,False,2022-12-24 00:00:00.000,True,False,False,False,False,True,tesT8_direCtOry6
30,False,2023-04-02 00:00:00.000,True,False,False,False,False,True,TeSt3_directOry83
31,False,2023-04-05 00:00:00.000,True,False,False,False,False,True,TESt_dIrECtOrY8838
32,False,2023-03-17 00:00:00.000,True,False,False,False,False,True,tEst_dirEctory84
33,False,2023-02-03 00:00:00.000,True,False,False,False,False,True,teST_diRecTOrY5538
34,False,2023-03-28 00:00:00.000,True,False,False,False,False,True,tEst_dirEctOry03
35,False,2022-10-17 00:00:00.000,True,False,False,False,False,True,teSt6_diReCtOry30
36,False,2022-12-19 00:00:00.000,True,False,False,False,False,True,TEst_dirECtORY8486
37,False,2022-11-25 00:00:00.000,True,False,False,False,False,True,TEST6_dIRectory268
38,False,2023-05-10 00:00:00.000,True,False,False,False,False,True,TEST_dirEctOrY889
39,False,2023-01-15 00:00:00.000,True,False,False,False,False,True,TEst_directOry7
