directory_id,id,_fivetran_deleted,_fivetran_synced,creation_date,last_modified_date,name,owner_id
POOL_vw3p9mEAf692Aql,,False,2023-06-05 03:06:29.408,2020-06-19 18:41:15.768,2020-06-19 18:41:15.768,TestMailingList2,UR_cYdNGsrFUemlDbD
POOL_vw3p9mEAf692Aql,,False,2023-06-05 03:06:29.408,2020-08-10 11:43:01.844,2020-08-10 11:43:01.844,Test_0810,UR_cYdNGsrFUemlDbD
POOL_vw3p9mEAf692Aql,,False,2023-06-05 03:06:29.408,2020-08-07 09:48:18.474,2020-08-07 09:48:18.474,New Contact List (8/7/20 3:17 PM),UR_cYdNGsrFUemlDbD
POOL_vw3p9mEAf692Aql,,False,2023-06-05 03:06:29.408,2020-08-06 05:52:13.640,2020-08-06 05:52:13.640,Test060820,UR_cYdNGsrFUemlDbD
POOL_vw3p9mEAf692Aql,,False,2023-06-05 03:06:29.408,2023-02-24 10:47:53.810,2023-02-24 10:47:53.810,New Contact List (2/24/23 4:17 PM),UR_cYdNGsrFUemlDbD
1,1,False,2022-12-16 00:00:00.000,2021-08-31 00:00:00.000,2020-10-11 00:00:00.000,TeSt_08600,UR_cydNgsrFUemldbD
2,2,False,2022-10-03 00:00:00.000,2021-05-10 00:00:00.000,2020-12-14 00:00:00.000,TesT0308205,UR_cYdNGsrFuEmlDbD
3,3,False,2023-04-14 00:00:00.000,2023-01-06 00:00:00.000,2021-10-21 00:00:00.000,New Contact List6 (27/24/23 42:17 PM)8,uR_cYdNGsrFUemlDbD
4,4,False,2022-07-31 00:00:00.000,2020-06-22 00:00:00.000,2020-12-03 00:00:00.000,teST_0810,UR_cYdNGsrFUemLDbD5
5,5,False,2022-08-06 00:00:00.000,2022-10-23 00:00:00.000,2021-05-20 00:00:00.000,NeW ContaCt List (8/8/20 3:17 PM)1,UR_cYdNGsrfUemlDbD8
6,6,False,2022-08-18 00:00:00.000,2021-10-14 00:00:00.000,2020-09-14 00:00:00.000,New ContaCt LIst 4(2/24/23 4:17 PM),uR_cYdNGsrFUeMldbD
7,7,False,2022-11-20 00:00:00.000,2021-03-22 00:00:00.000,2021-07-02 00:00:00.000,TestmaiLingList2,uR_cYdNGsrFUemlDbD1
8,8,False,2023-05-10 00:00:00.000,2022-01-09 00:00:00.000,2021-12-04 00:00:00.000,TestMailiNgList2,UR_cydNGsrfUemlDbD3
9,9,False,2023-04-14 00:00:00.000,2021-11-14 00:00:00.000,2022-09-06 00:00:00.000,TeSt_08124,UR_cYdNGsrFUeMlDBD7
10,10,False,2022-08-21 00:00:00.000,2020-08-30 00:00:00.000,2021-09-12 00:00:00.000,new Contact List (2/28/23 4:17 PM),UR_cydNGsrFUemLDbD5
11,11,False,2022-09-30 00:00:00.000,2021-05-12 00:00:00.000,2021-10-15 00:00:00.000,tEsT_0810,UR_cYDNGSRFUemlDbD
12,12,False,2023-01-03 00:00:00.000,2021-04-26 00:00:00.000,2021-11-16 00:00:00.000,New Contact List (2/24/23 67:17 PM)1,UR_cYdngsRFUemlDbD6
13,13,False,2022-10-16 00:00:00.000,2022-01-08 00:00:00.000,2021-12-03 00:00:00.000,New ContacT LIst (8/7/20 3:17 PM)7,UR_cYdNGsrFUEMlDbd
14,14,False,2022-09-20 00:00:00.000,2021-04-26 00:00:00.000,2022-03-02 00:00:00.000,TestMaiLinglist29,UR_cYdNGsrFUemlDbd
15,15,False,2023-03-01 00:00:00.000,2020-12-17 00:00:00.000,2020-09-02 00:00:00.000,New Contact List (2/24/23 4:10 PM4)6,UR_cYDNgsrfUemlDbD1
16,16,False,2022-11-04 00:00:00.000,2022-05-17 00:00:00.000,2021-02-08 00:00:00.000,TesT060880,UR_cYdNGsrFUemlDbD5
17,17,False,2023-03-31 00:00:00.000,2023-02-15 00:00:00.000,2021-09-25 00:00:00.000,New Contact1 LisT (8/7/20 3:17 PM),UR_cYdNGsrfUEmlDbD2
18,18,False,2022-07-24 00:00:00.000,2023-01-08 00:00:00.000,2022-03-22 00:00:00.000,testMailingList0,UR_cYdNGsrFuemlDbD8
19,19,False,2022-12-14 00:00:00.000,2022-09-05 00:00:00.000,2021-05-03 00:00:00.000,Test3_0810,UR_cYdNGSrFUemlDbD5
20,20,False,2022-12-08 00:00:00.000,2020-08-15 00:00:00.000,2020-11-30 00:00:00.000,TestMaILingList24,UR_cYdNGsrFUemlDbd
21,21,False,2023-05-01 00:00:00.000,2020-10-03 00:00:00.000,2021-11-11 00:00:00.000,New Contact List (2/24/26 4:53 PM)5,UR5_cYdNGsrFUeMlDbD5
22,22,False,2022-07-14 00:00:00.000,2022-09-17 00:00:00.000,2021-12-02 00:00:00.000,Test_0510,UR_cYdNGsrFUemlDbD1
23,23,False,2022-09-23 00:00:00.000,2022-02-25 00:00:00.000,2022-03-01 00:00:00.000,neW Contact List (8/79/20 3:17 PM)0,Ur_cYdNGsrfUemlDbD8
24,24,False,2022-07-09 00:00:00.000,2021-03-28 00:00:00.000,2021-10-04 00:00:00.000,TeSt_08108,UR_cYDNGsrFUemlDbD
25,25,False,2023-05-13 00:00:00.000,2021-01-24 00:00:00.000,2021-12-15 00:00:00.000,Test4658201,UR_cYDNGSrfUemlDbD4
26,26,False,2023-01-19 00:00:00.000,2022-03-24 00:00:00.000,2022-06-28 00:00:00.000,New CoNtact List (25/29/23 4:17 PM),UR5_cYdNGsrFUemlDbD1
27,27,False,2023-01-15 00:00:00.000,2022-03-06 00:00:00.000,2021-08-31 00:00:00.000,New Contact List (8/73/20 3:17 PM)1,UR_cYdNgsrFuemlDbD0
28,28,False,2023-05-09 00:00:00.000,2022-03-11 00:00:00.000,2021-01-04 00:00:00.000,New ContaCt List (2/24/23 4:17 PM)3,UR_CYdNGsrFUemLDbD
29,29,False,2022-08-25 00:00:00.000,2021-12-21 00:00:00.000,2021-06-13 00:00:00.000,New Contact7 List (2/24/23 1:17 PM)3,Ur_CYDNGsrFUemlDbD1
30,30,False,2023-05-07 00:00:00.000,2021-03-30 00:00:00.000,2021-01-18 00:00:00.000,Test2608202,UR_cYDNGsrfUEmlDbD
31,31,False,2023-02-22 00:00:00.000,2022-11-18 00:00:00.000,2021-06-22 00:00:00.000,tesT_0819,UR9_cydNGsrFUemlDbD
32,32,False,2023-02-27 00:00:00.000,2022-02-02 00:00:00.000,2020-06-21 00:00:00.000,TeSt060890,UR_cYdNgsrfUemlDbD0
33,33,False,2023-03-11 00:00:00.000,2020-07-19 00:00:00.000,2021-08-13 00:00:00.000,test3_08104,UR2_cYdNGsrFUemlDbD
34,34,False,2023-02-25 00:00:00.000,2021-08-08 00:00:00.000,2022-03-06 00:00:00.000,TestMailinglIst28,UR35_cYdNGsrFUemlDbd
35,35,False,2022-10-02 00:00:00.000,2021-04-17 00:00:00.000,2021-01-12 00:00:00.000,New Contact List (22/24/20 4:27 PM)7,Ur_cYdNGsrFUemldbD2
