school_name,q117_in_planning_my_last_1,q69_the_principal_assistant_1,q75_the_performance_of_the_1,q154_how_many_adults_at_this,q106_in_planning_my_last,q100_in_planning_my_last_1,q10_i_am_able_to_empower_1,q4_how_many_teachers_at_this,q36_the_principal_school,q80_in_planning_my_last_1,q128_in_planning_my_last,q169_it_s_a_priority_at_this_1,q88_in_planning_my_last,q125_in_planning_my_last_1,q47_at_this_school_once_we,q46_at_this_school_the_1,q81_in_planning_my_last_1,q29_i_would_recommend_this_1,q8_i_am_able_to_ensure_1,q52_at_this_school_teachers_1,q49_at_this_school_teachers,q134_in_planning_my_last_1,q142_how_many_students_in_1,q46_at_this_school_the,q135_how_many_students_in_1,q8_i_am_able_to_ensure,q121_in_planning_my_last_1,q130_in_planning_my_last_1,q136_how_many_students_in_1,q57_overall_my_professional_1,q131_in_planning_my_last_1,q135_how_many_students_in,q111_in_planning_my_last,q108_in_planning_my_last,q30_i_feel_respected_by_the_1,q123_in_planning_my_last_1,q106_in_planning_my_last_1,q43_at_this_school_there_1,q115_in_planning_my_last,q70_the_principal_school_1,q48_at_this_school_it_is,q31_the_principal_school_1,q87_in_planning_my_last_1,q127_in_planning_my_last_1,q48_at_this_school_it_is_1,q34_at_this_school_it_s_ok,q43_at_this_school_there,q17_central_doe_employees,q165_my_students_are_safe_1,q100_in_planning_my_last,q125_in_planning_my_last,q7_i_am_able_to_modify,q165_my_students_are_safe,q90_in_planning_my_last,q61_the_principal_school_1,q117_in_planning_my_last,q38_the_principal_and,q101_in_planning_my_last,q1_how_many_teachers_at_this,q126_in_planning_my_last,q130_in_planning_my_last,q57_overall_my_professional,q145_how_many_students_in_1,q61_the_principal_school,q14_i_am_able_to_monitor,q103_in_planning_my_last_1,q45_at_this_school_students_1,q44_this_school_has_well_1,q85_in_planning_my_last_1,q129_in_planning_my_last,q169_it_s_a_priority_at_this,q38_the_principal_and_1,q173_adults_at_this_school,q15_i_am_able_to_distinguish,q112_in_planning_my_last_1,q86_in_planning_my_last,q131_in_planning_my_last,q79_in_planning_my_last,q114_in_planning_my_last,q91_in_planning_my_last,q60_overall_my_professional,q122_in_planning_my_last,q143_how_many_students_in,q101_in_planning_my_last_1,q72_how_much_influence_do_1,q147_how_many_students_in_1,q2_how_many_teachers_at_this_1,q40_i_feel_respected_by_1,q140_discipline_is_applied,q146_how_many_students_in,q150_how_many_adults_at_this,q110_in_planning_my_last_1,q171_adults_at_this_school_1,q33_i_trust_the_principal_1,q105_in_planning_my_last,q132_in_planning_my_last_1,total_teacher_response_rate,q56_at_this_school_school_1,q86_in_planning_my_last_1,q23_teachers_in_this_school,q34_at_this_school_it_s_ok_1,q63_the_principal_school_1,q21_i_usually_look_forward,q62_the_principal_school,q12_i_am_able_to_apply_my,q23_teachers_in_this_school_1,q154_how_many_adults_at_this_1,q114_in_planning_my_last_1,q14_i_am_able_to_monitor_1,q27_i_feel_respected_by_other_1,q40_i_feel_respected_by,q175_adults_at_this_school_1,q11_i_am_able_to_design_1,q78_in_planning_my_last_1,q110_in_planning_my_last,q167_my_students_are_safe_1,q45_at_this_school_students,q88_in_planning_my_last_1,q3_how_many_teachers_at_this,q11_i_am_able_to_design,q65_the_principal_assistant,q129_in_planning_my_last_1,q32_the_principal_school_1,q104_in_planning_my_last_1
University Neighborhood Middle School,0.33,0.14,0.42,0.66,1.0,,0.04,1.0,1.0,0.0,1.0,0.09,1.0,0.0,0.89,0.07,0.0,0.07,0.0,0.0,0.97,0.0,0.17,0.93,0.52,1.0,0.0,0.0,0.45,0.0,0.0,0.48,1.0,1.0,0.03,0.17,0.0,0.0,0.83,0.18,0.86,0.0,0.0,,0.14,0.9,1.0,,0.0,,1.0,1.0,0.0,0.89,0.1,0.67,0.97,,0.93,1.0,1.0,1.0,0.03,0.9,0.79,0.0,0.38,0.21,0.0,1.0,0.91,0.03,0.0,1.0,0.08,1.0,1.0,0.0,0.83,1.0,0.97,1.0,0.52,,0.03,0.41,0.21,0.0,0.86,0.71,0.97,0.0,0.0,0.0,1.0,0.0,0.94,0.0,0.0,0.93,0.1,0.0,1.0,0.97,0.96,0.07,0.34,0.17,0.21,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.62,0.0,0.86,1.0,0.86,0.0,0.07,0.0
P.S. 261 Philip Livingston,0.0,0.07,0.5,0.73,,0.0,0.07,0.82,1.0,,0.91,0.0,0.0,0.09,0.79,0.07,0.0,0.07,0.07,0.19,0.96,0.09,0.28,0.93,0.28,0.93,0.0,0.09,0.46,0.24,0.09,0.72,,,0.04,0.0,,0.11,0.0,0.2,0.75,0.07,0.0,0.09,0.25,0.96,0.89,,0.0,0.0,0.91,0.93,1.0,0.0,0.11,0.0,0.79,0.0,0.92,0.87,0.91,0.76,0.23,0.89,0.92,,0.44,0.14,0.0,0.91,1.0,0.21,0.0,0.89,,0.0,0.91,,0.0,0.0,0.84,0.0,0.69,0.0,0.04,0.27,0.21,0.04,0.88,0.62,0.78,,0.0,0.0,,0.09,0.53,0.14,0.0,0.81,0.04,0.04,0.96,0.89,0.93,0.19,0.27,0.0,0.08,0.07,0.96,0.0,0.12,,,0.0,0.56,0.0,0.68,0.88,0.78,0.09,0.04,
I.S. 339,0.11,0.02,0.19,0.87,1.0,0.0,0.07,0.84,0.95,0.0,1.0,0.0,1.0,0.0,0.98,0.02,0.2,0.07,0.05,0.02,0.98,0.0,0.24,0.98,0.36,0.95,0.0,0.0,0.38,0.07,0.0,0.64,1.0,1.0,0.02,0.0,0.0,0.02,1.0,0.05,0.93,0.0,0.2,0.0,0.07,0.9,0.98,,0.0,1.0,1.0,0.98,0.0,1.0,0.02,0.89,1.0,1.0,0.92,1.0,1.0,0.93,0.24,0.98,0.98,0.0,0.4,0.02,0.3,1.0,1.0,0.0,0.0,0.95,0.0,0.9,1.0,0.0,1.0,1.0,0.95,1.0,0.71,0.0,0.12,0.26,0.16,0.02,0.93,0.59,0.92,0.0,0.0,0.02,1.0,0.0,0.9,0.02,0.1,0.88,0.1,0.02,0.95,0.98,0.95,0.12,0.13,0.0,0.02,0.05,0.98,0.0,0.05,0.0,1.0,0.0,0.6,0.0,0.79,0.95,0.98,0.0,0.02,0.0
English Language Learners And International Support Preparatory Academy (Ellis),,0.0,0.33,0.9,,0.0,0.0,0.95,1.0,0.0,1.0,0.0,,0.0,0.91,0.0,,0.0,0.0,0.0,1.0,0.0,0.1,1.0,0.48,1.0,,0.0,0.33,0.05,0.0,0.52,,,0.0,,,0.0,,0.0,0.95,0.0,,0.0,0.05,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.95,0.05,1.0,0.81,,0.0,0.09,,1.0,0.0,0.0,1.0,0.95,,,1.0,0.0,,,1.0,,0.81,0.0,0.0,0.14,0.0,0.05,1.0,0.65,1.0,,0.0,0.05,,0.0,0.88,0.0,,1.0,0.0,0.0,0.91,0.95,0.95,0.0,0.1,,0.19,0.0,0.95,0.0,0.0,0.0,,0.0,1.0,,1.0,1.0,1.0,0.0,0.0,
J.H.S. 167 Robert F. Wagner,0.2,0.1,0.14,0.78,1.0,0.0,0.02,0.94,1.0,0.0,1.0,0.03,,0.0,0.86,0.07,,0.05,0.02,0.05,1.0,0.0,0.18,0.93,0.34,0.98,0.1,0.0,0.27,0.07,0.0,0.66,1.0,0.86,0.05,0.0,0.0,0.05,0.9,0.1,0.88,0.05,,0.0,0.12,0.93,0.95,,0.0,1.0,1.0,0.98,0.0,,0.02,0.8,0.95,0.67,0.91,1.0,1.0,0.93,0.03,0.98,1.0,0.0,0.6,0.0,,1.0,0.97,0.05,0.0,0.93,0.0,,1.0,0.0,1.0,,0.88,1.0,0.73,0.33,0.17,0.16,0.32,0.05,0.97,0.89,0.92,0.14,0.0,0.02,0.86,0.0,0.52,0.05,,0.93,0.07,0.05,0.95,0.9,0.89,0.07,0.22,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.86,0.0,0.4,,0.76,1.0,0.95,0.0,0.0,0.0
Frederick Douglass Academy Ii Secondary School,0.67,0.44,0.53,0.73,0.71,0.2,0.12,0.81,0.44,0.0,1.0,,,0.17,0.62,0.33,,0.6,0.27,0.16,0.72,0.0,0.42,0.67,0.67,0.73,0.33,0.0,0.58,0.32,0.0,0.33,0.86,0.86,0.42,0.17,0.29,0.17,0.67,0.48,0.72,0.4,,0.0,0.28,0.5,0.83,,0.0,0.8,0.83,0.77,0.0,,0.24,0.33,0.76,0.8,0.76,1.0,1.0,0.68,0.25,0.76,0.72,0.14,0.28,0.28,,1.0,,0.24,0.94,0.72,0.14,,1.0,0.0,0.5,,0.68,0.67,0.5,0.2,0.36,0.54,0.35,0.24,0.75,0.42,0.87,0.29,0.05,0.48,0.86,0.0,0.87,0.08,,0.72,0.5,0.4,0.52,0.72,0.62,0.28,0.27,0.5,0.28,0.08,0.76,0.17,0.31,0.0,0.71,0.0,0.72,,0.77,0.69,0.68,0.0,0.6,0.14
East Side Middle School,,0.08,0.33,0.93,1.0,0.0,0.14,1.0,1.0,0.0,,0.0,0.88,,0.78,0.0,0.0,0.04,0.07,0.04,1.0,,0.12,1.0,0.22,0.93,,,0.11,0.38,,0.78,0.9,0.9,0.0,,0.0,0.0,,0.15,0.93,0.0,0.0,,0.07,1.0,1.0,,0.0,1.0,,1.0,0.0,1.0,0.04,,0.96,1.0,0.93,,,0.62,0.0,0.96,1.0,0.0,0.37,0.04,0.12,,1.0,0.04,0.0,0.92,0.0,0.88,,0.0,,0.88,0.87,,0.96,0.0,0.0,0.0,0.07,0.07,0.88,0.96,0.96,0.1,0.0,0.0,0.9,,1.0,0.07,0.12,1.0,0.0,0.0,0.93,0.92,0.86,0.0,0.07,,0.0,0.0,0.93,0.0,0.0,0.0,0.9,0.0,0.63,0.12,0.86,1.0,0.92,,0.0,0.0
P.S. 030 Wilton,,0.3,0.61,0.75,,,0.04,0.64,0.68,,0.88,0.08,,0.06,0.67,0.3,,0.41,0.0,0.05,0.86,0.11,0.25,0.7,0.2,1.0,,0.11,0.35,0.21,0.06,0.8,,,0.26,,,0.24,,0.35,0.71,0.27,,0.06,0.29,0.64,0.76,,0.36,,0.94,1.0,0.64,,0.24,,0.6,,0.77,0.94,0.89,0.79,0.15,0.76,1.0,,0.57,0.25,,0.94,0.92,0.4,0.0,1.0,,,0.94,,,,0.84,,0.8,,0.38,0.15,0.52,0.3,0.78,0.78,0.79,,0.0,0.32,,0.11,0.51,0.14,,0.59,0.36,0.35,0.78,0.7,1.0,0.41,0.25,,0.0,0.26,0.7,0.0,0.0,,,0.07,0.43,,0.64,1.0,0.75,0.06,0.32,
School For Global Leaders,,0.2,0.38,0.77,1.0,0.0,0.13,0.87,0.73,0.0,,0.0,0.0,,0.8,0.2,0.0,0.33,0.08,0.07,1.0,,0.36,0.8,0.57,0.92,,,0.5,0.2,,0.43,1.0,1.0,0.2,,0.0,0.33,,0.13,0.73,0.27,0.0,,0.27,0.8,0.67,,0.0,0.0,,0.73,0.0,0.0,0.13,,0.87,0.0,0.79,,,0.8,0.21,0.87,0.86,0.0,0.6,0.13,0.0,,1.0,0.13,0.0,0.87,0.0,0.0,,0.0,,0.0,0.6,,0.57,0.0,0.33,0.43,0.27,0.27,0.77,0.69,0.86,0.2,0.0,0.13,1.0,,0.63,0.07,0.0,0.73,0.2,0.2,0.73,0.8,0.86,0.27,0.23,,0.14,0.13,0.73,0.0,0.21,0.0,0.8,0.0,0.4,0.0,0.73,0.79,0.73,,0.2,0.0
P.S. 146 Edward Collins,,0.19,0.27,0.85,,,0.1,0.86,0.77,,1.0,0.0,,0.13,0.76,0.24,,0.36,0.05,0.0,0.81,0.0,0.1,0.76,0.48,0.95,,0.0,0.48,0.14,0.07,0.52,,,0.18,,,0.1,,0.24,0.81,0.36,,0.0,0.19,0.73,0.9,,0.27,,0.87,0.95,0.73,,0.14,,0.82,,0.81,0.93,1.0,0.86,0.1,0.86,1.0,,0.19,0.19,,0.93,1.0,0.18,,0.91,,,0.93,,,,0.95,,0.76,,0.19,0.33,0.18,0.05,0.94,0.56,0.89,,,0.36,,0.07,0.73,0.0,,0.68,0.27,0.19,0.82,0.86,0.91,0.32,0.15,,0.0,0.14,0.95,0.0,0.05,,,0.0,0.81,,0.73,0.95,0.81,0.07,0.32,
