facility_name,retail_number_of_open_or,last_modified_date,other_number_of_pcs,total_indoor_and_outdoor,release_date,retail_number_of_walk_in,medical_office_number_of,supermarkets_grocery_number_1,other_workers_on_main_shift,current_direct_ghg_emissions,parking_enclosed_floor_area,latitude,multifamily_home_total_number,difference_from_national,office_gross_floor_area_sq,county,parking_gross_floor_area,longitude,current_indirect_ghg_emissions,office_office_air_conditioned,bin,fuel_oil_2_use_kbtu,k_12_school_high_school_y,council_district,diesel_2_use_kbtu,total_floor_space_sq_ft,bank_financial_institution_1,retail_percent_cooled,bank_financial_institution,current_total_site_energy,community_board,electricity_use_kbtu,retail_pc_density,weather_normalized_site_eui,retail_open_closed_refrig,rating
Vantage- 548 West 164th Street,,2011-03-25T00:00:00.000,,,2011-07-28T10:54:21.000,,,,,452.96,,40.837948,180.0,,,NEW YORK,,-73.940576,71.58,,1062936.0,,,7.0,,56634.0,,,,6919468.1,112.0,762442.0,,122.2,,0.0
Samson - 650 victory,,2011-03-22T00:00:00.000,,,2011-07-28T10:53:52.000,,,,,451.66,7500.0,40.626779,92.0,,,RICHMOND,7500.0,-74.091431,111.26,,5015140.0,,,49.0,,60414.0,,,,6886847.5,501.0,1185088.42,,114.0,,0.0
DE 2480 - 165 charles,0.0,2011-05-02T00:00:00.000,,,2011-07-28T10:52:35.000,0.0,,,,199.57,,40.733949,58.0,,,NEW YORK,,-74.009461,77.97,,1087065.0,,,3.0,,92407.0,,100.0,,4581738.4,102.0,830419.05,0.2,53.1,0.0,0.0
Vantage-132-70 Sanford Ave,,2011-03-25T00:00:00.000,,,2011-07-28T10:54:22.000,,,,,509.41,,40.755485,247.0,,,QUEENS,,-73.831279,91.05,,4115061.0,,,20.0,,67652.0,,,,7400643.2,407.0,969789.68,,108.9,,0.0
Jerome Avenue,,2011-01-12T00:00:00.000,,,2011-03-31T10:18:26.000,,,,,537.28,,40.830182,,,,BRONX,,-73.928481,28.17,,2003035.0,,,8.0,,114941.0,,,,7606949.3,204.0,299991.25,,66.2,,0.0
Vantage- 80 Fort Washington Ave,0.0,2011-03-25T00:00:00.000,,,2011-07-28T10:54:21.000,0.0,,,,504.3,,40.837989,192.0,,,NEW YORK,,-73.943923,115.0,,1063357.0,,,7.0,,68838.0,,100.0,,7591240.1,112.0,1224903.16,0.2,110.3,0.0,0.0
Lightstone - 98th St Beach Channel Drive,,2011-04-05T00:00:00.000,,,2011-07-28T10:52:59.000,,,,,2006.49,49725.0,,647.0,,1032.0,QUEENS,49725.0,,983.98,100.0,,,,,,424278.0,,,,48196295.6,,10480376.25,,118.3,,0.0
Michael Chad - 840 E 8th St,,2011-07-26T00:00:00.000,,,2011-07-28T10:53:00.000,,,,,807.35,,40.6289,202.0,,900.0,KINGS,,-73.968877,342.28,100.0,3170490.0,,,45.0,,180000.0,,,,15662071.4,314.0,3645680.18,,86.0,,0.0
DE 1674 - 444 central park west,,2011-05-04T00:00:00.000,,,2011-07-28T10:52:28.000,,4.0,,,945.96,,40.797011,249.0,,,NEW YORK,,-73.960791,213.59,,1055495.0,,,7.0,,201723.0,,,,14216833.1,107.0,2274974.11,,70.2,,0.0
Gold - 669 White Plains Rd,,2011-04-21T00:00:00.000,,,2011-07-28T10:52:56.000,,,,,150.61,8635.0,40.819107,72.0,,334.0,BRONX,8635.0,-73.857597,167.48,100.0,2116665.0,,,18.0,,50938.0,,,,4614889.1,209.0,1783889.14,,95.0,,0.0
WALLACK 40 W 116th St,0.0,2011-03-24T00:00:00.000,,,2011-07-28T10:54:26.000,0.0,,,,132.15,35632.0,40.801283,495.0,,,NEW YORK,35632.0,-73.947945,1013.16,,1087782.0,,,9.0,,328348.0,,100.0,,13275242.8,110.0,10791165.42,0.2,40.2,0.0,0.0
Chestnut-1200 College Ave,,2011-03-25T00:00:00.000,,,2011-07-28T10:52:13.000,,,,,543.16,,40.832908,92.0,,,BRONX,,-73.913287,81.16,,2002289.0,,,16.0,,82600.0,,,,7721293.0,204.0,864420.29,,93.0,,0.0
Stellar 119-21 West 23rd Street,,2011-04-08T00:00:00.000,,,2011-07-28T10:53:57.000,,,,,280.62,,40.743248,,-45.7,53500.0,NEW YORK,,-73.993591,84.62,100.0,1014952.0,,,3.0,,53500.0,,,,4715682.6,104.0,901277.82,,88.1,,90.0
United - 200 Corbin Pl,,2011-05-25T00:00:00.000,,,2011-07-28T10:54:15.000,,4.0,,,463.57,9000.0,40.577241,142.0,,,KINGS,9000.0,-73.953962,189.93,,3245729.0,,,48.0,,123000.0,,,,10736681.6,313.0,2022981.62,,91.1,,0.0
ABRO 485 WEST 187TH STREET,,2011-04-07T00:00:00.000,,,2011-07-28T10:52:05.000,,,,,147.11,,40.851764,55.0,,,NEW YORK,,-73.92788,63.49,,1063590.0,,,10.0,,48000.0,,,,3441367.3,112.0,676206.01,,69.5,,0.0
ABRO 445 EAST 77TH STREET,0.0,2011-04-07T00:00:00.000,,,2011-07-28T10:52:05.000,0.0,,,,363.7,5500.0,40.77059,107.0,,1000.0,NEW YORK,5500.0,-73.952597,170.47,100.0,1045990.0,,,5.0,,104500.0,,100.0,,6406972.7,108.0,1815665.64,0.2,61.3,0.0,0.0
United - 1015 Washington Ave,,2011-05-25T00:00:00.000,,,2011-07-28T10:54:13.000,,,,,419.96,3850.0,40.664528,108.0,,,KINGS,3850.0,-73.96119,125.89,,3029730.0,,,35.0,,77150.0,,,,9234773.0,309.0,1340869.77,,125.6,,0.0
DE 2610 - 50 east 72nd,,2011-05-04T00:00:00.000,,,2011-07-28T10:52:37.000,,14.0,,,421.83,,40.771531,114.0,,,NEW YORK,,-73.964861,117.88,,1041379.0,,,4.0,,95707.0,,,,6989409.3,108.0,1255527.95,,72.8,,0.0
Wallack 188 east 78th street,0.0,2011-04-07T00:00:00.000,,,2011-07-28T10:54:26.000,0.0,,,,177.21,21581.0,40.773785,226.0,,,NEW YORK,21581.0,-73.958245,657.88,,1082192.0,,,4.0,,208514.0,,100.0,,10338140.6,108.0,7007153.52,0.2,49.9,0.0,0.0
Churchill - 301 E 29th St,,2011-04-05T00:00:00.000,,,2011-07-28T10:52:16.000,,,,,119.26,,40.741586,,47.7,,NEW YORK,,-73.978012,386.04,,1081677.0,,0.0,2.0,,71000.0,,,,6353526.8,106.0,4111746.17,,93.0,,12.0
Gold - 110 West End Ave,0.0,2011-05-12T00:00:00.000,,,2011-07-28T10:52:51.000,0.0,,,,,1000.0,40.775106,369.0,,200.0,NEW YORK,1000.0,-73.98789,1454.01,100.0,1030339.0,,,6.0,,402200.0,,100.0,,17395266.8,107.0,5399148.8,0.2,44.7,0.0,0.0
United - 105 Winthrop St,,2011-05-25T00:00:00.000,,,2011-07-28T10:54:13.000,,,,,321.64,,40.656693,79.0,,,KINGS,,-73.95692,80.91,,3115677.0,,,40.0,,59000.0,,,,6907569.5,309.0,861769.5,,124.0,,0.0
Pinnacle - 240 east 18th,,2011-03-28T00:00:00.000,,,2011-07-28T10:53:14.000,,,,,271.41,,40.645474,64.0,,,KINGS,,-73.962333,67.91,,3117583.0,,,40.0,,61734.0,,,,5824971.8,314.0,723271.8,,99.0,,0.0
Stonehenge 108 West 15th Street,0.0,2011-05-05T00:00:00.000,,,2011-07-28T10:54:07.000,0.0,,,,324.48,,40.738275,38.0,,,NEW YORK,,-73.996907,106.56,,1014525.0,,,3.0,,55233.0,,100.0,,5231232.8,104.0,1134952.27,0.2,94.7,0.0,0.0
Gold - 6477 Broadway,,2011-05-11T00:00:00.000,,,2011-07-28T10:52:55.000,,,,,130.8,5500.0,40.904306,65.0,,233.0,BRONX,5500.0,-73.896415,136.6,100.0,2084825.0,,,11.0,,48664.0,,,,3913612.8,208.0,1454915.98,,83.6,,0.0
Pinnacle - 877 bay ridge ave,,2011-03-28T00:00:00.000,,,2011-07-28T10:53:27.000,,,,,202.96,,40.629392,15.0,,,KINGS,,-74.013294,82.29,,3143013.0,,,43.0,,54600.0,,,,4691468.7,310.0,876452.55,,89.7,,0.0
Pinnacle - 111 worth,0.0,2011-03-23T00:00:00.000,,,2011-07-28T10:53:05.000,0.0,,,,1301.38,54918.0,40.715828,352.0,,,NEW YORK,54918.0,-74.003539,977.71,,1086161.0,,,1.0,,248919.0,,100.0,,34875576.4,101.0,10413615.07,0.2,145.6,0.0,0.0
Pinnacle - 85-50 forest,,2011-03-29T00:00:00.000,,,2011-07-28T10:53:25.000,,,,,359.78,,40.694158,112.0,,,QUEENS,,-73.861654,109.47,,4181355.0,,,30.0,,85000.0,,,,7928675.2,409.0,1165962.29,,98.5,,0.0
DE 2970 - 515 park ave,,2011-03-29T00:00:00.000,,,2011-07-28T10:52:40.000,,,,,,,40.763394,134.0,,,NEW YORK,,-73.969439,1154.31,,1041908.0,,,4.0,,163000.0,,,,13233484.9,108.0,7332498.06,,82.3,,0.0
DE 1016 - 1 lexington ave,,2011-05-03T00:00:00.000,,,2011-07-28T10:52:19.000,,,,,369.92,,40.738307,41.0,,,NEW YORK,,-73.985598,48.71,,1017991.0,,,2.0,,92400.0,,,,5188691.5,106.0,518797.02,,56.2,,0.0
