site_name,address_2,fixed_address,state_senate_district,provider_id,state,bp_population
"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC_Brooklyn",1st floor,True,18.0,218,NY,
Bottomless Closet,,True,20.0,473,NY,
NYCHA Red Hook Houses,,False,,1141,,
Allied Veterans Memorial Committee of Ridgewood and Glendale,,True,15.0,317,NY,
Duncan Center,,True,31.0,607,NY,
The Legal Aid Society RI,,True,26.0,30,NY,
Bronx High School for the Visual Arts,,True,34.0,533,NY,
Stapleton,,True,23.0,588,NY,
Queens Criminal Court,,True,14.0,157,NY,
Brownsville Houses Basketball League,,False,,607,,
Workforce1 Industrial & Transportation Center - Brooklyn,"Brooklyn Army Terminal, Building B Lobby",True,23.0,629,NY,
Maximus YP_Assess-Manhattan / Maximus YP_Engage-Manhattan,,True,30.0,771,NY,
14 Street Y,,True,27.0,311,NY,
Brooklyn Family Justice Center,,True,25.0,21,NY,
George Westinghouse Career and Technical Education HS,,True,25.0,1994,NY,
Brooklyn office,,True,21.0,60,NY,
East New York,,False,,2618,,
Adelaide L. Sanford Instute,400,True,25.0,2722,NY,
Agudath Israel of America Community Services,,True,17.0,574,NY,
Rapid Rehousing Bronx Works,,True,29.0,40,NY,
Baychester Middle School,,True,36.0,587,NY,
Non-Residential Domestic Violence Services,10th FLoor,True,26.0,17,NY,"[""immigrants"",""families""]"
BKA-HQ,,True,18.0,72,NY,
Rikers Island,,False,,885,,
Bronx Family Justice Center,,True,32.0,64,NY,
JASA APS Bronx,,False,,82,,"[""seniors""]"
Antonia Diaz Shakespeare Senior Housing,,True,29.0,220,NY,
LSNYC-MN-1,,True,30.0,446,NY,
A Phillip  Randolph,,True,30.0,811,NY,
Manhattan court,"RM 209B, 1330, & 1535B",True,26.0,9,NY,
Brownsville,,False,,2797,,
Brooklyn Family Justice Center,,True,25.0,64,NY,
Academy for Language and Technology,,True,29.0,40,NY,
Young Women's Initiative/GRL,,False,,684,,"[""youth (10+)"",""students""]"
BOOM HEALTH,,True,32.0,339,NY,
Workforce1 Industrial & Transportation Center - Staten Island,,True,23.0,629,NY,
Wagner Houses,,False,,607,,
