house_number,project_id,neighborhood_tabulation_area,latitude_internal,council_district,bbl,low_income_units,project_completion_date
6,71989,BK0402,40.692996,34.0,3032630010.0,2.0,
321,76748,BK0301,40.688655,36.0,3019500001.0,,
2040,76333,BX0904,40.835099,18.0,2039320163.0,,
1471,77059,MN0902,40.817207,7.0,1019700064.0,,
3825,76775,BX1201,40.885352,12.0,2046530089.0,3.0,
760,73332,BK0505,,42.0,3042719001.0,257.0,
1485,74483,BX0302,40.836483,16.0,2029270050.0,13.0,2024-06-28T00:00:00.000
44-14,76735,QN1103,40.765994,19.0,4080920025.0,,
3438,75173,BX1202,40.877198,12.0,2047130001.0,11.0,
971,74487,MN0703,40.801393,7.0,1018620063.0,1.0,
3439,75173,BX1202,40.876848,12.0,2047120001.0,12.0,
134,75075,BK1402,40.630161,40.0,3054230014.0,4.0,
210,67209,MN1102,40.802509,8.0,1017880043.0,7.0,
150,76778,BK0202,40.691624,33.0,3001510037.0,20.0,
3488,75173,BX1202,40.877198,12.0,2047130001.0,12.0,
4919,74772,BK0702,40.646413,38.0,3007830080.0,10.0,
406,77045,BX0102,40.81858,17.0,2023740076.0,,
975,77026,BK0901,40.664636,35.0,3013090006.0,,
675,73332,BK0505,40.67288,42.0,3042710005.0,279.0,
2773,76433,BX0801,40.870595,14.0,2032490032.0,,
2769,76413,BX0702,40.869959,14.0,2033180139.0,,
2185,74296,MN1002,40.811637,9.0,1019147503.0,2.0,
28-08,76278,QN0105,40.754651,26.0,4003850009.0,,
----,75626,,,28.0,,,2024-12-21T00:00:00.000
*180,76710,BK0502,40.673356,37.0,3037030034.0,,
3455,75173,BX1202,40.877679,12.0,2047210017.0,9.0,
29,75421,SI0107,40.639104,49.0,5012720011.0,,
3485,75173,BX1202,40.877679,12.0,2047210017.0,6.0,
1703,75994,BK0901,40.668141,35.0,3013960074.0,2.0,2025-04-08T00:00:00.000
1450,76097,BX0403,40.838,16.0,2028870100.0,35.0,
1339,76304,BX0403,40.836789,16.0,2028160053.0,,
173,77114,BX0702,,11.0,,,
----,76544,,,18.0,,1.0,2025-02-13T00:00:00.000
342,77104,BK0401,40.703471,34.0,3031650022.0,,
3454,75173,BX1202,40.877679,12.0,2047210017.0,11.0,
----,76457,,,44.0,,1.0,2025-01-21T00:00:00.000
372,76258,BX0701,40.863432,15.0,2032760031.0,,2025-04-23T00:00:00.000
142,75499,MN1002,40.817407,9.0,1020070059.0,11.0,2025-02-19T00:00:00.000
1363,73474,BX0301,40.83331,16.0,2029310073.0,2.0,
219,75729,BK0702,40.648918,38.0,3007810074.0,3.0,
