propid,obj_gisobjid,end_time,ncpw,start_time,off_route,njtp
,,2023-04-20T12:30:00.000,0,2023-04-20T12:00:00.000,,1
Q346,100000009.0,2023-04-10T08:19:00.000,1,2023-04-10T08:05:00.000,No,0
XZ346,100007237.0,2023-04-18T10:00:00.000,1,2023-04-18T07:45:00.000,No,1
M035,100003792.0,2023-04-17T08:41:00.000,0,2023-04-17T08:33:00.000,No,0
X034-XZ442,100006713.0,2023-04-17T15:00:00.000,1,2023-04-17T13:05:00.000,No,1
X286,100004860.0,2023-04-19T11:50:00.000,0,2023-04-19T11:45:00.000,No,1
B146,100004073.0,2023-04-22T11:20:00.000,1,2023-04-22T10:46:00.000,No,1
,,2023-04-16T12:30:00.000,0,2023-04-16T12:00:00.000,,2
X148K3,100005142.0,2023-04-13T14:20:00.000,1,2023-04-13T12:50:00.000,No,1
B326,100003840.0,2023-04-18T11:35:00.000,0,2023-04-18T10:45:00.000,No,2
M056-ZN05,100005480.0,2023-04-21T18:56:00.000,2,2023-04-21T18:06:00.000,No,0
B265,100004508.0,2023-04-19T09:35:00.000,0,2023-04-19T09:05:00.000,No,1
M037-01,100005741.0,2023-04-21T08:00:00.000,1,2023-04-21T07:00:00.000,No,3
Q055,100000462.0,2023-04-18T16:00:00.000,3,2023-04-18T07:30:00.000,No,0
B126-ZN01,100005330.0,2023-04-21T15:30:00.000,0,2023-04-21T07:00:00.000,No,1
Q471,100000265.0,2023-04-19T13:25:00.000,0,2023-04-19T13:14:00.000,Yes,0
Q402,100000182.0,2023-04-20T13:20:00.000,0,2023-04-20T13:18:00.000,No,1
X155,100004797.0,2023-04-16T10:31:00.000,0,2023-04-16T10:25:00.000,Yes,1
B099,100004576.0,2023-04-16T10:32:00.000,1,2023-04-16T10:25:00.000,No,0
Q104-01,100000668.0,2023-04-16T19:30:00.000,1,2023-04-16T08:00:00.000,No,1
X008-ZN03,100005290.0,2023-04-16T16:30:00.000,3,2023-04-16T12:00:00.000,No,0
B087,100003843.0,2023-04-16T15:10:00.000,0,2023-04-16T14:50:00.000,No,0
Q100A,100000158.0,2023-04-18T13:40:00.000,0,2023-04-18T13:25:00.000,No,0
R027A,100004663.0,2023-04-18T10:30:00.000,0,2023-04-18T10:15:00.000,No,0
M105-08,100005730.0,2023-04-13T15:00:00.000,0,2023-04-13T07:30:00.000,No,3
X010-ZN07,100005286.0,2023-04-13T15:00:00.000,0,2023-04-13T07:30:00.000,No,1
,,2023-04-19T07:30:00.000,0,2023-04-19T07:00:00.000,,2
B329,100004240.0,2023-04-17T16:30:00.000,1,2023-04-17T08:00:00.000,No,0
X010-ZN02,100005287.0,2023-04-22T15:00:00.000,1,2023-04-22T12:32:00.000,No,1
X061,100004564.0,2023-04-17T12:00:00.000,1,2023-04-17T11:10:00.000,No,0
Q301,100000218.0,2023-11-06T09:38:00.000,1,2023-11-06T09:23:00.000,No,0
Q066C,100000324.0,2023-04-18T15:00:00.000,0,2023-04-18T12:35:00.000,No,2
Q333,100000453.0,2023-04-22T09:34:00.000,0,2023-04-22T09:30:00.000,Yes,0
X035,100004031.0,2023-04-17T13:20:00.000,1,2023-04-17T13:05:00.000,Yes,2
M193,100004131.0,2023-04-16T08:25:00.000,0,2023-04-16T08:20:00.000,No,1
X045-ZN02,100005277.0,2023-04-14T15:00:00.000,0,2023-04-14T07:30:00.000,No,2
B255H,100004548.0,2023-04-17T15:30:00.000,0,2023-04-17T07:00:00.000,No,1
B264,100004857.0,2023-04-21T13:18:00.000,0,2023-04-21T13:15:00.000,Yes,1
B126-ZN03,100005333.0,2023-04-18T18:00:00.000,0,2023-04-18T07:00:00.000,No,1
Q306,100000136.0,2023-04-15T16:00:00.000,0,2023-04-15T07:30:00.000,No,1
B159,100004388.0,2023-04-16T07:53:00.000,0,2023-04-16T07:46:00.000,No,1
X092-ZN12,100005305.0,2023-04-19T12:00:00.000,0,2023-04-19T09:30:00.000,No,3
M200,100004048.0,2023-04-19T11:50:00.000,0,2023-04-19T10:15:00.000,No,2
X150J,100004910.0,2023-04-20T13:00:00.000,0,2023-04-20T12:40:00.000,Yes,0
,,2023-04-18T15:05:00.000,0,2023-04-18T14:42:00.000,,4
Q015-ZN09,100000563.0,2023-04-19T10:00:00.000,1,2023-04-19T09:35:00.000,Yes,2
M012,100003890.0,2023-04-19T15:13:00.000,1,2023-04-19T07:16:00.000,No,1
B223NC,100004189.0,2023-04-13T10:56:00.000,0,2023-04-13T10:47:00.000,No,2
R160,100003742.0,2023-04-18T10:18:00.000,1,2023-04-18T09:58:00.000,No,2
B329-01,100005669.0,2023-04-14T16:30:00.000,0,2023-04-14T08:00:00.000,No,1
,,2023-04-22T10:10:00.000,0,2023-04-22T07:35:00.000,,0
B357,100004072.0,2023-04-19T08:29:00.000,0,2023-04-19T08:25:00.000,No,1
,,2023-04-16T12:01:00.000,4,2023-04-16T11:30:00.000,,0
B166B,100004475.0,2023-04-20T13:01:00.000,0,2023-04-20T12:38:00.000,No,3
,,2023-04-19T06:06:00.000,1,2023-04-19T06:00:00.000,,0
,,2023-04-17T12:15:00.000,0,2023-04-17T12:08:00.000,,2
R142,100004381.0,2023-04-17T14:37:00.000,1,2023-04-17T14:30:00.000,No,1
MZ210,100006341.0,2023-04-16T11:19:00.000,1,2023-04-16T07:10:00.000,No,1
,,2023-04-21T12:46:00.000,1,2023-04-21T12:35:00.000,,0
Q096A,100000155.0,2023-04-20T14:16:00.000,0,2023-04-20T12:58:00.000,No,5
,,2023-04-20T17:50:00.000,2,2023-04-20T17:28:00.000,,0
Q121-02,100000627.0,2023-04-18T08:27:00.000,1,2023-04-18T08:24:00.000,No,2
Q048-01,100000669.0,2023-04-18T18:30:00.000,1,2023-04-18T08:00:00.000,No,1
B210A,100004288.0,2023-04-21T18:22:00.000,0,2023-04-21T18:18:00.000,Yes,0
X295,100004976.0,2023-04-17T14:10:00.000,1,2023-04-17T13:20:00.000,No,0
,,2023-04-12T12:30:00.000,2,2023-04-12T12:00:00.000,,3
Q021-ZN02,100000526.0,2023-04-19T08:10:00.000,0,2023-04-19T07:31:00.000,No,1
B057-ZN04,100005369.0,2023-04-14T15:00:00.000,1,2023-04-14T13:45:00.000,No,0
X010-01,100005791.0,2023-04-15T15:00:00.000,0,2023-04-15T07:30:00.000,No,2
B211,100004477.0,2023-04-17T11:10:00.000,2,2023-04-17T10:55:00.000,No,0
R167,100008339.0,2023-04-17T11:08:00.000,1,2023-04-17T10:59:00.000,No,1
QZ408,100000982.0,2023-04-19T10:21:00.000,1,2023-04-19T10:19:00.000,No,1
X039-ZN12,100005534.0,2023-04-17T13:15:00.000,1,2023-04-17T12:35:00.000,No,1
B296,100004579.0,2023-04-14T09:57:00.000,0,2023-04-14T09:55:00.000,No,1
,,2023-04-21T08:10:00.000,0,2023-04-21T08:00:00.000,,0
X104-01,100005819.0,2023-04-17T15:30:00.000,2,2023-04-17T12:00:00.000,No,0
B271,100004239.0,2023-04-14T16:30:00.000,0,2023-04-14T08:00:00.000,No,1
X286,100004860.0,2023-04-19T11:50:00.000,0,2023-04-19T11:45:00.000,No,1
,,2024-12-31T09:40:00.000,0,2024-12-31T09:05:00.000,,2
M159,100004107.0,2023-04-18T11:06:00.000,0,2023-04-18T10:47:00.000,No,4
Q012-ZN03,100000532.0,2023-04-19T15:30:00.000,1,2023-04-19T07:00:00.000,No,0
B012,100004735.0,2023-04-19T15:30:00.000,2,2023-04-19T07:00:00.000,No,1
M113,100004130.0,2023-04-17T12:06:00.000,1,2023-04-17T11:46:00.000,No,1
,,2023-04-14T07:05:00.000,0,2023-04-14T07:00:00.000,,0
X134,100004923.0,2023-04-20T11:25:00.000,1,2023-04-20T11:05:00.000,Yes,4
,,2023-04-17T11:24:00.000,1,2023-04-17T11:00:00.000,,2
XZ275,100006919.0,2023-04-17T10:20:00.000,1,2023-04-17T09:59:00.000,Yes,3
,,2023-04-15T15:20:00.000,0,2023-04-15T14:46:00.000,,1
X292,100004216.0,2023-04-15T10:30:00.000,1,2023-04-15T09:40:00.000,No,1
,,2023-04-17T12:50:00.000,2,2023-04-17T12:40:00.000,,0
B230,100004068.0,2023-04-22T18:00:00.000,0,2023-04-22T07:00:00.000,No,1
X195A,100005199.0,2023-04-19T10:55:00.000,0,2023-04-19T10:00:00.000,No,1
B215,100004542.0,2023-04-17T13:20:00.000,0,2023-04-17T13:10:00.000,Yes,0
,,2023-04-18T12:30:00.000,0,2023-04-18T12:00:00.000,,2
Q107,100000394.0,2023-04-16T15:30:00.000,0,2023-04-16T07:00:00.000,No,1
X010-ZN10,100005282.0,2023-04-18T15:00:00.000,0,2023-04-18T07:30:00.000,No,0
B124,100004561.0,2023-04-19T08:11:00.000,0,2023-04-19T08:10:00.000,Yes,1
B073-ZN07,100005395.0,2023-04-19T10:15:00.000,0,2023-04-19T10:00:00.000,Yes,1
R150,100005209.0,2023-04-20T14:10:00.000,1,2023-04-20T13:47:00.000,No,2
M060C-01,100008686.0,2023-04-17T11:05:00.000,0,2023-04-17T11:02:00.000,No,1
XZ01,100006702.0,2023-04-11T11:20:00.000,0,2023-04-11T11:00:00.000,No,1
RZ100,100006076.0,2023-04-18T14:52:00.000,0,2023-04-18T07:50:00.000,No,3
BZ287,100006609.0,2023-04-16T14:40:00.000,0,2023-04-16T14:34:00.000,Yes,6
B113B,100004020.0,2023-04-18T08:45:00.000,1,2023-04-18T07:16:00.000,No,3
B308,100004167.0,2023-04-14T15:30:00.000,0,2023-04-14T07:00:00.000,No,1
B223NC,100004189.0,2023-04-18T13:29:00.000,1,2023-04-18T13:15:00.000,No,4
Q106,100000329.0,2023-04-17T12:15:00.000,1,2023-04-17T12:09:00.000,No,2
Q024-ZN05,100000598.0,2023-04-18T11:50:00.000,1,2023-04-18T10:12:00.000,No,1
R046-RZ160,100006389.0,2023-04-18T09:35:00.000,2,2023-04-18T09:10:00.000,No,0
X153-02,100005289.0,2023-04-16T10:30:00.000,1,2023-04-16T09:40:00.000,No,4
B018-ZN06,100008227.0,2023-04-14T16:30:00.000,1,2023-04-14T08:00:00.000,No,1
X010-ZN05,100005281.0,2023-04-17T17:55:00.000,3,2023-04-17T16:40:00.000,Yes,0
X045-ZN02,100005277.0,2023-04-14T15:00:00.000,0,2023-04-14T07:30:00.000,No,2
