comparable_rental_3_estimated_expense,comparable_rental_2_market_value_per_sqft,comparable_rental_3_gross_sqft,staten_island_cooperatives_comparable_properties_neighborhood,comparable_rental_3_full_market_value,comparable_rental_2_estimated_expense,comparable_rental_2_address,comparable_rental_2_distance_from_coop_in_miles
 ,45.05, ,CONCORD-FOX HILLS, ,153340.0,"{'latitude': '40.614736896822', 'longitude': '-74.064919857852', 'human_address': '{""address"": ""59 HYLAN BOULEVARD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",0.8
"67,200",37.8,"10,000",GREAT KILLS-BAY TERRACE,"423,000",55749.0,"{'latitude': '40.564113294809', 'longitude': '-74.127979352561', 'human_address': '{""address"": ""1881 RAILROAD AVENU Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",0.77
"55,749",49.75,"9,100",GREAT KILLS,"344,000",431213.0,"{'latitude': '40.606674000105', 'longitude': '-74.162401000006', 'human_address': '{""address"": ""25 BAY TERRACE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",1.38
 ,58.6, ,WEST NEW BRIGHTON, ,87503.0,"{'latitude': '40.606674000105', 'longitude': '-74.162401000006', 'human_address': '{""address"": ""832 POST AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",1.61
