community_council,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_1_expense_per_sqft,staten_island_cooperatives_comparable_properties_gross_income_per_sqft,staten_island_cooperatives_comparable_properties_expense_per_sqft,staten_island_cooperatives_comparable_properties_gross_sqft,longitude,staten_island_cooperatives_comparable_properties_estimated_gross_income,comparable_rental_3_net_operating_income,comparable_rental_1_gross_sqft
49,0.38,7.64,14.06,7.03,21780,-74.08011,306227, ,21187
50,1.0,6.71,12.21,5.69,63600,-74.091972,776556,"404,186",144000
49,2.06,6.71,10.92,5.89,127800,-74.109884,1395576, ,144000
49,0.54,7.6,11.82,7.28,145446,-74.084801,1719172, ,77000
