death_count,mn_hospitalized_count_7day_avg,si_death_count_7day_avg,qn_all_case_count_7day_avg,mn_case_count_7day_avg,si_case_count,case_count_7day_avg,death_count_7day_avg,qn_death_count,bk_probable_case_count_7day_avg,si_hospitalized_count_7day_avg,bx_death_count_7day_avg,si_death_count,si_probable_case_count,bk_hospitalized_count,bk_death_count_7day_avg,bk_case_count
12,5,1,72,30,30,195,9,1,19,2,1,0,4,14,4,59
34,35,6,1159,442,339,2982,31,9,238,24,5,7,69,78,8,1065
69,51,5,1740,634,355,4764,69,22,332,30,10,10,76,128,21,1400
72,32,4,1251,442,296,3095,53,21,312,20,9,3,80,107,16,1147
5,7,1,201,91,48,574,5,1,50,5,1,1,13,24,3,199
21,6,1,108,50,16,329,22,9,4,1,5,0,0,15,6,115
4,6,0,168,125,74,559,4,1,67,3,1,0,19,21,1,231
3,4,0,94,64,25,364,5,1,12,1,1,0,0,13,1,163
80,53,6,1180,490,321,3285,81,24,254,17,15,7,65,147,25,1505
13,6,1,126,188,21,529,13,4,21,3,2,0,12,9,4,139
14,16,1,492,291,136,1567,11,2,121,10,2,2,33,30,4,543
66,50,5,1305,536,43,3579,84,24,285,18,14,3,22,82,27,342
72,45,5,1777,658,377,4856,66,32,325,29,9,6,93,128,21,1534
11,16,1,458,274,85,1506,12,0,108,9,2,2,15,32,5,276
16,21,1,701,357,126,1833,15,5,121,8,3,1,33,41,4,570
3,18,0,74,87,23,274,1,1,0,3,0,0,0,40,0,163
39,10,2,169,78,43,619,46,16,2,3,10,3,0,34,13,250
79,13,4,233,122,32,846,76,29,5,5,17,6,1,33,23,350
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2,6,0,183,133,63,608,4,1,67,4,1,1,20,13,1,307
3,5,0,66,46,19,258,6,1,6,3,2,0,0,12,2,93
4,5,0,153,77,29,555,5,1,35,2,0,0,4,23,2,251
5,5,0,66,51,13,259,8,1,6,3,2,1,1,12,2,73
11,15,1,407,267,102,1373,15,3,111,6,3,1,18,30,5,504
8,26,1,1183,721,255,3301,10,1,197,11,1,1,50,60,4,1249
6,4,1,228,139,54,704,7,1,73,4,0,0,14,13,2,290
14,28,2,1049,553,191,2891,14,4,156,12,2,6,45,42,4,849
79,54,5,1656,603,379,4511,71,22,334,30,10,7,114,142,24,1461
5,4,0,66,39,7,248,4,2,10,2,1,0,0,5,1,49
3,4,0,147,103,29,475,4,1,60,3,1,0,4,19,1,141
51,15,4,236,120,78,823,79,9,5,5,17,3,0,30,24,336
11,4,0,79,56,13,287,8,3,5,3,2,0,0,12,2,35
86,55,6,1652,673,285,4518,79,28,339,22,11,2,68,99,28,1420
8,14,1,388,265,197,1406,12,0,101,8,2,1,24,26,5,428
2,4,0,78,46,44,237,4,0,19,4,1,0,5,9,1,147
6,24,0,1212,800,188,3557,8,4,202,10,1,1,54,41,3,721
7,21,1,1246,776,337,3565,9,0,198,9,1,2,59,26,3,1205
14,14,1,429,286,182,1503,12,6,119,6,2,1,39,37,5,582
29,13,2,355,115,60,980,33,10,96,7,5,2,15,22,12,220
42,15,5,340,291,67,1209,48,9,39,6,8,6,8,33,17,317
13,20,2,669,366,109,1804,16,4,113,10,2,1,34,38,5,574
42,40,6,1193,451,399,3220,41,7,249,21,6,5,84,115,11,1100
6,6,0,424,246,114,1200,7,1,106,5,1,0,27,21,3,482
4,5,0,159,116,78,523,4,1,66,3,1,0,19,19,1,276
13,7,1,133,48,27,366,14,3,36,3,3,1,10,11,6,115
14,15,1,445,285,91,1520,12,3,119,6,2,1,19,29,5,341
13,33,2,1180,647,243,3270,17,3,193,12,2,2,71,45,6,1086
11,10,1,505,246,111,1356,9,1,116,11,2,1,51,31,3,238
4,7,1,170,117,56,646,9,2,61,3,1,0,14,7,3,230
27,59,1,524,383,258,1935,11,6,1,16,2,4,0,157,3,1204
6,10,1,259,155,47,896,9,1,93,5,1,1,17,20,3,194
323,193,8,1334,532,265,4166,173,109,7,50,34,14,1,395,50,863
8,7,1,350,194,76,1065,13,3,116,4,2,1,26,29,4,407
10,8,1,443,212,128,1152,9,6,109,7,1,0,29,14,4,318
7,20,0,1245,768,318,3549,9,3,193,8,1,0,61,33,3,1402
16,7,1,226,111,92,688,9,3,60,5,1,0,44,29,5,319
159,28,12,422,174,60,1347,199,42,12,14,40,6,2,52,58,403
28,22,5,936,423,328,2689,21,7,201,22,3,7,61,60,5,768
18,40,2,2413,3422,613,10249,17,5,472,14,3,1,70,99,6,3243
17,9,1,327,185,74,1069,11,2,115,4,2,2,20,13,3,487
