neighborhood_tabulation_area,number_of_public_computer,residential_broadband_choice,residential_broadband_choice_1,total_number_of_households,street_furniture_bike_shelters,percentage_of_blocks_with,number_of_nyc_h_h_buildings,estimated_underground_utility,indoor_cabling_for_multiple,poles_reserved_by_mobile,commercial_fiber_max_isp_1,borough_name,linknyc_kiosks,fiber_drops_estimated_relative,utility_pole_make_ready_1,population_density_per_sq,number_of_households,total_accounts,percentage_of_blocks_without_1,estimated_underground_plant,mobile_dependent_households,presence_of_ibzs
QN31,3,1.97,Medium High,30315,1,1,0,Average,Average,49.0,High,Queens,42,Average,Average,18977.93,30315,30928.0,High,0.74,0.06,True
BX08,2,1.79,Low,11877,0,1,0,High,Low,3.0,Medium High,Bronx,0,High,High,65405.56,11877,12473.0,High,0.93,0.11,False
QN37,2,1.87,Medium Low,12905,0,1,0,Average,Average,7.0,Medium High,Queens,0,Average,Average,27601.47,12905,13833.0,High,0.76,0.1,False
QN10,3,1.89,Medium Low,11056,0,1,0,Low,High,3.0,Medium High,Queens,0,Low,Low,7844.26,11056,10971.0,Medium High,0.0,0.08,False
BK77,2,2.28,High,19684,0,1,0,Average,Average,9.0,High,Brooklyn,0,Average,High,63352.81,19684,20440.0,Medium High,0.76,0.15,True
BK68,3,2.0,Medium High,13905,1,1,2,Average,Average,8.0,High,Brooklyn,6,Average,High,54874.58,13905,14642.0,Medium Low,1.0,0.06,False
QN01,4,1.94,Medium High,12335,0,1,0,Average,Average,9.0,Medium High,Queens,0,Average,Average,30621.68,12335,12590.0,Medium Low,0.0,0.12,True
QN02,5,1.95,Medium High,10606,0,1,0,Average,Average,3.0,Medium High,Queens,0,Average,Average,26515.69,10606,11308.0,Low,0.0,0.16,False
BX29,2,1.86,Medium Low,13544,0,1,0,Average,Average,5.0,Medium High,Bronx,0,Average,High,37497.59,13544,14667.0,Medium High,0.42,0.08,False
MN09,6,1.97,Medium High,19599,0,1,1,High,Low,10.0,High,Manhattan,37,High,High,76112.5,19599,20845.0,Low,0.9,0.04,False
