source_relation,date_day,account_name,account_id,currency_code,campaign_name,campaign_id,advertising_channel_type,advertising_channel_subtype,status,spend,clicks,impressions,conversions,conversions_value,view_through_conversions,view_through_conversions_aliased
"",2021-02-04,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,18.4000000000000000,28,139,0,0,0,0
"",2021-02-26,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,10.6500000000000000,3,78,0,0,0,0
"",2021-01-31,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,2.3000000000000000,2,36,0,0,0,0
"",2021-02-05,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,22.5900000000000000,18,113,0,0,0,0
"",2021-02-24,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,0.000000000000000000000000,0,39,0,0,0,0
"",2021-01-17,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,1.6900000000000000,2,43,0,0,0,0
"",2021-02-21,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,4.7200000000000000,2,80,0,0,0,0
"",2021-01-05,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,3.2500000000000000,2,71,0,0,0,0
"",2021-01-26,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,23.7200000000000000,39,248,0,0,0,0
"",2021-02-25,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,2.5900000000000000,2,84,0,0,0,0
"",2021-01-06,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,2.5200000000000000,3,47,0,0,0,0
"",2021-02-01,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,36.1500000000000000,49,166,0,0,0,0
"",2021-01-29,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,33.4700000000000000,27,216,0,0,0,0
"",2021-02-03,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,24.5700000000000000,35,170,0,0,0,0
"",2021-02-10,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,16.5200000000000000,32,133,0,0,0,0
"",2021-01-24,,2121450128,USD,Zj9yTjsXtiWREoWWkz3kww==,9935249409,SEARCH,UNSPECIFIED,PAUSED,28.1900000000000000,36,191,0,0,0,0
