block,lot,excd1,:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,taxclass,nta
2877,358,,,,1B,
1815,20,2202.0,,,1B,
1680,44,2231.0,,,4,
4259,22,2202.0,,,1B,
3047,1,,,,2,
5263,331,,,,1B,
5408,283,,,,1B,
2539,194,,,,3,
4962,70,,,,1B,
1153,28,,,,4,
1799,7,,,,4,
5409,139,,,,1B,
3165,59,,,,4,
1794,67,,,,1,
2024,43,,,,4,
646,20,,,,3,
2876,277,,,,4,
2007,13,,,,4,
2296,1001,,35.0,10932.0,2C,Mott Haven-Port Morris
1331,53,,,,1B,
2920,14,,,,4,
288,76,2202.0,,,4,
2362,3,,,,3,
2829,50,,,,4,
1784,1,,,,4,
3902,16,,,,1B,
2324,1,,,,3,
2763,206,,,,4,
2539,176,2261.0,,,4,
4310,116,,,,1B,
928,7504,,50.0,12073.0,2,Gramercy
2952,68,2202.0,,,1B,
2539,190,2261.0,,,4,
3307,29,,,,4,
184,64,,,,4,
4222,66,2202.0,,,4,
462,7501,,50.0,11724.0,2,East Village
2707,9,,35.0,10933.0,1,Longwood
4668,27,,,,1B,
5141,440,2261.0,,,1B,
3441,86,,,,1B,
621,7501,,10.0,12077.0,2,West Village
2539,502,,,,3,
1503,3,2231.0,,,1B,
2491,136,,,,3,
3329,69,,,,4,
2524,54,,,,4,
2874,157,,,,3,
1017,58,,,,4,
4226,290,,,,4,
4686,6,,,,1B,
1152,58,,,,1B,
4050,29,,,,1B,
702,8002,,,,4,
2244,200,,,,3,
725,100,,,,3,
2629,24,,,,4,
1664,77,,,,1B,
5529,801,,,,1B,
2894,40,,,,3,
434,53,,,,4,
5227,31,,,,3,
3429,5,2231.0,,,1B,
2539,507,,,,3,
1069,30,,,,4,
2541,122,,,,3,
379,63,2231.0,,,4,
3330,80,,,,3,
384,40,,,,4,
707,57,,,,4,
5486,176,2202.0,,,4,
1806,30,,,,1B,
5598,67,,,,1B,
635,9008,,,,4,
2149,2,2231.0,,,4,
2495,1,2231.0,,,4,
690,29,,,,3,
174,9031,,,,4,
1775,168,5108.0,,,4,
1778,46,,,,4,
2821,68,,,,3,
2512,133,,,,1B,
1841,7501,,,,2,
1819,203,2231.0,,,4,
2201,60,,,,1B,
1354,17,,,,1B,
1372,51,2202.0,,,4,
5920,374,,,,1B,
1714,16,,,,1B,
4610,56,,,,1B,
1112,128,,,,1B,
373,8,,,,1B,
1339,42,,,,4,
5914,281,,,,1B,
420,1,2231.0,,,4,
2096,34,,,,1B,
1538,3,,,,1B,
2240,25,,,,4,
5644,249,1700.0,,,1B,
2292,7501,,35.0,10933.0,2,Mott Haven-Port Morris
2232,13,,,,4,
386,107,,,,1B,
1709,27,2280.0,,,1B,
2679,30,,,,4,
5645,77,,,,1B,
700,27,,,,3,
999,8062,,51.0,13094.0,4,Midtown-Midtown South
5423,21,,,,1B,
3183,48,2151.0,,,4,
4903,269,2202.0,,,1B,
4961,48,,,,1,
2859,89,,,,4,
2134,148,2191.0,,,1B,
3896,100,2231.0,,,4,
1826,1255,5114.0,,,4,
5437,22,,,,1B,
4076,1,,,,4,
2230,1304,5113.0,38.0,17613.0,2C,Williamsburg
1219,7,,,,4,
2171,7501,,,,2,
4046,7,,,,4,
5393,32,,,,1B,
1183,134,,,,4,
4305,39,,,,4,
5725,759,,,,1B,
223,112,,,,4,
3761,30,,,,1B,
5822,2743,,,,1B,
977,1,,,,4,
3845,35,,,,1B,
4266,16,,,,1B,
2521,35,,,,1B,
4563,10,,,,1B,
1832,111,,,,1B,
2178,14,,,,3,
2765,336,,,,1B,
5873,1006,,,,1,
3882,100,2231.0,,,4,
779,2,,,,4,
4488,168,,,,1B,
2666,300,,,,1B,
2050,164,,,,4,
4795,52,,,,1B,
2286,115,,,,4,
5412,56,,,,1B,
2916,31,2261.0,,,4,
1661,7501,,35.0,12426.0,2,East Harlem North
2781,500,,,,3,
564,7503,,50.0,11724.0,2,West Village
5275,34,,,,4,
3245,12,,,,3,
4521,31,,,,1B,
2408,7503,,,,2,
5117,57,,,,3,
1536,25,2231.0,,,4,
73,29,2191.0,,,4,
1564,21,,,,4,
3878,36,,,,1B,
1583,114,,,,4,
2879,278,2202.0,,,1B,
5048,36,,,,3,
3270,18,,,,3,
2690,7502,,43.0,10937.0,2,Longwood
903,254,,,,4,
1646,53,,,,1B,
3435,75,2231.0,,,4,
434,7504,,50.0,11729.0,2,East Village
676,3,,,,3,
1005,29,,,,3,
4631,9,,,,1B,
1788,101,2202.0,,,4,
1840,63,2231.0,,,4,
2109,1,2280.0,,,4,
2666,56,,,,4,
2062,18,,,,4,
2844,116,,,,1B,
3219,111,,,,1,
729,6,,,,3,
3045,49,,,,4,
5519,34,,,,1B,
1257,175,2202.0,,,4,
1978,3,,,,1B,
1213,4,,,,4,
1685,33,,,,1B,
2539,177,2261.0,,,4,
3285,106,,,,1B,
2532,12,,,,1,
4660,74,,,,1B,
1826,7503,,,,2,
5072,125,,,,1B,
5541,7,2172.0,,,4,
1114,26,,,,3,
2360,1218,5114.0,,,1A,
4691,76,2202.0,,,1B,
2747,50,2261.0,,,1B,
2703,138,2202.0,,,1B,
3932,159,,,,4,
4852,6,,,,4,
5852,2135,,,,1B,
389,40,5101.0,,,4,
3445,135,,,,1B,
1131,9,,,,4,
5263,151,,,,1B,
1206,164,2202.0,,,1B,
692,28,,,,3,
4535,5,,,,1B,
4768,26,,,,1B,
4785,148,,,,1B,
4856,86,,,,1,
2683,37,,,,1,
2409,9001,,,,1B,
1209,1457,,,,2,
586,28,,,,4,
1259,122,2202.0,,,1B,
2539,131,,,,4,
16,3859,6800.0,,,2,
493,30,2202.0,,,4,
695,27,,,,3,
1932,160,,,,4,
5867,414,,,,1B,
2873,16,,,,3,
4320,41,,,,1B,
3008,25,,,,1B,
4760,46,,,,1B,
3044,49,,,,1B,
2731,65,,,,3,
603,46,,,,3,
875,131,,,,1B,
4717,47,,,,1B,
2404,11,,,,1B,
3069,76,2202.0,,,1B,
2877,547,,,,1B,
2782,55,,,,1B,
3679,73,,,,1B,
3118,42,5106.0,,,1B,
4753,132,,,,4,
2292,56,,,,4,
477,1,,,,3,
2174,159,,,,4,
2770,16,,,,1B,
