location_name,_05_expulsions,_02_removals,_10_expulsions,_01_superintendent,_11_superintendent,_0k_expulsions,_07_removals,_10_removals,_0k_removals,_0k_principal,_03_principal,_08_superintendent,_07_principal,_01_principal,_03_removals,_01_expulsions,_02_principal,_06_superintendent,_08_removals,_11_expulsions
Luisa Pineiro Fuentes School of Science and Discov,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Science Skills Center High School for Science, Tec",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Liberty High School Academy for Newcomers,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Vanguard High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Envision Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Earth School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 157 Grove Hill,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S./I.S. 54,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 008 Robert Fulton,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R
Yorkville East Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 024,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 025 Eubie Blake School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S./M.S. 004 Crotona Park West,R,R,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R
Bronx School of Law and Finance,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
DeWitt Clinton High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx High School of Business,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 131 Brooklyn,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 230 Doris L. Cohen,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 050 Vito Marcantonio,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Talent Unlimited High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 201 The Dyker Heights,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R
The Peck Slip School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 032 Belmont,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 057 Whitelaw Reid,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R
MANHATTAN BUSINESS ACADEMY,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Manhattan International High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Grant Avenue Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
International High School at Prospect Heights,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Metropolitan Soundview High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The High School for Global Citizenship,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Technical High School,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Eleanor Roosevelt High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 056 Lewis H. Latimer,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Brooklyn Latin School, The",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Ronald Edmonds Learning Center II,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 140 Nathan Straus,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Urban Assembly School for Green Careers,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 076 The Bennington School,R,19,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R
N.Y.C. Lab School for Collaborative Studies,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Williamsburg High School of Art and Technology,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 191 Paul Robeson,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Washington Heights Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 527 - East Side School for Social Action,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 106 Parkchester,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
South Brooklyn Community High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Creston Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 059 The Community School of Technology,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Design High School,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 069 Journey Prep School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 339,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 159 Isaac Pitkin,R,6,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R
Middle School for Art and Philosophy,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R,R
Women's Academy of Excellence,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Science, Technology and Research Early College Hig",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Williamsburg High School for Architecture and Desi,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy for Software Engineering,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School for Excellence and Innovation,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School for Law and Public Service,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Urban Assembly Bronx Academy of Letters,R,R,R,R,R,R,R,R,R,R,R,6,6,R,R,R,R,6,R,R
Explorations Academy H.S.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 319,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 098 Herman Ridder,R,R,R,R,R,R,7,R,R,R,R,9,R,R,R,R,R,R,14,R
M.S. 250 West Side Collaborative Middle School,R,R,R,R,R,R,17,R,R,R,R,6,18,R,R,R,R,R,R,R
"New Explorations into Science, Technology and Math",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Gardens Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Jacob Riis School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
N.Y.C. Museum School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Frederick Douglass Academy III Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 319 - Maria Teresa,R,R,R,R,R,R,6,R,R,R,R,14,R,R,R,R,R,R,R,R
M.S. 302 Luisa Dessus Cruz,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R,R
"The Marie Curie School for Medicine, Nursing, and",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
