source_relation,modified_at,campaign_id,ad_group_id,keyword_id,bid_amount,bid_currency,match_type,keyword_status,keyword_text,is_most_recent_record
"",2021-12-09 15:36:51.571,973923054,976005125,976093304,1.5,USD,BROAD,ACTIVE,kitten,t
"",2021-12-09 15:36:51.578,973923054,976005125,976093305,1.5,USD,BROAD,ACTIVE,pet cat,t
"",2021-12-09 15:36:51.583,973923054,976005125,976093306,1.5,USD,BROAD,ACTIVE,kitty games,t
"",2021-12-09 15:36:51.588,973923054,976005125,976093307,1.5,USD,BROAD,ACTIVE,kitty,t
"",2021-12-09 15:36:51.6,973923054,976005125,976093308,1.5,USD,BROAD,ACTIVE,cat,t
"",2021-12-09 15:36:51.607,973923054,976005125,976093309,1.5,USD,BROAD,ACTIVE,cat games for cats,t
"",2021-12-09 15:36:51.618,973923054,976005125,976093310,1.5,USD,BROAD,ACTIVE,tap tap,t
"",2021-12-09 15:36:51.622,973923054,976005125,976093311,1.5,USD,BROAD,ACTIVE,cat game,t
"",2021-12-09 15:36:51.627,973923054,976005125,976093312,1.5,USD,BROAD,ACTIVE,games for cats,t
"",2021-12-09 15:36:51.633,973923054,976005125,976093313,1.5,USD,BROAD,ACTIVE,tip cat,t
"",2021-12-09 15:36:51.647,973923054,976005125,976093314,1.5,USD,BROAD,ACTIVE,tip tap cat,t
"",2021-12-14 22:20:07.763,973923054,983960442,983951490,1.42,USD,BROAD,ACTIVE,dumb games,t
"",2021-12-14 22:20:07.77,973923054,983960442,983951491,1.42,USD,BROAD,ACTIVE,im bored,t
"",2021-12-14 22:20:07.773,973923054,983960442,983951492,1.42,USD,BROAD,ACTIVE,relax games,t
"",2021-12-14 22:20:07.777,973923054,983960442,983951493,1.42,USD,BROAD,ACTIVE,time wasters,t
"",2021-12-14 22:20:07.78,973923054,983960442,983951494,1.42,USD,BROAD,ACTIVE,bored,t
