source_relation,date_day,ad_group_id,impressions,spend,currency,conversions,tap_installs,new_downloads,tap_new_downloads,redownloads,tap_redownloads,taps,lat_off_installs
"",2021-12-20,976005125,63,0.32,USD,0,0,0,0,0,0,3,0
"",2021-12-17,976005125,100,5.09,USD,0,0,0,0,0,0,5,0
"",2021-12-19,983960442,2,0,USD,0,0,0,0,0,0,0,0
"",2021-12-12,976005125,249,5.56,USD,2,2,2,2,0,0,7,0
"",2021-12-09,976005125,1605,25.08,USD,1,1,1,1,0,0,31,0
"",2021-12-13,976005125,492,5.26,USD,1,1,1,1,0,0,7,0
"",2021-12-11,976005125,290,5.71,USD,1,1,1,1,0,0,5,0
"",2021-12-16,976005125,318,5.07,USD,1,1,1,1,0,0,5,0
"",2021-12-14,976005125,350,5.03,USD,4,4,4,4,0,0,11,0
"",2021-12-19,976005125,424,5.95,USD,4,4,4,4,0,0,9,0
"",2021-12-18,976005125,403,5,USD,2,2,2,2,0,0,9,0
"",2021-12-10,976005125,1494,25.88,USD,6,6,6,6,0,0,27,1
"",2021-12-15,976005125,546,6.05,USD,3,3,3,3,0,0,10,0
