objectid,ueid,currentuse2,nativestatus1,nativestatus3,latinname3,specieschange,height5,recordedname6,recordedname5,managementconcern
2006,Q020_2005_19,,,,Prunus serotina,,<5' & 5-30',,Phragmites,True
312,Q001_1987_247,,Exotic,,,,,,,False
781,Q021_1988_2x,,,,,,,,,False
1904,Q024_1986_60,,Exotic,Exotic,Reynoutria japonica,,<5' & 5-30',Mugwort,Weeping willow,True
105,Q001_1987_41,Vehicle,Exotic,,Prunus serotina,,<5',Goldenrod,Poison ivy,False
1971,Q020_2005_4b,,Native,,,,,,,True
1886,Q024_1986_114,Vehicle access,,,Quercus palustris,,<5' & 5-30',,Sassafras,True
2016,Q020_2005_10a,,Exotic,,,,,,,True
62,Q001_1987_81,,,,Liquidambar styraciflua,,,,,False
734,Q021_1988_9,Foot traffic,,,Carya spp.,,All,,Black cherry,True
528,X268_2007_54,,Native,Exotic,Celastrus orbiculatus,,<5',,Mugwort,True
1810,B384_1988_15,Foot traffic,,,Morella pensylvanica,,,,,False
288,Q001_1987_283,Nature path,,,Sassafras albidum,,,,,True
1939,Q024_1986_154,Dirt bikes,,Exotic,Artemisia vulgaris,,,,,False
655,Q021_1988_17b,Foot traffic,,,Prunus serotina,,,,,False
71,Q001_1987_46,,,,,,,,,False
644,Q021_1988_100,,Exotic,,,,,,,False
521,X268_2007_65,,Native,,,,,,,False
332,Q001_1987_345,,,Exotic,Artemisia vulgaris,,<5',Sweet white clover,Queen Anne's lace,False
339,Q001_1987_340,,Exotic,,Solidago sp.,,,,,False
1812,B384_1988_13,,Exotic,,,,,,,False
392,X092_2010_713s,,Exotic,,,No,,,,False
682,Q021_1988_29,Foot traffic,Exotic,,,,,,,True
142,Q001_1987_146,Bicycles,,,Cornus florida,,>30' & 5-30',Black birch,Red oak,True
1876,Q024_1986_107,Vehicle access,,Exotic,Artemisia vulgaris,,<5',,Goldenrod,False
502,X268_2007_33,,Exotic,,,,,,,True
336,Q001_1987_341,Vehicle,,,,,,,,False
269,Q001_1987_299,,,,,,,,,False
136,Q001_1987_144,Campfire,,,Nyssa sylvatica,,,,,True
59,Q001_1987_99,Foot traffic,,,Quercus palustris,,All,Sassafras,Bittersweet,False
703,Q021_1988_35,,,,,,,,,False
544,X005_2007_19,,Native,Exotic,Euonymus japonicus,,,,,True
239,Q001_1987_223,,Exotic,Exotic,Ailanthus altissima,,,,,True
790,Q021_1988_278b,,Exotic,,,,,,,True
643,Q021_1988_2m,,,,,,,,,False
45,Q001_1987_97,Vehicle,,,Quercus alba,,All,Bitternut hickory,Black bich,False
763,Q021_1988_252,Vehicle access,,,Acer rubrum var. rubrum,,5'-30',Black cherry,Flowering dogwood,False
713,Q021_1988_72,Vehicle access,,,,,,,,False
141,Q001_1987_147,Bicycles,,,Quercus rubra,,<5' & 5-30',Black birch,Flowering dogwood,False
111,Q001_1987_48,Vehicle,Exotic,Exotic,Rosa sp.,,All,Poison ivy,Sycamore maple,True
572,R132_1989_6,,,,Betula populifolia,,,,,False
390,X092_2010_1105,,Native,Exotic,Ampelopsis brevipedunculata,No,,,,False
716,Q021_1988_95e,,,,,,,,,False
477,X268_2007_8,,Native,Exotic,Celastrus orbiculatus,,5'-30',,"Cherry, black",True
778,Q021_1988_233,,,,,,,,,True
612,Q021_1988_174a,,,,,,,,,False
552,X005_2007_10,,Exotic,Native,Lindera benzoin,,<5',"Solomon's seal, fal","Ivy, poison",True
602,Q021_1988_162b,,,,Prunus serotina,,,,,False
1883,Q024_1986_50,Vehicle access,Exotic,,Phragmites australis,,<5',,Clover,True
186,Q001_1987_182,Dogs,Exotic,,Solidago sp.,,,,,True
126,Q001_1987_104,,Exotic,,Prunus serotina,,,,,True
668,Q021_1988_51j,Foot traffic,,,,,,,,False
731,Q021_1988_2c,,,,,,,,,False
596,Q021_1988_232,,Exotic,,,,,,,False
442,X039_1986_586,,,,Fraxinus americana,,<5m,,Viburnum,False
